file_id,region,condition,candidate_id,fit_scope,seed_source,provenance_status,start_label,optimizer_backend,optimization_config_hash,optimizer_status,optimizer_success,optimizer_cost,optimizer_nfev,gki,eps,gl_a,zth,zs,K_bath_value_middle,eps_middle,P_gap_eff,gamma_t_eff,gamma_s_eff,volume_ratio_wa_wo,n_sweeps_scored,n_failures,mean_trace_rmse_mV,mean_trace_objective_loss,mean_weighted_pass_fraction,mean_feature_loss,mean_binary_penalty,objective_trace,objective_feature,objective_binary,objective_prior,objective_hidden,objective_fail,scalar_objective,optuna_trial_number,optuna_objective_names,optuna_objective_values,pareto_front,accepted_by_trace,accepted_by_feature_contract,eligible_by_contract,ensemble_rank,accepted_all6,holdout_mean_rmse_mV,holdout_mean_pass_fraction,g_kir,accepted,step04_source_path,switching_function,k_bath_gain,sweep,current_na,K_bath_middle_used,K_bath_override_mode,stim_window_start_s,stim_window_end_s,I_Kir_integral,I_kgap_integral,I_leak_integral,I_k_a_integral,I_Kir_peak_abs,I_kgap_peak_abs,gap_to_kir_integral_ratio,gap_kir_classification,gap_fraction,kir_fraction,leak_fraction,K_o_baseline,K_o_peak,K_o_final,K_o_delta_peak,K_o_recovery_error,dominant_mechanism,proxy_pearson_r,proxy_spearman_r,proxy_rmse_after_scaling,proxy_validity_class,simulation_status,failure_reason
1_DH_1_CONTROL,DH,CONTROL,1_DH_1_CONTROL__cand_01,all6,optuna,generic_seed,trial_397,optuna_multi,7a74a72572fc5320,1,True,514.8772085972861,1,245.820036145688,0.0034703605955441,0.0975419138578228,17.964319772887684,15.635362728779524,8.2,1.0,1.185778850288792e-06,1.506272232520006e-05,4.93135237149876e-07,0.0818846063851555,6,0,2.575443021415708,535.3560022604844,0.659576330397675,0.3404236696023249,0.5,535.3560022604844,0.3404236696023249,0.5,37.2618235263052,0.0,0.0,536.1964259300867,397,"[""trace"", ""feature"", ""binary""]","[0.6293008273743489, 0.3297801412983402, 0.5]",True,True,True,True,3,True,2.575443021415708,0.659576330397675,245.820036145688,True,outputs/cell_fits/accepted_cell_ensembles.csv,sigmoid,1.0,1,50,6.4,historical_current_kbath_scaled_by_gain,11.173,31.173,113.73322774867874,129.14670593133698,15.675632713631758,0.0,6.691259154571963,7.080746634546703,1.1355230875599351,mixed,0.49949304024927776,0.43987924659692446,0.060627713153797703,4.799625295035387,6.397901061512126,4.799798147226644,1.598275766476739,0.00017285219125717788,Mixed,0.3773401429236867,1.0,0.03308067562122835,weak,ok,
1_DH_1_CONTROL,DH,CONTROL,1_DH_1_CONTROL__cand_01,all6,optuna,generic_seed,trial_397,optuna_multi,7a74a72572fc5320,1,True,514.8772085972861,1,245.820036145688,0.0034703605955441,0.0975419138578228,17.964319772887684,15.635362728779524,8.2,1.0,1.185778850288792e-06,1.506272232520006e-05,4.93135237149876e-07,0.0818846063851555,6,0,2.575443021415708,535.3560022604844,0.659576330397675,0.3404236696023249,0.5,535.3560022604844,0.3404236696023249,0.5,37.2618235263052,0.0,0.0,536.1964259300867,397,"[""trace"", ""feature"", ""binary""]","[0.6293008273743489, 0.3297801412983402, 0.5]",True,True,True,True,3,True,2.575443021415708,0.659576330397675,245.820036145688,True,outputs/cell_fits/accepted_cell_ensembles.csv,sigmoid,1.0,2,75,7.23,historical_current_kbath_scaled_by_gain,11.173,31.173,154.18940076409604,163.94967159557592,10.115515971672439,0.0,9.066635575438749,8.996421322324645,1.0633005302771281,mixed,0.49945888777671255,0.46972504344236393,0.030816068780923505,4.799625295035387,7.227152103402105,4.799851961510764,2.427526808366718,0.00022666647537672446,Mixed,0.377078129263362,1.0,0.0502443596155124,weak,ok,
1_DH_1_CONTROL,DH,CONTROL,1_DH_1_CONTROL__cand_01,all6,optuna,generic_seed,trial_397,optuna_multi,7a74a72572fc5320,1,True,514.8772085972861,1,245.820036145688,0.0034703605955441,0.0975419138578228,17.964319772887684,15.635362728779524,8.2,1.0,1.185778850288792e-06,1.506272232520006e-05,4.93135237149876e-07,0.0818846063851555,6,0,2.575443021415708,535.3560022604844,0.659576330397675,0.3404236696023249,0.5,535.3560022604844,0.3404236696023249,0.5,37.2618235263052,0.0,0.0,536.1964259300867,397,"[""trace"", ""feature"", ""binary""]","[0.6293008273743489, 0.3297801412983402, 0.5]",True,True,True,True,3,True,2.575443021415708,0.659576330397675,245.820036145688,True,outputs/cell_fits/accepted_cell_ensembles.csv,sigmoid,1.0,3,100,8.2,historical_current_kbath_scaled_by_gain,11.173,31.173,196.03348072131897,199.9686201062485,4.371691913330005,0.0,11.505531744995709,10.97588520654686,1.0200738127510154,mixed,0.49945481880143566,0.48962615504702217,0.010919026151542222,4.799625295035387,8.196376130743808,4.799907076604173,3.3967508357084206,0.0002817815687858882,Mixed,0.37684145264072944,1.0,0.07030446607939331,weak,ok,
1_DH_1_CONTROL,DH,CONTROL,1_DH_1_CONTROL__cand_01,all6,optuna,generic_seed,trial_397,optuna_multi,7a74a72572fc5320,1,True,514.8772085972861,1,245.820036145688,0.0034703605955441,0.0975419138578228,17.964319772887684,15.635362728779524,8.2,1.0,1.185778850288792e-06,1.506272232520006e-05,4.93135237149876e-07,0.0818846063851555,6,0,2.575443021415708,535.3560022604844,0.659576330397675,0.3404236696023249,0.5,535.3560022604844,0.3404236696023249,0.5,37.2618235263052,0.0,0.0,536.1964259300867,397,"[""trace"", ""feature"", ""binary""]","[0.6293008273743489, 0.3297801412983402, 0.5]",True,True,True,True,3,True,2.575443021415708,0.659576330397675,245.820036145688,True,outputs/cell_fits/accepted_cell_ensembles.csv,sigmoid,1.0,4,125,9.5,historical_current_kbath_scaled_by_gain,11.173,31.173,245.03387566333626,242.17333282592193,2.3460787118270927,0.0,14.340396131615497,13.291576838071048,0.9883259290999235,mixed,0.49468227291557054,0.5005254424176463,0.0047922846667832406,4.799625295035387,9.495465949198643,4.79997181981941,4.695840654163256,0.00034652478402286135,Mixed,0.37659190536580545,1.0,0.09719074150533781,weak,ok,
1_DH_1_CONTROL,DH,CONTROL,1_DH_1_CONTROL__cand_01,all6,optuna,generic_seed,trial_397,optuna_multi,7a74a72572fc5320,1,True,514.8772085972861,1,245.820036145688,0.0034703605955441,0.0975419138578228,17.964319772887684,15.635362728779524,8.2,1.0,1.185778850288792e-06,1.506272232520006e-05,4.93135237149876e-07,0.0818846063851555,6,0,2.575443021415708,535.3560022604844,0.659576330397675,0.3404236696023249,0.5,535.3560022604844,0.3404236696023249,0.5,37.2618235263052,0.0,0.0,536.1964259300867,397,"[""trace"", ""feature"", ""binary""]","[0.6293008273743489, 0.3297801412983402, 0.5]",True,True,True,True,3,True,2.575443021415708,0.659576330397675,245.820036145688,True,outputs/cell_fits/accepted_cell_ensembles.csv,sigmoid,1.0,5,150,10.1,historical_current_kbath_scaled_by_gain,11.173,31.173,265.4527407646347,259.7679218410338,5.142962249054796,0.0,15.515420724275122,14.255863160986575,0.9785844406532559,mixed,0.4897921155738936,0.5005108350659366,0.009697049360169735,4.799625295035387,10.095086198694297,4.799998724701034,5.29546090365891,0.00037342966564679614,Mixed,0.37649497254621833,1.0,0.10960010275483495,weak,ok,
1_DH_1_CONTROL,DH,CONTROL,1_DH_1_CONTROL__cand_01,all6,optuna,generic_seed,trial_397,optuna_multi,7a74a72572fc5320,1,True,514.8772085972861,1,245.820036145688,0.0034703605955441,0.0975419138578228,17.964319772887684,15.635362728779524,8.2,1.0,1.185778850288792e-06,1.506272232520006e-05,4.93135237149876e-07,0.0818846063851555,6,0,2.575443021415708,535.3560022604844,0.659576330397675,0.3404236696023249,0.5,535.3560022604844,0.3404236696023249,0.5,37.2618235263052,0.0,0.0,536.1964259300867,397,"[""trace"", ""feature"", ""binary""]","[0.6293008273743489, 0.3297801412983402, 0.5]",True,True,True,True,3,True,2.575443021415708,0.659576330397675,245.820036145688,True,outputs/cell_fits/accepted_cell_ensembles.csv,sigmoid,1.0,6,175,10.5,historical_current_kbath_scaled_by_gain,11.173,31.173,278.40949590979307,270.93472127725505,6.91701561866081,0.0,16.25925347794936,14.86755484982791,0.9731518689471716,mixed,0.4870638205554893,0.5005013462928775,0.012434833151633249,4.799625295035387,10.494845094482411,4.8000160924873905,5.695219799447024,0.00039079745200343297,Mixed,0.3764352970711813,1.0,0.11787330431082706,weak,ok,
1_DH_1_CONTROL,DH,CONTROL,1_DH_1_CONTROL__cand_02,all6,optuna,generic_seed,trial_415,optuna_multi,7a74a72572fc5320,1,True,514.8772085972861,1,245.820036145688,0.0034703605955441,0.0975419138578228,17.964319772887684,15.635362728779524,8.2,1.0,1.185778850288792e-06,1.506272232520006e-05,4.93135237149876e-07,0.0818846063851555,6,0,2.575443021415708,535.3560022604844,0.659576330397675,0.3404236696023249,0.5,535.3560022604844,0.3404236696023249,0.5,37.2618235263052,0.0,0.0,536.1964259300867,415,"[""trace"", ""feature"", ""binary""]","[0.6293008273743489, 0.3297801412983402, 0.5]",True,True,True,True,4,True,2.575443021415708,0.659576330397675,245.820036145688,True,outputs/cell_fits/accepted_cell_ensembles.csv,sigmoid,1.0,1,50,6.4,historical_current_kbath_scaled_by_gain,11.173,31.173,113.73322774867874,129.14670593133698,15.675632713631758,0.0,6.691259154571963,7.080746634546703,1.1355230875599351,mixed,0.49949304024927776,0.43987924659692446,0.060627713153797703,4.799625295035387,6.397901061512126,4.799798147226644,1.598275766476739,0.00017285219125717788,Mixed,0.3773401429236867,1.0,0.03308067562122835,weak,ok,
1_DH_1_CONTROL,DH,CONTROL,1_DH_1_CONTROL__cand_02,all6,optuna,generic_seed,trial_415,optuna_multi,7a74a72572fc5320,1,True,514.8772085972861,1,245.820036145688,0.0034703605955441,0.0975419138578228,17.964319772887684,15.635362728779524,8.2,1.0,1.185778850288792e-06,1.506272232520006e-05,4.93135237149876e-07,0.0818846063851555,6,0,2.575443021415708,535.3560022604844,0.659576330397675,0.3404236696023249,0.5,535.3560022604844,0.3404236696023249,0.5,37.2618235263052,0.0,0.0,536.1964259300867,415,"[""trace"", ""feature"", ""binary""]","[0.6293008273743489, 0.3297801412983402, 0.5]",True,True,True,True,4,True,2.575443021415708,0.659576330397675,245.820036145688,True,outputs/cell_fits/accepted_cell_ensembles.csv,sigmoid,1.0,2,75,7.23,historical_current_kbath_scaled_by_gain,11.173,31.173,154.18940076409604,163.94967159557592,10.115515971672439,0.0,9.066635575438749,8.996421322324645,1.0633005302771281,mixed,0.49945888777671255,0.46972504344236393,0.030816068780923505,4.799625295035387,7.227152103402105,4.799851961510764,2.427526808366718,0.00022666647537672446,Mixed,0.377078129263362,1.0,0.0502443596155124,weak,ok,
1_DH_1_CONTROL,DH,CONTROL,1_DH_1_CONTROL__cand_02,all6,optuna,generic_seed,trial_415,optuna_multi,7a74a72572fc5320,1,True,514.8772085972861,1,245.820036145688,0.0034703605955441,0.0975419138578228,17.964319772887684,15.635362728779524,8.2,1.0,1.185778850288792e-06,1.506272232520006e-05,4.93135237149876e-07,0.0818846063851555,6,0,2.575443021415708,535.3560022604844,0.659576330397675,0.3404236696023249,0.5,535.3560022604844,0.3404236696023249,0.5,37.2618235263052,0.0,0.0,536.1964259300867,415,"[""trace"", ""feature"", ""binary""]","[0.6293008273743489, 0.3297801412983402, 0.5]",True,True,True,True,4,True,2.575443021415708,0.659576330397675,245.820036145688,True,outputs/cell_fits/accepted_cell_ensembles.csv,sigmoid,1.0,3,100,8.2,historical_current_kbath_scaled_by_gain,11.173,31.173,196.03348072131897,199.9686201062485,4.371691913330005,0.0,11.505531744995709,10.97588520654686,1.0200738127510154,mixed,0.49945481880143566,0.48962615504702217,0.010919026151542222,4.799625295035387,8.196376130743808,4.799907076604173,3.3967508357084206,0.0002817815687858882,Mixed,0.37684145264072944,1.0,0.07030446607939331,weak,ok,
1_DH_1_CONTROL,DH,CONTROL,1_DH_1_CONTROL__cand_02,all6,optuna,generic_seed,trial_415,optuna_multi,7a74a72572fc5320,1,True,514.8772085972861,1,245.820036145688,0.0034703605955441,0.0975419138578228,17.964319772887684,15.635362728779524,8.2,1.0,1.185778850288792e-06,1.506272232520006e-05,4.93135237149876e-07,0.0818846063851555,6,0,2.575443021415708,535.3560022604844,0.659576330397675,0.3404236696023249,0.5,535.3560022604844,0.3404236696023249,0.5,37.2618235263052,0.0,0.0,536.1964259300867,415,"[""trace"", ""feature"", ""binary""]","[0.6293008273743489, 0.3297801412983402, 0.5]",True,True,True,True,4,True,2.575443021415708,0.659576330397675,245.820036145688,True,outputs/cell_fits/accepted_cell_ensembles.csv,sigmoid,1.0,4,125,9.5,historical_current_kbath_scaled_by_gain,11.173,31.173,245.03387566333626,242.17333282592193,2.3460787118270927,0.0,14.340396131615497,13.291576838071048,0.9883259290999235,mixed,0.49468227291557054,0.5005254424176463,0.0047922846667832406,4.799625295035387,9.495465949198643,4.79997181981941,4.695840654163256,0.00034652478402286135,Mixed,0.37659190536580545,1.0,0.09719074150533781,weak,ok,
