condition,P_gap_eff,gamma_t_eff,gamma_s_eff,volume_ratio_wa_wo,seed_source
CONTROL,0.0006000000000000001,6.63315541275846e-05,7.462299839353267e-05,1.3333333333333333,generic_default
MFA,6.457559950192216e-05,1.8286349662011145e-05,0.0012798478090465277,0.19020250522582166,legacy_db_verified_median
MFA_BA,0.0003440379543369267,5.2941013313065094e-05,0.00018386299233089234,2.5253417741527127,legacy_db_verified_median
