db_name,study_name,condition,current_na,trial_id,trial_number,objective,P_gap_eff,gamma_t_eff,gamma_s_eff,volume_ratio_wa_wo,I_Kir_integral,I_kgap_integral,I_leak_integral,I_k_a_integral,I_Kir_peak_abs,I_kgap_peak_abs,gap_to_kir_integral_ratio,gap_kir_classification,gap_fraction,kir_fraction,leak_fraction,K_o_baseline,K_o_peak,K_o_final,K_o_delta_peak,K_o_recovery_error,dominant_mechanism,proxy_proxy,proxy_target,proxy_pearson_r,proxy_spearman_r,proxy_rmse_after_scaling,proxy_lag_s_at_max_corr,proxy_validity_class
BARIUM_100nA.db,BARIUM_100nA_centered_L2_20000t_20240930_133313,BARIUM,100,1,0,7963.653221034436,0.00030606297806397374,5.747163489489452e-05,0.0003288734594611913,2.8883801018047386,758.9487548288611,12841.307867611802,12083.69959750343,0.0,180.18711294343927,860.14432481398,16.919861566289082,gap_dominant,0.49997390423988797,0.029549526884784308,0.4704765688753278,4.798852142671748,7.596770214769009,5.112036282794207,2.7979180720972607,0.3131841401224591,Mixed,DK_a_t,K_o,0.9999247819112479,0.9999999999999998,0.007149218519934341,0.0,strong
CONTROL_75nA.db,CONTROL_75nA_centered_L2_2500t,CONTROL,75,2426,2425,30.054498122056586,7.688694890666813e-06,8.311215695332037e-06,6.86542049542796e-05,1.5270157179498545,1540.5041322524567,1888.367068534877,354.9134389796121,0.0,89.05759088877167,100.63835302152908,1.2258111023524427,mixed,0.4990683266400666,0.4071331428490974,0.0937985305108359,5.017495767492791,8.395907707770444,5.123679736597645,3.378411940277653,0.10618396910485384,Mixed,DK_a_t,K_o,0.454297421962586,1.0,0.3110643197989218,0.0,weak
MFA_100nA.db,MFA_100nA_centered_COMBINED_20000t_2024-10-13_10-31-24,MFA,100,1,0,135164.78820498346,6.457559950192216e-05,1.8286349662011145e-05,0.0012798478090465277,0.19020250522582166,12307.104983061861,14975.484598773313,2672.6664915938454,0.0,628.8600535704212,760.5338266505261,1.2168161902725227,mixed,0.49992844534742276,0.4108496002469008,0.08922195440567642,4.561722050030545,7.971894093935983,4.570440078280178,3.4101720439054386,0.008718028249633747,Mixed,DK_a_t,K_o,-0.22394545061100724,0.3579249579249579,0.5362668238180093,0.0,failed
