source_scope,legacy_configuration_status,legacy_acceptance_rule,legacy_selection_rule,legacy_top_n_requested,legacy_top_n_available,rank_in_db,db_name,study_name,condition,legacy_protocol_condition,current_na,trial_id,trial_number,objective,K_bath_value_middle,Va_l,Va_s,ca,d,eps,eps_middle,gki,gl_a,gs,gt,pk,switching_function,wo,zs,zth,wo_middle,w_a,P_gap_eff,gamma_t_eff,gamma_s_eff,volume_ratio_wa_wo,w_o_middle,provenance_status,chosen_provenance_status,trace_dataset_kind,chosen_trace_source
legacy_single_current_optuna,legacy_top300_optuna_trial,not_thresholded_top_n_first_pass,top_n_by_objective,300,300,1,CONTROL_50nA.db,CONTROL_50nA_centered_L2_2500t,CONTROL,CONTROL,50,2068,2067,21.50222564593525,7.948467191526232,-66.11461442356311,-91.45984851916121,558.8023689888932,0.07842235572923643,0.001655582459656251,1.0,153.29351749574417,1.4637389371999816,10.972645569916342,6.252491850723893,5.4606371663316577e-05,sigmoid,1529.0188612642626,9.993184959543964,26.454507263519563,1.0,2000.0,4.282360303663508e-06,5.184218770357169e-05,9.09790791929634e-05,1.3080283380849265,,unresolved,unresolved,legacy_optuna_trace_csv,CONTROL_TRACES.csv
legacy_single_current_optuna,legacy_top300_optuna_trial,not_thresholded_top_n_first_pass,top_n_by_objective,300,300,2,CONTROL_50nA.db,CONTROL_50nA_centered_L2_2500t,CONTROL,CONTROL,50,2183,2182,24.608913461817995,7.925687890351833,-73.20108573417548,-90.33018430182285,618.9044989299969,0.021625400878615777,0.001602741624630093,1.0,153.08445132028132,1.2927797789484292,10.894225766797085,8.285803000828544,0.00010863490087938085,sigmoid,1484.8072786315802,9.634384174075576,25.401323087077404,1.0,2000.0,2.3492732809253007e-06,6.870127377999518e-05,9.032886576605346e-05,1.3469761556147737,,unresolved,unresolved,legacy_optuna_trace_csv,CONTROL_TRACES.csv
legacy_single_current_optuna,legacy_top300_optuna_trial,not_thresholded_top_n_first_pass,top_n_by_objective,300,300,3,CONTROL_50nA.db,CONTROL_50nA_centered_L2_2500t,CONTROL,CONTROL,50,2263,2262,24.96325944343358,7.9249508113655525,-75.74762023172738,-90.30861670280898,568.9365855668887,0.01639063657485608,0.001507973098022287,1.0,144.87055837739868,1.9412581055778904,11.433385274690611,7.718580200911047,7.845321571355668e-05,sigmoid,1524.6987950289679,9.685946474434786,28.831453023950207,1.0,2000.0,1.2858981468896958e-06,6.399817754810424e-05,9.479927677620863e-05,1.3117344924260939,,unresolved,unresolved,legacy_optuna_trace_csv,CONTROL_TRACES.csv
legacy_single_current_optuna,legacy_top300_optuna_trial,not_thresholded_top_n_first_pass,top_n_by_objective,300,300,4,CONTROL_50nA.db,CONTROL_50nA_centered_L2_2500t,CONTROL,CONTROL,50,2251,2250,25.7672715210577,7.916342955051042,-74.90545430582492,-90.82947093322855,549.1257499500053,0.029608145007921974,0.0017006025589531508,1.0,147.8197101135918,1.6141051022180632,10.709593239457,7.313027634361051,9.920902970672325e-05,sigmoid,1519.68216302728,9.574525881735362,28.854410632837933,1.0,2000.0,2.937395337651901e-06,6.0635561045642756e-05,8.8797995455932e-05,1.3160646671116438,,unresolved,unresolved,legacy_optuna_trace_csv,CONTROL_TRACES.csv
legacy_single_current_optuna,legacy_top300_optuna_trial,not_thresholded_top_n_first_pass,top_n_by_objective,300,300,5,CONTROL_50nA.db,CONTROL_50nA_centered_L2_2500t,CONTROL,CONTROL,50,2414,2413,26.217795731417574,8.10416190806729,-79.11615489452088,-92.86768072372647,518.5053177251607,0.001916101518548096,0.001671284989234017,1.0,171.043344372551,3.4098341910538066,10.523563008347525,6.2592058353421125,6.724882507351944e-07,sigmoid,1207.3300048257738,9.160629354081225,38.741498524540816,1.0,2000.0,1.2885557584394587e-09,5.1897856332836084e-05,8.725553616290637e-05,1.6565479131686236,,unresolved,unresolved,legacy_optuna_trace_csv,CONTROL_TRACES.csv
legacy_single_current_optuna,legacy_top300_optuna_trial,not_thresholded_top_n_first_pass,top_n_by_objective,300,300,6,CONTROL_50nA.db,CONTROL_50nA_centered_L2_2500t,CONTROL,CONTROL,50,2483,2482,26.249232562065707,8.097169339230282,-78.28015473410667,-91.98372285888709,530.2188104860066,0.022358871306956976,0.0017084964724129491,1.0,181.63069593169084,3.630863380551415,2.1636013000381014,5.826275560600029,2.693212385167067e-06,sigmoid,1286.9493860100433,8.680509937854431,42.595369216719135,1.0,2000.0,6.021718912225309e-08,4.8308239088770516e-05,1.7939379592998716e-05,1.5540626707944147,,unresolved,unresolved,legacy_optuna_trace_csv,CONTROL_TRACES.csv
legacy_single_current_optuna,legacy_top300_optuna_trial,not_thresholded_top_n_first_pass,top_n_by_objective,300,300,7,CONTROL_50nA.db,CONTROL_50nA_centered_L2_2500t,CONTROL,CONTROL,50,2159,2158,27.24997439625779,7.8328120544130755,-71.77007101761949,-90.0061011262736,568.7920312483357,0.0277601156047211,0.0015468099857110513,1.0,152.50914192650475,1.3656385891488283,11.038637144297567,7.529359594220608,0.00010020839346288273,sigmoid,1533.0193926171269,9.801732934565274,27.49682832879798,1.0,2000.0,2.7817965870930027e-06,6.242926543376158e-05,9.15262446539675e-05,1.3046149380965477,,unresolved,unresolved,legacy_optuna_trace_csv,CONTROL_TRACES.csv
legacy_single_current_optuna,legacy_top300_optuna_trial,not_thresholded_top_n_first_pass,top_n_by_objective,300,300,8,CONTROL_50nA.db,CONTROL_50nA_centered_L2_2500t,CONTROL,CONTROL,50,2481,2480,27.70931602500554,8.096452431717575,-78.55940594299628,-91.97011147118747,527.8437005110251,0.012541631888465158,0.001768702554973872,1.0,180.35501542503397,3.63299757240927,2.8427796404398142,5.826510859081634,6.3823172893873035e-06,sigmoid,1286.3785199117392,8.91158479528212,43.49242527598808,1.0,2000.0,8.004467403888231e-08,4.831019005301661e-05,2.3570748949078624e-05,1.5547523291489846,,unresolved,unresolved,legacy_optuna_trace_csv,CONTROL_TRACES.csv
legacy_single_current_optuna,legacy_top300_optuna_trial,not_thresholded_top_n_first_pass,top_n_by_objective,300,300,9,CONTROL_50nA.db,CONTROL_50nA_centered_L2_2500t,CONTROL,CONTROL,50,2349,2348,29.224672679360836,7.999819156875922,-75.9852249267375,-92.3155226900238,526.7759232225912,0.05567181632777214,0.0017460028827343086,1.0,151.57351094994323,2.3488911267444323,13.044063794288999,6.290295140493701,5.450049061827971e-05,sigmoid,1418.4052360125884,9.786372278256463,33.27381527799595,1.0,2000.0,3.0341413034743366e-06,5.215563157376753e-05,0.00010815412795181839,1.4100342759748878,,unresolved,unresolved,legacy_optuna_trace_csv,CONTROL_TRACES.csv
legacy_single_current_optuna,legacy_top300_optuna_trial,not_thresholded_top_n_first_pass,top_n_by_objective,300,300,10,CONTROL_50nA.db,CONTROL_50nA_centered_L2_2500t,CONTROL,CONTROL,50,2403,2402,29.389382753629025,8.10819874598305,-78.934805693331,-92.30545159499741,525.3981380069315,0.0007163132708757278,0.0018003605879888783,1.0,170.36549599013543,3.6521112840480545,10.6434304476511,6.188261661867381,5.8071475863515266e-05,sigmoid,1232.0882016584803,9.477520822391769,39.13516032252513,1.0,2000.0,4.15973688203755e-08,5.13096266724766e-05,8.824941035519388e-05,1.623260410502961,,unresolved,unresolved,legacy_optuna_trace_csv,CONTROL_TRACES.csv
legacy_single_current_optuna,legacy_top300_optuna_trial,not_thresholded_top_n_first_pass,top_n_by_objective,300,300,11,CONTROL_50nA.db,CONTROL_50nA_centered_L2_2500t,CONTROL,CONTROL,50,2320,2319,30.49738636923,8.018471755702668,-75.25738281808508,-91.35041955552732,606.496719379756,0.05287994887809,0.001563612140777002,1.0,152.0828148803231,2.0855583467546426,11.985608647785908,6.504300173493731,5.385418760390228e-05,sigmoid,1377.3935981724594,9.382047146690697,30.828771190122833,1.0,2000.0,2.8478066873654205e-06,5.3930042377519666e-05,9.937800609658212e-05,1.4520177839171182,,unresolved,unresolved,legacy_optuna_trace_csv,CONTROL_TRACES.csv
