condition,region,n_cells,n_accepted_cells,median_best_pass_fraction,median_best_trace_nrmse
CONTROL,DH,1,1,0.8518518518518517,0.17282199320119296
CONTROL,VH,1,0,0.543859649122807,0.12008047763920938
