condition,P_gap_eff,gamma_t_eff,gamma_s_eff,volume_ratio_wa_wo,g_kir,gl_a,zth,zs,eps,Va_l,Va_s,ca,switching_function
BARIUM,0.00028773865597550433,5.7957668558834095e-05,0.00018386299233089234,2.18094507260494,114.4324993414245,17.565227075558816,102.1453900974879,10.680475465628643,0.03670669407483785,-53.91974035516728,-91.5,322.5,tanh
CONTROL,4.9115502011141e-07,3.198382716194227e-05,0.00010852581660942114,1.3868638195400944,75.8578490403,1.48818649385,68.37243484289999,3.5693958797,0.0028043985000000002,-68.29365811240001,-91.94802637445,679.6012546536499,sigmoid
MFA,6.457559950189944e-05,1.8286349662011145e-05,0.0012798478090465277,0.19020250522582166,160.261676309765,9.0177333817081,499.96671060299474,0.005,0.00121436176704365,-60.7781175678844,-98.0,389.0,tanh
