file_id,file,region,condition,accepted_candidate_count,best_candidate_id,best_objective,best_mean_trace_nrmse,best_mean_weighted_pass_fraction,status
1_DH_1_CONTROL,1_DH_1.atf,DH,CONTROL,1,0,0.23072528833398492,0.17282199320119296,0.8518518518518517,accepted
1_VH_1_CONTROL,1_VH_1.atf,VH,CONTROL,0,1,0.8021841599371081,0.12008047763920938,0.543859649122807,rejected_but_ranked
