file_id,region,condition,candidate_id,sweep,current_na,trace_nrmse,weighted_pass_fraction,weighted_feature_penalty,pred_peak_depolarization_mV,pred_stim_end_depolarization_mV,pred_rise_tau_s,pred_decay_tau_s,simulation_failed
1_DH_1_CONTROL,DH,CONTROL,0,1,50,0.35058277447521713,0.7777777777777778,0.15736280363321203,8.380648590225832,7.7299892979850995,0.6606536312849158,1.0524357541899434,False
1_DH_1_CONTROL,DH,CONTROL,0,2,75,0.23185793662204573,0.8888888888888888,0.03248907397760464,11.070119444211542,10.142045479039183,0.6606536312849158,1.0554357541899435,False
1_DH_1_CONTROL,DH,CONTROL,0,3,100,0.1577607881807288,0.7777777777777778,0.13035163672733116,14.32490676410444,12.687185579468292,0.6606536312849158,1.0514357541899422,False
1_DH_1_CONTROL,DH,CONTROL,0,4,125,0.12336577925100778,0.8888888888888888,0.0157496373264792,18.160083304802043,15.685944892784832,0.6606536312849158,1.0514357541899422,False
1_DH_1_CONTROL,DH,CONTROL,0,5,150,0.08631535243950969,0.8888888888888888,0.01118093665290862,19.759310381697127,16.945166371739745,0.6606536312849158,1.0514357541899422,False
1_DH_1_CONTROL,DH,CONTROL,0,6,175,0.08704932823864849,0.8888888888888888,0.00028568247921601414,20.774151375198443,17.746973211168637,0.6606536312849158,1.0514357541899422,False
1_VH_1_CONTROL,VH,CONTROL,1,1,50,0.25022297799371823,0.6315789473684211,0.8499051672780736,7.456816851746851,6.339747442996639,0.7851284916201102,0.7239776536312874,False
1_VH_1_CONTROL,VH,CONTROL,1,2,75,0.1460369348455415,0.6263157894736843,0.5891595643611084,10.295453770952633,8.654189356669306,0.7801284916201112,0.7249776536312851,False
1_VH_1_CONTROL,VH,CONTROL,1,3,100,0.11528076524582932,0.4421052631578947,0.5272318012054121,13.445916555834813,11.07734108330041,0.7871284916201127,0.7239776536312874,False
1_VH_1_CONTROL,VH,CONTROL,1,4,125,0.1016295113903999,0.5631578947368421,0.8305078878712293,17.157052126991374,13.944176232509562,0.7841284916201126,0.7239776536312874,False
1_VH_1_CONTROL,VH,CONTROL,1,5,150,0.060646762660770674,0.4368421052631579,0.6541492587024977,18.708345512650965,15.148649988773485,0.7801284916201112,0.7239776536312874,False
1_VH_1_CONTROL,VH,CONTROL,1,6,175,0.04666591369899679,0.5631578947368421,0.6416684143690717,19.693779544227596,15.9156188746189,0.7801284916201112,0.7239776536312874,False
