file_id,region,condition,candidate_id,sweep,current_na,feature,predicted_value,within_threshold,distance_to_interval,reliability_weight
1_DH_1_CONTROL,DH,CONTROL,0,6,175,stim_end_depolarization_mV,17.746973211168637,True,0.0,1.0
1_DH_1_CONTROL,DH,CONTROL,0,6,175,rise_slope_mV_per_s,15.282016587188277,True,0.0,1.0
1_DH_1_CONTROL,DH,CONTROL,0,6,175,rise_tau_s,0.6606536312849158,False,0.0025711423129441274,1.0
1_DH_1_CONTROL,DH,CONTROL,0,6,175,plateau_slope_mV_per_s,-0.08796482641392521,True,0.0,1.0
1_DH_1_CONTROL,DH,CONTROL,0,6,175,decay_slope_mV_per_s,13.798713261403051,True,0.0,1.0
1_DH_1_CONTROL,DH,CONTROL,0,6,175,decay_tau_s,1.0514357541899422,True,0.0,1.0
1_DH_1_CONTROL,DH,CONTROL,0,6,175,return_slope_mV_per_s,0.09573719877242955,True,0.0,1.0
1_DH_1_CONTROL,DH,CONTROL,0,6,175,undershoot_magnitude_mV,1.010797168145345,True,0.0,1.0
1_VH_1_CONTROL,VH,CONTROL,1,1,50,peak_depolarization_mV,7.456816851746851,True,0.0,0.4
1_VH_1_CONTROL,VH,CONTROL,1,1,50,stim_end_depolarization_mV,6.339747442996639,True,0.0,0.4
1_VH_1_CONTROL,VH,CONTROL,1,1,50,rise_slope_mV_per_s,3.8136836710886888,True,0.0,0.8
1_VH_1_CONTROL,VH,CONTROL,1,1,50,rise_tau_s,0.7851284916201102,False,0.9852126825443355,0.8
1_VH_1_CONTROL,VH,CONTROL,1,1,50,plateau_slope_mV_per_s,0.011153001847365457,True,0.0,0.8
1_VH_1_CONTROL,VH,CONTROL,1,1,50,decay_slope_mV_per_s,4.522622988686401,False,5.532426632895149,0.7666666666666667
1_VH_1_CONTROL,VH,CONTROL,1,1,50,decay_tau_s,0.7239776536312874,False,0.46048108022528345,0.7666666666666667
1_VH_1_CONTROL,VH,CONTROL,1,1,50,return_slope_mV_per_s,0.042078403902589,True,0.0,0.8
1_VH_1_CONTROL,VH,CONTROL,1,1,50,undershoot_magnitude_mV,0.0,True,0.0,0.8
