file_id,region,condition,n_candidates,n_accepted_candidates,best_candidate_id,best_trace_rmse_mV,best_weighted_pass_fraction,holdout_pass_count,holdout_mean_rmse_mV,holdout_mean_pass_fraction,cell_reviewer_facing
1_DH_1_CONTROL,DH,CONTROL,160,4,1_DH_1_CONTROL__cand_45,13.516104238707328,0.33333333333333326,2,13.517363828352613,0.3466527547395403,False
1_DH_2_CONTROL,DH,CONTROL,160,4,1_DH_2_CONTROL__cand_01,7.783344923860946,0.33333333333333326,2,7.782389507575149,0.34307487209319176,False
2_DH_1_CONTROL,DH,CONTROL,160,4,2_DH_1_CONTROL__cand_01,6.021398994208609,0.33333333333333326,2,6.0204881482616175,0.34194077698054115,False
3_DH_1_CONTROL,DH,CONTROL,160,4,3_DH_1_CONTROL__cand_01,8.861672688182662,0.33333333333333326,2,8.860592494863253,0.34069498508317725,False
3_DH_2_CONTROL,DH,CONTROL,160,4,3_DH_2_CONTROL__cand_01,8.621824229888235,0.33333333333333326,2,8.620770202958193,0.34907276994204395,False
DH_1_CONTROL,DH,CONTROL,160,4,DH_1_CONTROL__cand_01,6.933250245041847,0.37687937778148367,2,6.933349910397763,0.37687913460950884,False
DH_2_CONTROL,DH,CONTROL,160,4,DH_2_CONTROL__cand_01,8.160693709475876,0.37687937778148367,2,8.161763089795288,0.37687969197945104,False
1_VH_1_CONTROL,VH,CONTROL,160,0,1_VH_1_CONTROL__cand_34,15.323759506196879,0.28571428571428575,0,14.238455428268281,0.28571428571428575,False
1_VH_2_CONTROL,VH,CONTROL,160,0,1_VH_2_CONTROL__cand_34,15.663758676191195,0.28571428571428575,0,15.251970909641429,0.28571428571428575,False
2_VH_1_CONTROL,VH,CONTROL,160,0,2_VH_1_CONTROL__cand_92,16.49388072724993,0.28571428571428575,0,16.25633833683899,0.28571428571428575,False
3_VH_1_CONTROL,VH,CONTROL,160,0,3_VH_1_CONTROL__cand_95,15.905019386320289,0.28571428571428575,0,15.29428194668539,0.28571428571428575,False
DH_1_MFA,DH,MFA,160,146,DH_1_MFA__cand_17,8.089413736004987,0.4093113381084974,6,3.907479588021234,0.33408087637635603,True
DH_2_MFA,DH,MFA,160,146,DH_2_MFA__cand_73,7.9021546353173,0.4093113381084974,6,2.5841375111789433,0.3341419743822553,True
DH_3_MFA,DH,MFA,160,146,DH_3_MFA__cand_70,6.693808356310075,0.4093113381084974,6,1.712191111032575,0.3341939790567113,True
DH_4_MFA,DH,MFA,160,146,DH_4_MFA__cand_15,8.561567657595115,0.4093113381084974,6,4.282145430114264,0.3347459537893081,True
DH_5_MFA,DH,MFA,160,146,DH_5_MFA__cand_65,9.408647751572198,0.4093113381084974,6,4.424925190851609,0.3348131633845714,True
DH_6_MFA,DH,MFA,160,146,DH_6_MFA__cand_74,6.670575366243047,0.4093113381084974,6,1.6198899034206182,0.3343421859641223,True
VH_1_MFA,VH,MFA,160,15,VH_1_MFA__cand_73,5.163288524059564,0.3576944007222063,0,1.6485099283513784,0.28172874353835753,False
VH_2_MFA,VH,MFA,160,15,VH_2_MFA__cand_69,6.34263123996091,0.3576944007222063,0,1.0950866692669685,0.2817539031920184,False
VH_3_MFA,VH,MFA,160,15,VH_3_MFA__cand_15,7.801229813668601,0.3576944007222063,0,3.304368827211111,0.2817280525220654,False
VH_4_MFA,VH,MFA,160,15,VH_4_MFA__cand_72,6.561639855365354,0.3576944007222063,0,2.847873381131547,0.28173943842845756,False
VH_5_MFA,VH,MFA,160,15,VH_5_MFA__cand_75,5.7307080598131614,0.3576944007222063,0,1.4814562137357727,0.28172871628134616,False
VH_6_MFA,VH,MFA,160,15,VH_6_MFA__cand_73,4.714965684074387,0.3576944007222063,0,2.092460601980616,0.2818373357694963,False
VH_7_OG_MFA,VH,MFA,160,13,VH_7_OG_MFA__cand_32,7.0235904440844195,0.3809523809523809,3,7.172695692976441,0.43266498792625624,True
DH_1_MFA_BA,DH,MFA_BA,160,143,DH_1_MFA_BA__cand_22,6.344535008563045,0.42857142857142855,6,4.398420521135662,0.4281645917341666,True
DH_2_MFA_BA,DH,MFA_BA,160,143,DH_2_MFA_BA__cand_63,3.105258406507179,0.42857142857142855,6,1.9397325366821285,0.42291709258280874,True
DH_3_MFA_BA,DH,MFA_BA,160,143,DH_3_MFA_BA__cand_17,1.890510560301817,0.42857142857142855,6,1.2656080707428103,0.4209804918136539,True
DH_4_MFA_BA,DH,MFA_BA,160,143,DH_4_MFA_BA__cand_22,6.609884214013679,0.42857142857142855,6,4.7079442000360245,0.4282362161238447,True
DH_5_MFA_BA,DH,MFA_BA,160,143,DH_5_MFA_BA__cand_25,5.126518991523111,0.42857142857142855,6,4.109784063322581,0.42020686749311786,True
DH_6_MFA_BA,DH,MFA_BA,160,143,DH_6_MFA_BA__cand_70,4.945157774598075,0.42857142857142855,6,4.102799017994209,0.4259201113642808,True
VH_1_MFA_BA,VH,MFA_BA,160,137,VH_1_MFA_BA__cand_110,2.5211191769045813,0.4498654078575875,6,2.487463209917657,0.42852103403116315,True
VH_2_MFA_BA,VH,MFA_BA,160,137,VH_2_MFA_BA__cand_10,3.7415022078636877,0.4498654078575875,6,3.6667200486118916,0.42674953480891054,True
VH_3_MFA_BA,VH,MFA_BA,160,137,VH_3_MFA_BA__cand_22,5.030216502851217,0.4498654078575875,6,5.042048630899168,0.5073665841596079,True
VH_4_MFA_BA,VH,MFA_BA,160,137,VH_4_MFA_BA__cand_112,3.0177252469331286,0.4498654078575875,6,2.9703373045839374,0.4265141016700344,True
VH_5_MFA_BA,VH,MFA_BA,160,137,VH_5_MFA_BA__cand_120,4.417466997062481,0.4498654078575875,6,4.35500557332221,0.42834764620988386,True
VH_6_MFA_BA,VH,MFA_BA,160,137,VH_6_MFA_BA__cand_20,2.295459639771246,0.4498654078575875,6,2.258749918259373,0.42676393605981255,True
VH_7_OG_MFA_BA,VH,MFA_BA,160,140,VH_7_OG_MFA_BA__cand_112,2.7368552507879405,0.4306345874651696,6,2.781268049759507,0.4203315899680226,True
