file_id,region,condition,candidate_id,fit_scope,seed_source,provenance_status,start_label,optimizer_backend,optimization_config_hash,optimizer_status,optimizer_success,optimizer_cost,optimizer_nfev,gki,eps,gl_a,zth,zs,K_bath_value_middle,eps_middle,P_gap_eff,gamma_t_eff,gamma_s_eff,volume_ratio_wa_wo,n_sweeps_scored,n_failures,mean_trace_rmse_mV,mean_trace_objective_loss,mean_weighted_pass_fraction,mean_feature_loss,mean_binary_penalty,objective_trace,objective_feature,objective_binary,objective_prior,objective_hidden,objective_fail,scalar_objective,optuna_trial_number,optuna_objective_names,optuna_objective_values,pareto_front,accepted_by_trace,accepted_by_feature_contract,eligible_by_contract,ensemble_rank,accepted_all6,holdout_mean_rmse_mV,holdout_mean_pass_fraction
1_DH_1_CONTROL,DH,CONTROL,1_DH_1_CONTROL__cand_09,all6,optuna,generic_seed,trial_366,optuna_multi,7a74a72572fc5320,1,True,610.5043146160235,1,245.820036145688,0.039964301676942524,0.09754191385782286,18.305735226716823,15.295404974738686,8.2,1.0,2.14390170468164e-05,1.5062722325200061e-05,0.009769566124905356,0.08188460638515553,6,0,2.935704699090323,630.6060840090454,0.6637139796176986,0.3362860203823013,1.0,630.6060840090454,0.3362860203823013,1.0,36.93406122956777,0.0,0.0,631.9423700294277,366,"[""trace"", ""feature"", ""binary""]","[0.7226621047991967, 0.32629644278183834, 1.0]",True,True,True,True,1,True,2.8621717427831266,0.5593827170130452
1_DH_1_CONTROL,DH,CONTROL,1_DH_1_CONTROL__cand_07,all6,optuna,generic_seed,trial_462,optuna_multi,7a74a72572fc5320,1,True,532.1716397053284,1,245.820036145688,0.039964301676942524,0.09754191385782286,77.83765579242564,0.0016622321161456782,8.2,1.0,8.75135735778465e-07,1.5062722325200061e-05,4.93135237149876e-07,0.08188460638515553,6,0,2.59507226675659,548.6151726488614,0.6602636022124663,0.3397363977875338,0.5,548.6151726488614,0.3397363977875338,0.5,554.9164581965775,0.0,0.0,549.4549090466489,462,"[""trace"", ""feature"", ""binary""]","[0.6365624448391716, 0.3263163838451436, 0.5]",True,True,True,True,2,True,2.59507226675659,0.6602636022124663
1_DH_1_CONTROL,DH,CONTROL,1_DH_1_CONTROL__cand_01,all6,optuna,generic_seed,trial_397,optuna_multi,7a74a72572fc5320,1,True,514.8772085972861,1,245.820036145688,0.003470360595544151,0.09754191385782286,17.964319772887684,15.635362728779524,8.2,1.0,1.185778850288792e-06,1.5062722325200061e-05,4.93135237149876e-07,0.08188460638515553,6,0,2.575443021415708,535.3560022604844,0.659576330397675,0.3404236696023249,0.5,535.3560022604844,0.3404236696023249,0.5,37.2618235263052,0.0,0.0,536.1964259300867,397,"[""trace"", ""feature"", ""binary""]","[0.6293008273743489, 0.3297801412983402, 0.5]",True,True,True,True,3,True,2.575443021415708,0.659576330397675
1_DH_1_CONTROL,DH,CONTROL,1_DH_1_CONTROL__cand_02,all6,optuna,generic_seed,trial_415,optuna_multi,7a74a72572fc5320,1,True,514.8772085972861,1,245.820036145688,0.003470360595544151,0.09754191385782286,17.964319772887684,15.635362728779524,8.2,1.0,1.185778850288792e-06,1.5062722325200061e-05,4.93135237149876e-07,0.08188460638515553,6,0,2.575443021415708,535.3560022604844,0.659576330397675,0.3404236696023249,0.5,535.3560022604844,0.3404236696023249,0.5,37.2618235263052,0.0,0.0,536.1964259300867,415,"[""trace"", ""feature"", ""binary""]","[0.6293008273743489, 0.3297801412983402, 0.5]",True,True,True,True,4,True,2.575443021415708,0.659576330397675
1_DH_1_CONTROL,DH,CONTROL,1_DH_1_CONTROL__cand_03,all6,optuna,generic_seed,trial_466,optuna_multi,7a74a72572fc5320,1,True,515.7840192332596,1,245.820036145688,0.003470360595544151,0.0018815135585230286,13.737310998995122,0.04374468729190967,8.2,1.0,1.185778850288792e-06,1.5062722325200061e-05,4.93135237149876e-07,0.09110330753611932,6,0,2.571666973886227,536.262222304874,0.6595090943076035,0.34049090569239643,0.5,536.262222304874,0.34049090569239643,0.5,21.963205400770455,0.0,0.0,537.1027132105663,466,"[""trace"", ""feature"", ""binary""]","[0.6285072421855774, 0.3298503404397447, 0.5]",True,True,True,True,5,True,2.571666973886227,0.6595090943076035
1_DH_1_CONTROL,DH,CONTROL,1_DH_1_CONTROL__cand_06,all6,optuna,generic_seed,trial_348,optuna_multi,7a74a72572fc5320,1,True,530.2692642867589,1,245.820036145688,0.036309591863459084,0.09754191385782286,139.4293716371739,0.00886014295175505,8.2,1.0,1.185778850288792e-06,1.5062722325200061e-05,4.93135237149876e-07,8.506493044099056,6,0,2.5916812500335045,550.6825120602152,0.6592221493587633,0.3407778506412366,0.5,550.6825120602152,0.3407778506412366,0.5,1767.75512106436,0.0,0.0,551.5232899108564,348,"[""trace"", ""feature"", ""binary""]","[0.6319747811426347, 0.3264081558682652, 0.5]",True,True,True,True,6,True,2.5916812500335045,0.6592221493587633
1_DH_1_CONTROL,DH,CONTROL,1_DH_1_CONTROL__cand_04,all6,optuna,generic_seed,trial_487,optuna_multi,7a74a72572fc5320,1,True,527.53719499332,1,16.775755113607403,0.039964301676942524,0.00025041091235264976,50.854468657305105,22.269685821727563,8.2,1.0,1.185778850288792e-06,1.5062722325200061e-05,4.93135237149876e-07,0.08188460638515553,6,0,2.5983160545916326,553.152968076994,0.6575563071506219,0.34244369284937815,0.5,553.152968076994,0.34244369284937815,0.5,242.87914690823084,0.0,0.0,553.9954117698434,487,"[""trace"", ""feature"", ""binary""]","[0.6295748921303437, 0.3264610468856546, 0.5]",True,True,True,True,7,True,2.5983160545916326,0.6575563071506219
1_DH_1_CONTROL,DH,CONTROL,1_DH_1_CONTROL__cand_08,all6,optuna,generic_seed,trial_480,optuna_multi,7a74a72572fc5320,1,True,534.4802512449749,1,45.0019330679946,0.021863563449420156,0.09754191385782286,18.305735226716823,16.36341071897551,8.2,1.0,3.147806683575305e-07,9.777324906074084e-05,1.7461309348171835e-07,5.719545392989609,6,0,2.655784498694892,567.2573017548697,0.6569885098711171,0.34301149012888277,0.5,567.2573017548697,0.34301149012888277,0.5,39.90231387947353,0.0,0.0,568.1003132449986,480,"[""trace"", ""feature"", ""binary""]","[0.6345430462265034, 0.3263788255557335, 0.5]",True,True,True,True,8,True,2.655784498694892,0.6569885098711171
1_DH_1_CONTROL,DH,CONTROL,1_DH_1_CONTROL__cand_05,all6,optuna,generic_seed,trial_337,optuna_multi,7a74a72572fc5320,1,True,530.0634389503067,1,197.46556946697868,0.036309591863459084,0.003935699698220799,52.330239981449296,0.035058550455355136,8.2,1.0,6.798321056530878e-06,1.9606620200097793e-05,1.0888336764584933e-05,1.2635598601775555,6,0,2.624610685752303,562.2086628106746,0.6557881705820435,0.3442118294179565,0.5,562.2086628106746,0.3442118294179565,0.5,248.4715356300239,0.0,0.0,563.0528746400926,337,"[""trace"", ""feature"", ""binary""]","[0.6272727814028883, 0.3330453874804856, 0.5]",True,True,True,True,9,True,2.624610685752303,0.6557881705820435
1_DH_2_CONTROL,DH,CONTROL,1_DH_2_CONTROL__cand_10,all6,optuna,generic_seed,trial_254,optuna_multi,7a74a72572fc5320,1,True,663.4501522114058,1,38.202709281755745,0.036309591863459084,0.0012889923018888974,56.3374428959916,0.00451268783116729,8.2,1.0,2.6738182964551793e-08,0.003351462799558784,0.008205918074565565,0.05656130570844847,6,0,3.013730012174142,676.5844402662366,0.6782504003944498,0.32174959960555016,1.0,676.5844402662366,0.32174959960555016,1.0,298.66224153681156,0.0,0.0,677.9061898658422,254,"[""trace"", ""feature"", ""binary""]","[0.7456220959123282, 0.31049170357051203, 1.0]",True,True,True,True,1,True,2.8258133954089573,0.6766339790905781
