file_id,region,condition,fit_scope,heldout_sweep,train_sweeps,candidate_id,optimizer_status,optimizer_success,optimizer_cost,optimizer_nfev,heldout_trace_rmse_mV,heldout_weighted_pass_fraction,simulation_health,heldout_pass
2_DH_1_CONTROL,DH,CONTROL,leave_one_out,4,"1,2,3,5,6",2_DH_1_CONTROL__cand_05,3,True,85.60667293228668,15,1.066342202030169,0.7142857142857143,ok,True
2_DH_1_CONTROL,DH,CONTROL,leave_one_out,5,"1,2,3,4,6",2_DH_1_CONTROL__cand_05,3,True,80.02192180875869,18,1.3118387334590906,0.6698222595292157,ok,True
2_DH_1_CONTROL,DH,CONTROL,leave_one_out,6,"1,2,3,4,5",2_DH_1_CONTROL__cand_05,3,True,74.25326284238503,21,2.2573813489438237,0.6366600429623731,ok,True
2_VH_1_CONTROL,VH,CONTROL,leave_one_out,1,"2,3,4,5,6",2_VH_1_CONTROL__cand_07,3,True,1150.0498280589245,28,3.458943044717816,0.4997338860119619,ok,False
2_VH_1_CONTROL,VH,CONTROL,leave_one_out,2,"1,3,4,5,6",2_VH_1_CONTROL__cand_07,0,False,1095.644997970358,40,1.364955887042946,0.1588747177176658,ok,False
2_VH_1_CONTROL,VH,CONTROL,leave_one_out,3,"1,2,4,5,6",2_VH_1_CONTROL__cand_07,4,True,1099.147713622,29,0.837952588343043,0.7142857142857143,ok,True
2_VH_1_CONTROL,VH,CONTROL,leave_one_out,4,"1,2,3,5,6",2_VH_1_CONTROL__cand_07,3,True,847.207625408947,18,2.4280596294190437,0.683811248213366,ok,True
2_VH_1_CONTROL,VH,CONTROL,leave_one_out,5,"1,2,3,4,6",2_VH_1_CONTROL__cand_07,4,True,1173.7239652020362,28,3.567494385921306,0.32375357667917504,ok,False
2_VH_1_CONTROL,VH,CONTROL,leave_one_out,6,"1,2,3,4,5",2_VH_1_CONTROL__cand_07,4,True,936.1011541555263,20,5.120207645661599,0.18679689960361812,ok,False
3_DH_1_CONTROL,DH,CONTROL,leave_one_out,1,"2,3,4,5,6",3_DH_1_CONTROL__cand_08,0,False,79.81624548457192,40,2.4814777395571315,0.6030527646852201,ok,True
3_DH_1_CONTROL,DH,CONTROL,leave_one_out,2,"1,3,4,5,6",3_DH_1_CONTROL__cand_08,3,True,88.56843076468256,21,0.8101828292170811,0.7142857142857143,ok,True
3_DH_1_CONTROL,DH,CONTROL,leave_one_out,3,"1,2,4,5,6",3_DH_1_CONTROL__cand_08,2,True,87.89302874984213,20,2.5140445799205238,0.7142857142857143,ok,True
3_DH_1_CONTROL,DH,CONTROL,leave_one_out,4,"1,2,3,5,6",3_DH_1_CONTROL__cand_08,0,False,85.84455217230003,40,3.179076135027716,0.7142857142857143,ok,True
3_DH_1_CONTROL,DH,CONTROL,leave_one_out,5,"1,2,3,4,6",3_DH_1_CONTROL__cand_08,3,True,80.19029393715088,18,4.978480371665651,0.6580809695485096,ok,False
3_DH_1_CONTROL,DH,CONTROL,leave_one_out,6,"1,2,3,4,5",3_DH_1_CONTROL__cand_08,3,True,73.58998426200874,21,6.389380021811045,0.6251201028614671,ok,False
3_DH_2_CONTROL,DH,CONTROL,leave_one_out,1,"2,3,4,5,6",3_DH_2_CONTROL__cand_09,3,True,78.63292422964562,20,2.64289044329628,0.6007576179106466,ok,True
3_DH_2_CONTROL,DH,CONTROL,leave_one_out,2,"1,3,4,5,6",3_DH_2_CONTROL__cand_09,3,True,86.93649529413908,17,0.9892710626051445,0.7142857142857143,ok,True
3_DH_2_CONTROL,DH,CONTROL,leave_one_out,3,"1,2,4,5,6",3_DH_2_CONTROL__cand_09,3,True,88.24081651777479,14,1.6104143002121822,0.7142857142857143,ok,True
3_DH_2_CONTROL,DH,CONTROL,leave_one_out,4,"1,2,3,5,6",3_DH_2_CONTROL__cand_09,3,True,86.69843724277088,13,3.3097787098781053,0.7142857142857143,ok,True
3_DH_2_CONTROL,DH,CONTROL,leave_one_out,5,"1,2,3,4,6",3_DH_2_CONTROL__cand_09,3,True,82.3331933857805,17,5.194059579581716,0.6455732645843503,ok,False
3_DH_2_CONTROL,DH,CONTROL,leave_one_out,6,"1,2,3,4,5",3_DH_2_CONTROL__cand_09,3,True,73.3906550538563,16,7.103545337254212,0.6095137044366147,ok,False
3_VH_1_CONTROL,VH,CONTROL,leave_one_out,1,"2,3,4,5,6",3_VH_1_CONTROL__cand_09,3,True,931.3867449902131,14,2.5228880968740848,0.5508412937606016,ok,True
3_VH_1_CONTROL,VH,CONTROL,leave_one_out,2,"1,3,4,5,6",3_VH_1_CONTROL__cand_09,3,True,888.294624623916,13,1.03716493804799,0.6196909131280792,ok,True
3_VH_1_CONTROL,VH,CONTROL,leave_one_out,3,"1,2,4,5,6",3_VH_1_CONTROL__cand_09,3,True,874.2499606398036,14,1.7921216440244359,0.7142857142857143,ok,True
3_VH_1_CONTROL,VH,CONTROL,leave_one_out,4,"1,2,3,5,6",3_VH_1_CONTROL__cand_09,3,True,654.5654333636032,14,2.8550144978581264,0.5017347726672072,ok,True
3_VH_1_CONTROL,VH,CONTROL,leave_one_out,5,"1,2,3,4,6",3_VH_1_CONTROL__cand_09,3,True,958.072950674882,13,3.879301145375553,0.3551596859600369,ok,False
3_VH_1_CONTROL,VH,CONTROL,leave_one_out,6,"1,2,3,4,5",3_VH_1_CONTROL__cand_09,3,True,744.6733473252932,13,5.307466226660337,0.28571428571428575,ok,False
DH_1_CONTROL,DH,CONTROL,leave_one_out,1,"2,3,4,5,6",DH_1_CONTROL__cand_35,3,True,59.90640041410883,13,4.430133316585365,0.5714285714285714,ok,False
DH_1_CONTROL,DH,CONTROL,leave_one_out,2,"1,3,4,5,6",DH_1_CONTROL__cand_35,3,True,74.02479516633349,16,3.2308189191292835,0.7142857142857143,ok,True
DH_1_CONTROL,DH,CONTROL,leave_one_out,3,"1,2,4,5,6",DH_1_CONTROL__cand_35,3,True,72.56178526174529,21,2.220412329884456,0.7142857142857143,ok,True
DH_1_CONTROL,DH,CONTROL,leave_one_out,4,"1,2,3,5,6",DH_1_CONTROL__cand_35,3,True,62.270177655755205,17,1.5369373343403814,0.6947466325664432,ok,True
DH_1_CONTROL,DH,CONTROL,leave_one_out,5,"1,2,3,4,6",DH_1_CONTROL__cand_35,3,True,75.66587697642014,19,3.0344215562882924,0.647182348327463,ok,True
