fit_scope,file_id,candidate_id,simulation_health,trace_rmse_mV,trace_objective_loss,pass_stim_end_depolarization_mV,pass_rise_tau_s,pass_undershoot_magnitude_mV,pass_decay_tau_s,weighted_pass_fraction,weighted_feature_penalty,feature_loss,binary_penalty,peak_depolarization_mV,stim_end_depolarization_mV,rise_slope_mV_per_s,rise_tau_s,plateau_slope_mV_per_s,undershoot_magnitude_mV,decay_slope_mV_per_s,decay_tau_s,return_slope_mV_per_s,plateau_reached_sim,has_undershoot_sim,sweep,current_na,region,condition,pass_peak_depolarization_mV,pass_rise_slope_mV_per_s,pass_plateau_slope_mV_per_s,pass_decay_slope_mV_per_s,pass_return_slope_mV_per_s
all6,VH_6_MFA,VH_6_MFA__hybrid_pre_01,ok,0.7849962937176292,199.19726257984684,False,False,False,False,0.26179688656096417,0.7382031134390358,0.7382031134390358,1.0,4.251931060260162,3.590562938882158e-05,0.7106838557111741,5.982872730386282,-2.2969401634480218e-10,0.0,1.1387076941219739e-10,37339969530.448364,2.0919873317101706e-11,True,False,1,50,VH,MFA,,,,,
all6,VH_6_MFA,VH_6_MFA__hybrid_pre_01,ok,1.2657070203320737,291.1187288082807,False,False,True,False,0.2857142857142857,0.7142857142857143,0.7142857142857143,0.5,6.270657305672572,3.590643811435257e-05,1.0481045147077126,5.9828549707385665,4.490064896590994e-12,0.0,1.3301550052345407e-12,4714230507719.582,1.3273272922187756e-12,True,False,2,75,VH,MFA,,,,,
all6,VH_6_MFA,VH_6_MFA__hybrid_pre_01,ok,1.44052567279563,359.3191778799226,False,False,True,False,0.2857142857142857,0.7142857142857143,0.7142857142857143,0.5,8.477366676278024,3.595190038652163e-05,1.4169457693593734,5.982844834005745,1.436379836151133e-08,0.0,-3.8454939504503773e-10,22044935671.489407,-8.499258775726358e-11,True,False,3,100,VH,MFA,,,,,
all6,VH_6_MFA,VH_6_MFA__hybrid_pre_01,ok,1.433335420581183,392.8278802443652,False,False,True,False,0.2857142857142857,0.7142857142857143,0.7142857142857143,0.5,11.203248670012655,3.590698624122979e-05,1.8725642959169027,5.982837916135198,-9.738489955588812e-09,0.0,-8.874034095309071e-11,126247527896.41452,-6.121993164273671e-13,True,False,4,125,VH,MFA,,,,,
all6,VH_6_MFA,VH_6_MFA__hybrid_pre_01,ok,1.6835630102326695,446.7883525888534,False,False,True,False,0.2857142857142857,0.7142857142857143,0.7142857142857143,1.0,12.381317695192081,3.590657935603758e-05,2.069473067542602,5.982835867438608,2.5301092097566907e-09,0.0,-1.3974545125827367e-11,885990748443.7023,-4.488519089442148e-13,True,False,5,150,VH,MFA,,,,,
all6,VH_6_MFA,VH_6_MFA__hybrid_pre_01,ok,2.1064554190720663,549.1274886557328,False,False,True,False,0.2857142857142857,0.7142857142857143,0.7142857142857143,0.5,13.14108627633648,3.590649652096545e-05,2.1964648446586135,5.982834784855816,-7.867312614774361e-11,0.0,-3.958794475040678e-14,,-3.6288952640018795e-14,True,False,6,175,VH,MFA,,,,,
all6,VH_6_MFA,VH_6_MFA__hybrid_pre_02,ok,0.7229630558474718,208.5090488932825,False,False,False,False,0.26179688656096417,0.7382031134390358,0.7382031134390358,1.0,4.740218173843914,0.0002074067939474844,0.7922750661184543,5.983046010860067,1.0152091361265584e-10,0.0,5.025293931202665e-11,94327182424.32187,2.1004516114802234e-11,True,False,1,50,VH,MFA,,,,,
all6,VH_6_MFA,VH_6_MFA__hybrid_pre_02,ok,1.1192334085513103,290.66122871053426,False,False,True,False,0.2857142857142857,0.7142857142857143,0.7142857142857143,0.5,6.946356356829924,0.00020740736600544096,1.1610209976229813,5.982972203820224,7.334062974659201e-12,0.0,2.1852546688051956e-12,3178739968384.507,1.3356218495617267e-13,True,False,2,75,VH,MFA,,,,,
all6,VH_6_MFA,VH_6_MFA__hybrid_pre_02,ok,1.3025455860538524,359.3739518560047,False,False,True,False,0.2857142857142857,0.7142857142857143,0.7142857142857143,0.5,9.333427643932538,0.00020740730164447996,1.5600089827828068,5.982931987534581,-1.2431954867928342e-08,0.0,4.0047166720733776e-11,233060873170.34357,-1.3328884658228428e-12,True,False,3,100,VH,MFA,,,,,
all6,VH_6_MFA,VH_6_MFA__hybrid_pre_02,ok,1.4790306563340108,455.7135849276997,False,False,True,False,0.2857142857142857,0.7142857142857143,0.7142857142857143,0.5,12.252841609065726,0.00020740737581093072,2.0479754746785814,5.982904463730818,6.021009965087882e-11,0.0,9.659458809362865e-13,,3.5779962796592887e-13,True,False,4,125,VH,MFA,,,,,
all6,VH_6_MFA,VH_6_MFA__hybrid_pre_02,ok,1.6531375316560961,497.136982085394,False,False,True,False,0.2857142857142857,0.7142857142857143,0.7142857142857143,1.0,13.505929848451629,0.00020740750902348282,2.257423323462739,5.982896388141512,-7.247214937866314e-09,0.0,-7.513792248706076e-12,1797485131529.613,-6.941086630097081e-12,True,False,5,150,VH,MFA,,,,,
all6,VH_6_MFA,VH_6_MFA__hybrid_pre_02,ok,1.939368182099675,553.75332897801,False,False,True,False,0.2857142857142857,0.7142857142857143,0.7142857142857143,0.5,14.311596051383589,0.00020740738621327637,2.3920866513141528,5.9828919840847545,-2.633073499995086e-11,0.0,-7.917591507538598e-15,,-1.2347672653072545e-14,True,False,6,175,VH,MFA,,,,,
all6,VH_6_MFA,VH_6_MFA__hybrid_pre_03,ok,0.837884519505771,191.74988838324157,False,False,False,False,0.26181329507499246,0.7381867049250076,0.7381867049250076,0.5,3.977936768591462,-2.5139070643831474e-05,0.6648936626795783,5.982816489121038,-8.02359791012069e-10,2.514823336241534e-05,-1.0991830882959918e-09,3618993788.1579466,-3.381823896948224e-10,True,True,1,50,VH,MFA,,,,,
all6,VH_6_MFA,VH_6_MFA__hybrid_pre_03,ok,1.3622306849593677,287.46559402452584,False,False,True,False,0.2857142857142857,0.7142857142857143,0.7142857142857143,0.0,5.888265650528965,-2.49913280185865e-05,0.9841957825018712,5.982819430053562,2.564704641178399e-08,2.532921625686413e-05,-7.983759767761996e-08,73753041.44678141,5.981610437556786e-09,True,True,2,75,VH,MFA,,,,,
all6,VH_6_MFA,VH_6_MFA__hybrid_pre_03,ok,1.54226241299941,354.3883391855098,False,False,True,False,0.2857142857142857,0.7142857142857143,0.7142857142857143,0.0,7.988975609005905,-2.51484066922103e-05,1.3353195141037648,5.982819485992398,3.661349033639595e-09,2.5150831675091467e-05,-1.6468585758976398e-11,485103926100.72296,-1.646792595868844e-11,True,True,3,100,VH,MFA,,,,,
all6,VH_6_MFA,VH_6_MFA__hybrid_pre_03,ok,1.450572547523564,365.45796347513914,False,False,True,False,0.2857142857142857,0.7142857142857143,0.7142857142857143,0.0,10.599243210063108,-2.515284734272427e-05,1.7716135662340369,5.982818946568683,9.65304808234147e-09,2.5152131541972267e-05,6.235972513976861e-10,16996937023.546408,-2.244382074509923e-11,True,True,4,125,VH,MFA,,,,,
all6,VH_6_MFA,VH_6_MFA__hybrid_pre_03,ok,1.738008928052114,431.19184881756496,False,False,True,False,0.2857142857142857,0.7142857142857143,0.7142857142857143,0.5,11.731955897261884,-2.5089536919153943e-05,1.9609412358415002,5.98281870095273,-2.1994192159753024e-10,2.5152149191853823e-05,-1.0550187751431962e-08,1112013944.5546381,1.9934416223286862e-12,True,True,5,150,VH,MFA,,,,,
all6,VH_6_MFA,VH_6_MFA__hybrid_pre_03,ok,2.223195951878733,545.1079228695683,False,False,True,False,0.2857142857142857,0.7142857142857143,0.7142857142857143,0.0,12.463820696098281,-2.5150686440156278e-05,2.0832690504997933,5.982818538540718,-1.4308954803899897e-08,2.515093159161097e-05,-1.8701345945819575e-11,666466506325.6794,-1.2115231237621603e-11,True,True,6,175,VH,MFA,,,,,
