file_id,region,condition,parameter,coordinate_type,n_accepted_candidate_values,log10_value_span,within_range_fraction,step03_identifiability_status,cell_specific_identifiability_status,claim_scope
VH_4_MFA,VH,MFA,zth,raw,9,2.0046143872095445,0.1111111111111111,weakly_identified,cell_ensemble_broad_or_sloppy,cell_specific_parameter_claim_downgraded
VH_4_MFA_BA,VH,MFA_BA,P_gap_eff,effective,12,0.868723792595385,1.0,weakly_identified,cell_ensemble_moderately_broad,cell_specific_parameter_claim_downgraded
VH_4_MFA_BA,VH,MFA_BA,eps,raw,12,0.22330692670301389,1.0,identifiable,cell_ensemble_tightly_constrained,cell_specific_parameter_value_supported
VH_4_MFA_BA,VH,MFA_BA,gamma_s_eff,effective,12,5.70227013694089,0.9166666666666666,weakly_identified,cell_ensemble_broad_or_sloppy,cell_specific_parameter_claim_downgraded
VH_4_MFA_BA,VH,MFA_BA,gamma_t_eff,effective,12,4.946050213401085,1.0,weakly_identified,cell_ensemble_broad_or_sloppy,cell_specific_parameter_claim_downgraded
VH_4_MFA_BA,VH,MFA_BA,gki,raw,12,1.7705021656030384,0.9166666666666666,identifiable,cell_ensemble_broad_or_sloppy,cell_specific_parameter_claim_downgraded
VH_4_MFA_BA,VH,MFA_BA,gl_a,raw,12,4.864058794513888,1.0,identifiable,cell_ensemble_broad_or_sloppy,cell_specific_parameter_claim_downgraded
VH_4_MFA_BA,VH,MFA_BA,volume_ratio_wa_wo,effective,12,1.6163529350548353,1.0,weakly_identified,cell_ensemble_broad_or_sloppy,cell_specific_parameter_claim_downgraded
VH_4_MFA_BA,VH,MFA_BA,zs,raw,12,0.33264435403602566,1.0,weakly_identified,cell_ensemble_tightly_constrained,cell_specific_parameter_value_supported
VH_4_MFA_BA,VH,MFA_BA,zth,raw,12,1.2863130144291821,0.0,weakly_identified,cell_ensemble_moderately_broad,cell_specific_parameter_claim_downgraded
VH_5_MFA,VH,MFA,P_gap_eff,effective,13,1.5459044597023341,1.0,weakly_identified,cell_ensemble_broad_or_sloppy,cell_specific_parameter_claim_downgraded
VH_5_MFA,VH,MFA,eps,raw,13,0.48343684981613455,1.0,identifiable,cell_ensemble_tightly_constrained,cell_specific_parameter_value_supported
VH_5_MFA,VH,MFA,gamma_s_eff,effective,13,3.3001765822520754,1.0,weakly_identified,cell_ensemble_broad_or_sloppy,cell_specific_parameter_claim_downgraded
VH_5_MFA,VH,MFA,gamma_t_eff,effective,13,2.8378382908213586,1.0,weakly_identified,cell_ensemble_broad_or_sloppy,cell_specific_parameter_claim_downgraded
VH_5_MFA,VH,MFA,gki,raw,13,1.4003352043269945,1.0,identifiable,cell_ensemble_moderately_broad,cell_specific_parameter_claim_downgraded
VH_5_MFA,VH,MFA,gl_a,raw,13,2.4687293898940244,1.0,identifiable,cell_ensemble_broad_or_sloppy,cell_specific_parameter_claim_downgraded
VH_5_MFA,VH,MFA,volume_ratio_wa_wo,effective,13,2.0351990252914893,1.0,weakly_identified,cell_ensemble_broad_or_sloppy,cell_specific_parameter_claim_downgraded
VH_5_MFA,VH,MFA,zs,raw,13,4.431541675216717,0.8461538461538461,weakly_identified,cell_ensemble_broad_or_sloppy,cell_specific_parameter_claim_downgraded
VH_5_MFA,VH,MFA,zth,raw,13,1.0456772619552477,0.0,weakly_identified,cell_ensemble_moderately_broad,cell_specific_parameter_claim_downgraded
VH_5_MFA_BA,VH,MFA_BA,P_gap_eff,effective,24,2.314178687334747,1.0,weakly_identified,cell_ensemble_broad_or_sloppy,cell_specific_parameter_claim_downgraded
VH_5_MFA_BA,VH,MFA_BA,eps,raw,24,1.8227198376039786,1.0,identifiable,cell_ensemble_broad_or_sloppy,cell_specific_parameter_claim_downgraded
VH_5_MFA_BA,VH,MFA_BA,gamma_s_eff,effective,24,3.606170346484936,1.0,weakly_identified,cell_ensemble_broad_or_sloppy,cell_specific_parameter_claim_downgraded
VH_5_MFA_BA,VH,MFA_BA,gamma_t_eff,effective,24,3.7254857161275132,1.0,weakly_identified,cell_ensemble_broad_or_sloppy,cell_specific_parameter_claim_downgraded
VH_5_MFA_BA,VH,MFA_BA,gki,raw,24,2.5933799760947873,0.9583333333333334,identifiable,cell_ensemble_broad_or_sloppy,cell_specific_parameter_claim_downgraded
