source_scope,db_name,condition,current_na,trial_number,candidate_id,P_gap_eff,gamma_s_eff,gki,zth,zs,sigmoid_state_at_stim_end_10_90,sigmoid_state_at_sim_end_10_90,temporal_recruitment_class,gap_fraction,kir_fraction,leak_fraction,Ko_peak_mM,Ko_final_mM,Ko_recovery_error_mM,Ko_rise_rate_mM_per_s,Ko_decay_rate_abs_mM_per_s,Ko_efficiency_score,Ko_efficiency_quadrant
legacy_single_current_optuna,CONTROL_50nA.db,CONTROL,50,2067,CONTROL_50nA.db::trial_2067,4.282360303663508e-06,9.09790791929634e-05,153.29351749574417,26.454507263519563,9.993184959543964,closed_low,closed_low,fully_closed_at_sim_end,0.49907176750174226,0.26563060780618614,0.2352976246920716,7.431297476652119,5.225420525576798,0.1441763974298107,0.9681833172455083,1.4231687595122933,0.6803011313832491,slow_rise_fast_decay
legacy_single_current_optuna,CONTROL_50nA.db,CONTROL,50,2182,CONTROL_50nA.db::trial_2182,2.3492732809253007e-06,9.032886576605346e-05,153.08445132028132,25.401323087077404,9.634384174075576,closed_low,closed_low,fully_closed_at_sim_end,0.4978700399305159,0.3729901418754663,0.12913981819401776,7.385863921768092,5.216210664661048,0.13769399791728532,1.0413763512290686,1.3764221896184303,0.7565820713176364,slow_rise_fast_decay
legacy_single_current_optuna,CONTROL_50nA.db,CONTROL,50,2262,CONTROL_50nA.db::trial_2262,1.2858981468896958e-06,9.479927677620864e-05,144.87055837739868,28.831453023950207,9.685946474434786,closed_low,closed_low,fully_closed_at_sim_end,0.45773877699381954,0.49559584687199726,0.046665376134183145,7.443721942860509,5.272450069681761,0.04250663471779692,1.1897343258358029,1.369467223201878,0.8687570652871477,slow_rise_fast_decay
legacy_single_current_optuna,CONTROL_50nA.db,CONTROL,50,2250,CONTROL_50nA.db::trial_2250,2.937395337651901e-06,8.8797995455932e-05,147.8197101135918,28.854410632837933,9.574525881735362,closed_low,closed_low,fully_closed_at_sim_end,0.4985650894112733,0.410451073023253,0.09098383756547374,7.349912270914913,5.194587658911069,0.19368059713413288,0.9513757638688768,1.479821534853596,0.6428989857638474,slow_rise_fast_decay
legacy_single_current_optuna,CONTROL_50nA.db,CONTROL,50,2413,CONTROL_50nA.db::trial_2413,1.2885557584394587e-09,8.725553616290637e-05,171.043344372551,38.741498524540816,9.160629354081223,closed_low,closed_low,fully_closed_at_sim_end,0.00043039149743447574,0.5018439736833401,0.4977256348192253,7.509948517605217,5.368083577008802,0.04446488356414857,1.4477624967106475,1.6335212548016416,0.8862832316720907,fast_rise_fast_decay
legacy_single_current_optuna,CONTROL_50nA.db,CONTROL,50,2482,CONTROL_50nA.db::trial_2482,6.02171891222531e-08,1.7939379592998716e-05,181.63069593169084,42.595369216719135,8.680509937854431,closed_low,closed_low,fully_closed_at_sim_end,0.019425441951958854,0.5013655415256687,0.47920901652237236,7.582398220593537,5.3612352222193,0.010875281799663128,1.6115422307647174,1.6837523473077765,0.9571135763174917,fast_rise_fast_decay
legacy_single_current_optuna,CONTROL_50nA.db,CONTROL,50,2158,CONTROL_50nA.db::trial_2158,2.7817965870930027e-06,9.15262446539675e-05,152.50914192650475,27.49682832879798,9.801732934565274,closed_low,closed_low,fully_closed_at_sim_end,0.49835743696785895,0.3318021319872445,0.16984043104489654,7.325636761001746,5.219914660827681,0.11553407760779155,0.9954027446387633,1.3104611102232433,0.7595820561734882,slow_rise_fast_decay
legacy_single_current_optuna,CONTROL_50nA.db,CONTROL,50,2480,CONTROL_50nA.db::trial_2480,8.004467403888231e-08,2.3570748949078624e-05,180.355015425034,43.49242527598808,8.91158479528212,closed_low,closed_low,fully_closed_at_sim_end,0.024310292567453096,0.5015002500417759,0.47418945739077095,7.576940584087237,5.339441167035872,0.023735916740065477,1.6549369865239811,1.7738460221300587,0.9329654129374262,fast_rise_fast_decay
legacy_single_current_optuna,CONTROL_50nA.db,CONTROL,50,2348,CONTROL_50nA.db::trial_2348,3.0341413034743366e-06,0.0001081541279518,151.57351094994323,33.27381527799595,9.786372278256463,closed_low,closed_low,fully_closed_at_sim_end,0.4988988071159674,0.43979430841087697,0.061306884473155715,7.369278925979174,5.231753225793331,0.2093917849906397,0.8654600757839818,1.5697964744372561,0.5513199257847956,slow_rise_fast_decay
legacy_single_current_optuna,CONTROL_50nA.db,CONTROL,50,2402,CONTROL_50nA.db::trial_2402,4.15973688203755e-08,8.824941035519388e-05,170.36549599013543,39.13516032252513,9.477520822391767,closed_low,closed_low,fully_closed_at_sim_end,0.012571126898397898,0.5016694656987586,0.4857594074028435,7.543681543900689,5.356220942935877,0.04069266285761852,1.5914734082604372,1.7683805738219016,0.8999609200755214,fast_rise_fast_decay
legacy_single_current_optuna,CONTROL_50nA.db,CONTROL,50,2319,CONTROL_50nA.db::trial_2319,2.8478066873654205e-06,9.937800609658212e-05,152.0828148803231,30.828771190122836,9.382047146690695,closed_low,closed_low,fully_closed_at_sim_end,0.49849406935925406,0.41801756876081103,0.08348836187993494,7.356751907514514,5.268458042943886,0.1865225152180603,0.8130606979045304,1.3700303849951194,0.593461799686601,slow_rise_fast_decay
legacy_single_current_optuna,CONTROL_50nA.db,CONTROL,50,2365,CONTROL_50nA.db::trial_2365,1.2727722450772629e-06,8.831333509874426e-05,165.4437953980073,33.43950614428915,9.376505441307785,closed_low,closed_low,fully_closed_at_sim_end,0.3843391851063452,0.4985493022466272,0.11711151264702756,7.549470445958419,5.348359405406089,0.033239726211474974,1.3831634428184214,1.606965545723974,0.8607299929353963,fast_rise_fast_decay
legacy_single_current_optuna,CONTROL_50nA.db,CONTROL,50,2422,CONTROL_50nA.db::trial_2422,6.255797305735121e-07,8.806363137566514e-05,169.7017556498813,42.58362127909399,9.231854550687968,closed_low,closed_low,fully_closed_at_sim_end,0.1745073973482595,0.5005149970556907,0.32497760559604977,7.505981894442463,5.344687344873168,0.058374767536325756,1.4594207114185187,1.7498665944436336,0.8340182709085537,fast_rise_fast_decay
legacy_single_current_optuna,CONTROL_50nA.db,CONTROL,50,2364,CONTROL_50nA.db::trial_2364,1.0984108578107296e-06,8.876009050186576e-05,157.6935860183883,31.46840124071689,9.633727686997627,closed_low,closed_low,fully_closed_at_sim_end,0.4465877994592087,0.4967663732749404,0.056645827265850934,7.496110380919549,5.297082562889424,0.030860714567296554,1.3420623928965851,1.4592474859444877,0.9196948467092576,fast_rise_fast_decay
legacy_single_current_optuna,CONTROL_50nA.db,CONTROL,50,2439,CONTROL_50nA.db::trial_2439,3.513229199116919e-08,1.5301773394770794e-05,175.8260620492931,48.90508604228876,9.083196857802813,closed_low,closed_low,fully_closed_at_sim_end,0.011012736535355838,0.5015262640617113,0.4874609994029328,7.622304178101095,5.37790125680106,0.012571979584570236,1.6721309695757756,1.8354400122969707,0.9110245817749058,fast_rise_fast_decay
legacy_single_current_optuna,CONTROL_50nA.db,CONTROL,50,2461,CONTROL_50nA.db::trial_2461,1.4704712633964243e-09,1.3441198629748988e-05,177.0926024997393,46.34616122828807,8.785118123670108,closed_low,closed_low,fully_closed_at_sim_end,0.0005050308823843057,0.5014261209589479,0.4980688481586678,7.650218413312101,5.382773821757824,-0.011066664738636156,1.7703894657144188,1.9171328451048533,0.9234568539341839,fast_rise_fast_decay
legacy_single_current_optuna,CONTROL_50nA.db,CONTROL,50,2434,CONTROL_50nA.db::trial_2434,2.0184194982510403e-09,1.7279587929869833e-05,171.60946095761673,42.64391617315261,8.99400676075042,closed_low,closed_low,fully_closed_at_sim_end,0.0005955250534703983,0.5015746234195559,0.4978298515269738,7.5859726148041595,5.356726274261389,0.03638063705372652,1.6499992645487331,1.8671298749211902,0.8837088874807801,fast_rise_fast_decay
legacy_single_current_optuna,CONTROL_50nA.db,CONTROL,50,2435,CONTROL_50nA.db::trial_2435,1.326295756814192e-09,4.172639968935215e-05,171.57570509897084,47.25883193036165,9.0830267608423,closed_low,closed_low,fully_closed_at_sim_end,0.0004182916599947286,0.5015991487597651,0.49798255958024035,7.619547174129411,5.370588860967473,0.016803913732852394,1.6918480679356878,1.8864647366316578,0.8968352469479688,fast_rise_fast_decay
legacy_single_current_optuna,CONTROL_50nA.db,CONTROL,50,2487,CONTROL_50nA.db::trial_2487,6.4092788635031e-07,2.556709396022676e-05,186.63583242717365,44.18447528150378,8.539332161767524,closed_low,closed_low,fully_closed_at_sim_end,0.1879709786820973,0.500026918073824,0.31200210324407857,7.591087856349515,5.380084793460434,0.015466092284522226,1.5718128154955688,1.7065005169684624,0.9210737411834123,fast_rise_fast_decay
legacy_single_current_optuna,CONTROL_50nA.db,CONTROL,50,2466,CONTROL_50nA.db::trial_2466,3.168595597773277e-08,1.148604166168604e-05,180.24781828978416,46.06480421932587,8.614815036758396,closed_low,closed_low,fully_closed_at_sim_end,0.010947680921452402,0.5013131719376814,0.4877391471408662,7.638729501911734,5.399595022749441,-0.010232449848330383,1.7217964954286251,1.8649949345584593,0.9232177865599744,fast_rise_fast_decay
legacy_single_current_optuna,CONTROL_50nA.db,CONTROL,50,2458,CONTROL_50nA.db::trial_2458,1.8773400882977032e-08,1.3776060816996489e-05,176.9364433129351,51.48201957282162,8.812209300375143,closed_low,closed_low,fully_closed_at_sim_end,0.0058071886429390445,0.5015711165226607,0.4926216948344001,7.625641126753885,5.370248107914663,0.00941850834006619,1.7549727959248713,1.97175770076447,0.890054997753756,fast_rise_fast_decay
legacy_single_current_optuna,CONTROL_50nA.db,CONTROL,50,2133,CONTROL_50nA.db::trial_2133,2.6844549229733337e-06,9.137219312516512e-05,150.5664586647997,24.91095832638408,9.985328723031136,closed_low,closed_low,fully_closed_at_sim_end,0.4983433327072798,0.26785758402284726,0.2337990832698728,7.4785408555114214,5.24478370040946,0.029220262968597588,1.1892070213267683,1.3510692076255448,0.8801969689004729,slow_rise_fast_decay
legacy_single_current_optuna,CONTROL_50nA.db,CONTROL,50,2446,CONTROL_50nA.db::trial_2446,3.182223633234951e-08,1.6003250953295497e-05,170.31499015592814,46.493107723263066,8.966349083407772,closed_low,closed_low,fully_closed_at_sim_end,0.009018143777471573,0.5015519312118323,0.4894299250106962,7.601435970156501,5.338565882306409,0.03984946009282897,1.7035329458285455,1.9274018314793513,0.8838493966362073,fast_rise_fast_decay
legacy_single_current_optuna,CONTROL_50nA.db,CONTROL,50,2430,CONTROL_50nA.db::trial_2430,3.744561352869977e-08,2.9248505134200915e-05,171.76710664020072,35.85897176313304,9.21177742926345,closed_low,closed_low,fully_closed_at_sim_end,0.009323346737554236,0.5013789098448488,0.489297743417597,7.500970225757623,5.316136363304948,0.0835704169921696,1.6150614811534711,1.9207426965948784,0.8408525952053216,fast_rise_fast_decay
legacy_single_current_optuna,CONTROL_50nA.db,CONTROL,50,2369,CONTROL_50nA.db::trial_2369,1.435876496858642e-06,8.804553903758145e-05,166.93197107107088,35.85201702436409,9.299646228463256,closed_low,closed_low,fully_closed_at_sim_end,0.4373437037418451,0.4981624630319712,0.06449383322618356,7.511407602558116,5.325717106101459,0.0775088334417573,1.1704179589082568,1.537018406886877,0.7614859741848221,slow_rise_fast_decay
legacy_single_current_optuna,CONTROL_50nA.db,CONTROL,50,2055,CONTROL_50nA.db::trial_2055,4.359140517598751e-06,9.28692009813799e-05,151.67435315754992,27.333013466283084,9.99060424048256,closed_low,closed_low,fully_closed_at_sim_end,0.49930570221230786,0.28487727905794713,0.21581701872974493,7.067420469515273,5.128464525828569,0.4536932114448069,0.32512455606533636,1.3453298754234404,0.2416690225978992,slow_rise_fast_decay
legacy_single_current_optuna,CONTROL_50nA.db,CONTROL,50,2326,CONTROL_50nA.db::trial_2326,7.642202083639141e-07,9.842933118458335e-05,147.62250434004213,33.82754270939673,0.9926684832757866,closed_low,closed_low,fully_closed_at_sim_end,0.303204292877046,0.4991074247304261,0.19768828239252798,7.496932285224832,5.319046931087618,-0.01901203514233618,1.4865839848876812,1.495120767514878,0.9942902387468094,fast_rise_fast_decay
legacy_single_current_optuna,CONTROL_50nA.db,CONTROL,50,2453,CONTROL_50nA.db::trial_2453,2.1425096932039333e-08,1.5096983873628094e-05,177.62387122458708,44.70620017761256,9.014310636407629,closed_low,closed_low,fully_closed_at_sim_end,0.005964420111628786,0.5014590173091883,0.4925765625791829,7.550035322003289,5.364345507331747,0.0647945354482582,1.5281597200815507,1.8754660709083308,0.8148159776313245,fast_rise_fast_decay
legacy_single_current_optuna,CONTROL_50nA.db,CONTROL,50,2490,CONTROL_50nA.db::trial_2490,6.758548393145502e-07,2.9712978356133747e-05,186.05592078461504,43.95468855378208,8.647791215959915,closed_low,closed_low,fully_closed_at_sim_end,0.1654716342095379,0.5006284201989157,0.3338999455915464,7.565311554115386,5.320379314919506,0.049537974615413205,1.7029944666376944,1.9796727134249792,0.8602404099874614,fast_rise_fast_decay
legacy_single_current_optuna,CONTROL_50nA.db,CONTROL,50,2492,CONTROL_50nA.db::trial_2492,1.7269840381621686e-07,2.2581932876461517e-05,181.6573722123203,49.00900842473299,8.309408774943638,closed_low,closed_low,fully_closed_at_sim_end,0.05888337896478107,0.5010687021194913,0.4400479189157277,7.647616363804679,5.345272724827902,-0.014633143558516082,1.8883354950267714,2.02411410939769,0.9329194862381934,fast_rise_fast_decay
legacy_single_current_optuna,CONTROL_50nA.db,CONTROL,50,2449,CONTROL_50nA.db::trial_2449,1.4223253254186457e-08,1.1160485628426849e-05,175.81798605459872,46.72384497739036,9.004389013600429,closed_low,closed_low,fully_closed_at_sim_end,0.004503331560514348,0.501563633787644,0.49393303465184163,7.663862989122927,5.357013110713675,0.007537640678780377,1.7759736297425246,1.9558516098374548,0.908030865332427,fast_rise_fast_decay
legacy_single_current_optuna,CONTROL_50nA.db,CONTROL,50,2401,CONTROL_50nA.db::trial_2401,8.549152497819141e-10,8.794432036523507e-05,164.45045638101018,34.25963977079567,9.61963335816349,closed_low,closed_low,fully_closed_at_sim_end,0.00034889453940581714,0.5013715480721982,0.4982795573883959,7.5551441659553555,5.4128427450462455,-0.002204658862708264,1.362698551286964,1.45265485862433,0.9380745489520099,fast_rise_fast_decay
