source_scope,db_name,condition,current_na,trial_number,candidate_id,Ko_baseline_mM,Ko_peak_mM,Ko_final_mM,Ko_recovery_error_mM,Ko_rise_rate_mM_per_s,Ko_decay_rate_abs_mM_per_s,Ko_rise_over_decay_rate,Ko_efficiency_score,Ko_rise_speed_class,Ko_decay_speed_class,Ko_efficiency_quadrant,Ko_efficiency_status,Ko_rise_fast_slow_cutoff,Ko_decay_fast_slow_cutoff,Ko_efficiency_threshold_source,Ko_efficiency_threshold_interpretation
legacy_single_current_optuna,CONTROL_50nA.db,CONTROL,50,2439,CONTROL_50nA.db::trial_2439,5.36532927721649,7.622304178101095,5.37790125680106,0.012571979584570236,1.6721309695757756,1.8354400122969707,0.9110245817749058,0.9110245817749058,fast_rise,fast_decay,fast_rise_fast_decay,defined,1.2627466178182032,0.5158371509008914,source_scope_current_na_legacy_median,descriptive_legacy_baseline_median_no_experimental_observable
legacy_single_current_optuna,CONTROL_50nA.db,CONTROL,50,2461,CONTROL_50nA.db::trial_2461,5.39384048649646,7.650218413312101,5.382773821757824,-0.011066664738636156,1.7703894657144188,1.9171328451048533,0.9234568539341839,0.9234568539341839,fast_rise,fast_decay,fast_rise_fast_decay,defined,1.2627466178182032,0.5158371509008914,source_scope_current_na_legacy_median,descriptive_legacy_baseline_median_no_experimental_observable
legacy_single_current_optuna,CONTROL_50nA.db,CONTROL,50,2434,CONTROL_50nA.db::trial_2434,5.320345637207662,7.5859726148041595,5.356726274261389,0.03638063705372652,1.6499992645487331,1.8671298749211902,0.8837088874807801,0.8837088874807801,fast_rise,fast_decay,fast_rise_fast_decay,defined,1.2627466178182032,0.5158371509008914,source_scope_current_na_legacy_median,descriptive_legacy_baseline_median_no_experimental_observable
legacy_single_current_optuna,CONTROL_50nA.db,CONTROL,50,2435,CONTROL_50nA.db::trial_2435,5.353784947234621,7.619547174129411,5.370588860967473,0.016803913732852394,1.6918480679356878,1.8864647366316578,0.8968352469479688,0.8968352469479688,fast_rise,fast_decay,fast_rise_fast_decay,defined,1.2627466178182032,0.5158371509008914,source_scope_current_na_legacy_median,descriptive_legacy_baseline_median_no_experimental_observable
legacy_single_current_optuna,CONTROL_50nA.db,CONTROL,50,2487,CONTROL_50nA.db::trial_2487,5.364618701175912,7.591087856349515,5.380084793460434,0.015466092284522226,1.5718128154955688,1.7065005169684624,0.9210737411834123,0.9210737411834123,fast_rise,fast_decay,fast_rise_fast_decay,defined,1.2627466178182032,0.5158371509008914,source_scope_current_na_legacy_median,descriptive_legacy_baseline_median_no_experimental_observable
legacy_single_current_optuna,CONTROL_50nA.db,CONTROL,50,2466,CONTROL_50nA.db::trial_2466,5.4098274725977715,7.638729501911734,5.399595022749441,-0.010232449848330383,1.7217964954286251,1.8649949345584593,0.9232177865599744,0.9232177865599744,fast_rise,fast_decay,fast_rise_fast_decay,defined,1.2627466178182032,0.5158371509008914,source_scope_current_na_legacy_median,descriptive_legacy_baseline_median_no_experimental_observable
legacy_single_current_optuna,CONTROL_50nA.db,CONTROL,50,2458,CONTROL_50nA.db::trial_2458,5.360829599574597,7.625641126753885,5.370248107914663,0.00941850834006619,1.7549727959248713,1.97175770076447,0.890054997753756,0.890054997753756,fast_rise,fast_decay,fast_rise_fast_decay,defined,1.2627466178182032,0.5158371509008914,source_scope_current_na_legacy_median,descriptive_legacy_baseline_median_no_experimental_observable
legacy_single_current_optuna,CONTROL_50nA.db,CONTROL,50,2133,CONTROL_50nA.db::trial_2133,5.215563437440863,7.4785408555114214,5.24478370040946,0.029220262968597588,1.1892070213267683,1.3510692076255448,0.8801969689004729,0.8801969689004729,slow_rise,fast_decay,slow_rise_fast_decay,defined,1.2627466178182032,0.5158371509008914,source_scope_current_na_legacy_median,descriptive_legacy_baseline_median_no_experimental_observable
legacy_single_current_optuna,CONTROL_50nA.db,CONTROL,50,2446,CONTROL_50nA.db::trial_2446,5.29871642221358,7.601435970156501,5.338565882306409,0.03984946009282897,1.7035329458285455,1.9274018314793513,0.8838493966362073,0.8838493966362073,fast_rise,fast_decay,fast_rise_fast_decay,defined,1.2627466178182032,0.5158371509008914,source_scope_current_na_legacy_median,descriptive_legacy_baseline_median_no_experimental_observable
legacy_single_current_optuna,CONTROL_50nA.db,CONTROL,50,2430,CONTROL_50nA.db::trial_2430,5.2325659463127785,7.500970225757623,5.316136363304948,0.0835704169921696,1.6150614811534711,1.9207426965948784,0.8408525952053216,0.8408525952053216,fast_rise,fast_decay,fast_rise_fast_decay,defined,1.2627466178182032,0.5158371509008914,source_scope_current_na_legacy_median,descriptive_legacy_baseline_median_no_experimental_observable
