Experiment,K_bath_value_middle,Va_l,Va_s,ca,d,eps,eps_middle,gki,gl_a,gs,gt,pk,switching_function,wo,zs,zth,wo_middle,w_a,Value
BARIUM_50nA,5.795237576961135,-50.96492159783455,-91.0,315.0,0.909128186260662,0.039212704719569925,0.4128614360100207,131.189631513449,13.023393086148097,5.6654439856376,9.261681281074798,0.0004201969935407439,tanh,720.3486646206173,11.982227686378746,102.5587758881035,1.0,2000,
BARIUM_75nA,7.266835099863887,-41.14061292382656,-94.0,306.0,0.14619266866589856,0.0159527068447423,0.34315905207145875,65.93015489762841,28.740513476703523,36.2349679545453,47.749946846250864,0.0010142704631034576,tanh,1462.9353173042828,1.3165575850010538,48.61556013336165,1.0,2000,
BARIUM_100nA,7.6135255231,-56.8745591125,-96.0,305.0,0.1527750071,0.0565912569,0.2380694886,97.6753671694,22.0384472447,39.6641946701,6.931438366,0.0020033576,tanh,692.6532210344,0.6090445875,80.5015326009,1.0,2000,
BARIUM_125nA,8.906692187052442,-45.66470741967835,-92.0,374.0,0.20157709166685933,0.03419992011412953,0.20407864086599659,79.67333605286103,17.952943700481327,13.561422122271761,5.838595807735342,0.0013365325303553858,tanh,1261.4660379486904,9.37872324487854,107.09838357675893,1.0,2000,
BARIUM_150nA,10.78771988147905,-58.59732380832583,-90.0,346.0,0.40351946051097726,0.03725137697005033,0.20782306249243493,169.16092497102966,17.1775104506363,30.788629915343613,7.048675761247768,0.0005203616697177393,tanh,651.2219838705573,17.131967360481863,101.7320043068723,1.0,2000,
BARIUM_175nA,12.195979266290099,-63.024482174914425,-90.0,330.0,0.5334772793997636,0.03616201117962549,0.1152986872095962,155.8792084044128,1.036232407443971,1.9631746211672711,3.594121863634421,0.0007461020882281606,tanh,1261.8152001186315,16.56739794023887,114.95785886134534,1.0,2000,
