0.0,0.0124352,0.0138671,-0.00233749,0.0250529,0.0384417,0.0207879
1.0,0.0353234,0.0214965,0.0281801,0.0174235,0.0155535,0.00552914
2.0,0.0505822,-0.0471681,0.0434389,0.0250529,0.000294695,0.0284173
3.0,0.0810998,-0.0166505,-0.00233749,0.0174235,0.000294695,0.00552914
4.0,0.0429528,-0.0319093,0.0358095,0.0326823,-0.0225935,0.0207879
5.0,0.0429528,-0.0624269,-0.00233749,0.0174235,0.0231829,0.0436761
6.0,0.0505822,-0.0319093,0.0205507,0.00979413,0.000294695,0.0284173
7.0,0.0353234,-0.0319093,0.0129213,0.00979413,0.0155535,-0.00972965
8.0,0.0429528,-0.0319093,0.00529191,-0.00546465,0.0155535,-0.017359
9.0,0.0582116,-0.0547975,0.0434389,0.00979413,-0.0073347,-0.00210025
10.0,0.0353234,-0.0471681,0.0205507,0.0250529,0.0384417,0.0207879
11.0,0.027694,-0.0776856,0.0358095,0.0326823,-0.0149641,0.0284173
12.0,0.027694,-0.0319093,-0.00233749,0.0555705,0.00792409,0.0513055
13.0,-0.00282355,-0.00902108,0.0129213,0.0555705,0.0384417,0.0131585
14.0,0.027694,-0.00902108,0.00529191,0.0326823,0.00792409,0.0284173
15.0,-0.0180824,-0.0395387,0.0281801,0.0479411,0.0231829,0.0131585
16.0,0.0505822,-0.0319093,0.0281801,0.0250529,0.0231829,0.0436761
17.0,0.027694,-0.0242799,0.0129213,0.0860881,0.000294695,0.0436761
18.0,0.027694,0.0138671,0.0434389,0.0784587,0.0231829,0.0360467
19.0,-0.00282355,-0.0242799,-0.0481139,0.0250529,0.0155535,0.0360467
20.0,0.0353234,-0.0395387,-0.0328551,0.00979413,0.0231829,-0.017359
21.0,0.00480584,-0.00139169,-0.0175963,0.00979413,0.0308123,0.00552914
22.0,0.0429528,-0.00902108,-0.00996688,0.00979413,-0.0149641,-0.00972965
23.0,0.065841,-0.00902108,0.0205507,0.0174235,-0.0302229,0.0207879
24.0,0.0429528,-0.0319093,-0.0175963,0.0479411,0.00792409,-0.00210025
25.0,0.0429528,-0.0166505,-0.0175963,0.0555705,0.0231829,0.00552914
26.0,0.0353234,-0.0319093,-0.0481139,-0.00546465,-0.0073347,0.0207879
27.0,0.0200646,-0.0319093,0.00529191,-0.00546465,-0.0073347,0.0131585
28.0,0.0505822,-0.0242799,-0.0404845,-0.013094,-0.0225935,-0.00972965
29.0,0.0582116,-0.0319093,0.0129213,0.00979413,0.00792409,-0.00972965
30.0,0.065841,-0.0166505,0.0281801,0.0174235,0.0155535,0.0436761
31.0,0.0429528,-0.0547975,-0.00233749,0.0403117,0.00792409,-0.00210025
32.0,-0.0180823,-0.00139169,-0.0175963,0.0631999,0.00792409,0.0284173
33.0,0.0353234,-0.0242799,-0.0175963,0.0326823,0.0308123,0.0131585
34.0,0.0429528,0.0138671,-0.00233749,0.0250529,0.0537005,0.0436761
35.0,-0.0180823,-0.00139169,0.0281801,-0.00546465,0.00792409,0.00552914
36.0,0.027694,-0.00902108,0.0434389,0.0555705,0.0384417,0.0207879
37.0,0.0505822,0.00623771,0.0586977,0.0708293,0.0155535,0.0284173
38.0,-0.010453,-0.0166505,0.0129213,0.0479411,0.00792409,0.0360467
39.0,0.0200646,-0.00139169,-0.0175963,0.0250529,0.0308123,0.00552914
40.0,0.00480583,-0.0166505,-0.0404845,0.00979413,0.000294695,-0.00210025
41.0,0.027694,-0.00139169,-0.00233749,-0.0207234,-0.0225935,0.00552914
42.0,0.0353234,-0.00902108,0.0205507,0.0250529,-0.0149641,0.0284173
43.0,0.0734704,-0.0242799,0.0281801,0.00979413,-0.0454817,-0.00210025
44.0,0.0429528,-0.0395387,-0.00996688,0.0250529,-0.0149641,0.0131585
45.0,0.0429528,-0.0624269,-0.00233749,0.0403117,-0.0225935,0.0513055
46.0,0.0353234,-0.0471681,0.0129213,0.0250529,0.00792409,0.0284173
47.0,0.0353234,-0.0166505,0.0434389,-0.051241,0.0155535,0.0207879
