Time (ms),50 (nA),75 (nA),100 (nA),125 (nA) ,149 (nA),174 (nA)
7600,-0.024641359,-0.01874888,-0.03142118,-0.017540547,-0.035773757,0.014510009
7700,-0.023191781,-0.042247393,-0.020358581,-0.017693126,-0.033828265,0.019736141
7800,-0.016020148,-0.040034899,-0.009219669,-0.023529595,-0.045348666,0.019545393
7900,-0.006674146,-0.057315448,0.000584102,-0.030319758,-0.045691979,0.02130015
8000,-0.009458877,-0.058688754,0.005543212,-0.027039127,-0.051452191,0.026449987
8100,-0.032995556,-0.060367223,0.017864688,-0.030319774,-0.049773715,0.023054915
8200,-0.019453377,-0.049342753,0.003864747,-0.022842955,-0.043136128,0.014777038
8300,-0.022810311,-0.046405416,0.007374268,-0.023987359,-0.052634746,0.012297473
8400,-0.024793956,-0.03747904,0.005695804,-0.022842962,-0.05782274,0.028242892
8500,-0.020025592,-0.023669854,0.001919258,-0.0493551,-0.050117048,0.013098566
8600,-0.033148161,-0.018291131,-0.000636595,-0.044510437,-0.053054358,0.013289305
8700,-0.044897416,-0.011653556,-0.014674689,-0.031349719,-0.057212379,0.008787959
8800,-0.048445086,-0.014781607,-0.010211491,-0.045540392,-0.060493036,0.005469167
8900,-0.041693071,-0.028438226,0.010311597,-0.052559448,-0.061065236,0.004629945
9000,-0.058477724,-0.047855027,-0.004451297,-0.062782845,-0.055114313,0.016150322
9100,-0.062445026,-0.036754252,-0.012424012,-0.056793785,-0.038901811,0.022253837
9200,-0.064466814,-0.02035104,0.007259822,-0.065300539,-0.048438568,0.022711589
9300,-0.061910948,-0.026874187,0.011875615,-0.075066183,-0.060416726,0.016531786
9400,-0.057752946,-0.027217496,0.015919204,-0.082390394,-0.064574741,0.008978685
9500,-0.050924631,-0.020503635,0.013058181,-0.079300493,-0.067855388,0.005507332
9600,-0.041082706,-0.019893273,0.019962779,-0.082962591,-0.072051542,0.012755244
9700,-0.044058172,-0.008411065,0.018742076,-0.073044382,-0.060798179,-0.001053947
9800,-0.041769354,-0.007037775,0.000965601,-0.059845528,-0.072890803,-0.002694266
9900,-0.029104568,-0.009784341,0.002567741,-0.070679242,-0.084601916,-0.008683335
10000,-0.012167311,-0.012759814,0.002491461,-0.073273247,-0.089065123,-0.015397217
10100,-0.014074654,-0.021495451,0.016491411,-0.079758234,-0.083343063,-0.017380842
10200,-0.003050182,-0.017718913,0.014393317,-0.082275953,-0.078116924,-0.01871598
10300,-0.008047433,-0.014323845,0.004894713,-0.094444849,-0.068694618,-0.013108376
10400,0.000497479,-0.019702559,0.002758491,-0.073731007,-0.057403104,-0.005669719
10500,0.009919784,-0.015773429,0.00203369,-0.079414926,-0.058127906,-0.003419055
10600,0.018960617,-0.017032272,-0.002505804,-0.108940709,-0.070029767,-0.00338091
10700,0.027505545,-0.018901463,-0.008685614,-0.108711809,-0.081969799,0.004019598
10800,0.044061336,-0.012721668,-0.011279596,-0.112602845,-0.070792718,0.002035957
10900,0.040055914,-0.024623523,-0.019633791,-0.110390272,-0.058509372,-0.006089348
11000,0.035363837,-0.018405568,-0.012233277,-0.10306605,-0.066367656,-0.00422015
11100,0.673104614,0.968914121,1.327907741,1.549269259,1.951072574,2.380384803
11200,2.694550276,4.156130552,5.597163439,6.959348679,8.549620628,10.13528109
11300,4.002151966,6.183260679,8.372470379,10.34862947,12.47749758,14.56425571
11400,4.821243286,7.420062065,9.964074135,12.21203327,14.60892391,16.90396786
11500,5.389709949,8.245485783,10.9774909,13.39470243,15.93147945,18.36347008
11600,5.809592962,8.828867435,11.69480371,14.19739389,16.84688663,19.36009693
11700,6.106300592,9.25042963,12.21169662,14.7834444,17.50714397,20.05883217
11800,6.34624505,9.605388641,12.62086201,15.2219429,17.9966011,20.56229401
11900,6.540488958,9.854218006,12.92706394,15.54969978,18.36274147,20.95304203
12000,6.681174994,10.04129028,13.15583611,15.80520725,18.65929031,21.24844742
12100,6.803703308,10.19342327,13.33851671,16.01223373,18.87169361,21.4836607
12200,6.906205177,10.32636976,13.48443079,16.18942165,19.04221439,21.67252827
12300,6.971397877,10.4323411,13.60410166,16.31839657,19.17999744,21.82801628
12400,7.055244923,10.51858854,13.70793056,16.41655064,19.28002262,21.93840218
12500,7.111588001,10.59389448,13.77861834,16.5160017,19.37485695,22.03210258
12600,7.155228138,10.64420366,13.84831762,16.58943653,19.45271397,22.10684013
12700,7.1717453,10.6886034,13.89554739,16.63982677,19.5111599,22.1704216
12800,7.196082354,10.72523546,13.93205547,16.70040607,19.55860615,22.23004627
12900,7.225647449,10.75715971,13.97569084,16.74328423,19.60530186,22.26770306
13000,7.266541719,10.79095984,14.00261545,16.77448177,19.63723278,22.30515957
13100,7.290840149,10.80465174,14.02493,16.80248165,19.66115189,22.34070778
13200,7.296714067,10.8219347,14.04926586,16.82563972,19.67679214,22.37561321
13300,7.311553955,10.84138012,14.07460499,16.84845448,19.70276356,22.40399647
13400,7.319488764,10.85537958,14.08524799,16.87329006,19.72560596,22.41841984
13500,7.3401649,10.86675024,14.09467363,16.88290501,19.75708389,22.4359293
13600,7.339974165,10.86747551,14.09494019,16.89274502,19.77730656,22.44538879
13700,7.35778904,10.88280678,14.10676527,16.89507675,19.7797823,22.45698357
13800,7.35473752,10.87781143,14.12865877,16.90323639,19.78466892,22.47113323
13900,7.358933449,10.89424992,14.13247585,16.91658783,19.79096413,22.48413944
14000,7.355537891,10.90325594,14.11259937,16.91456318,19.79440022,22.4796772
14100,7.34886241,10.88578415,14.13056469,16.91277409,19.79863548,22.4783783
14200,7.347679853,10.8863945,14.13861942,16.90834808,19.80606937,22.47578526
14300,7.340775013,10.88528538,14.13205767,16.90102673,19.80611134,22.47491074
14400,7.336425781,10.88261795,14.12381649,16.89282417,19.80374432,22.47437572
14500,7.339210749,10.88356924,14.13316298,16.87978077,19.79294872,22.48051929
14600,7.336502075,10.88391161,14.10592222,16.86920929,19.78921127,22.47613239
14700,7.3347857,10.88799524,14.10207272,16.86485577,19.78810406,22.482728
14800,7.322731256,10.88017797,14.09302473,16.87157249,19.79394054,22.47594452
14900,7.326850891,10.88109159,14.09600592,16.86611843,19.78245831,22.47583103
15000,7.335548639,10.87445402,14.09302616,16.86451244,19.77673244,22.48842144
15100,7.345276594,10.8717103,14.07475424,16.85623169,19.76745987,22.48315525
15200,7.350540876,10.86976862,14.05831337,16.85855865,19.77280235,22.47602177
15300,7.347221851,10.85195637,14.06799698,16.85508919,19.75952625,22.47366333
15400,7.343407393,10.85004663,14.06052065,16.8429966,19.75891399,22.4794178
15500,7.342873096,10.84692001,14.05624962,16.84986019,19.76700592,22.48529339
15600,7.347221613,10.82930183,14.08532524,16.84062576,19.74895859,22.47762394
15700,7.330779791,10.83242702,14.07692909,16.83940506,19.76326275,22.47248268
15800,7.302360296,10.82117367,14.06269789,16.83940506,19.76639557,22.4727459
15900,7.306365013,10.81919432,14.07700777,16.82979107,19.7724247,22.46759129
16000,7.299384356,10.81236458,14.0696044,16.83356762,19.77124119,22.46328163
16100,7.295493603,10.81041908,14.06368494,16.82456875,19.76807213,22.46637249
16200,7.288779497,10.80900526,14.06769896,16.8200264,19.76395226,22.47121811
16300,7.279320002,10.80938911,14.04625273,16.8163271,19.74826622,22.46892738
16400,7.272454262,10.81160307,14.04121542,16.80832195,19.74879742,22.47850513
16500,7.259827852,10.8127079,14.03721046,16.79351997,19.73780918,22.46362019
16600,7.258416414,10.81816292,14.02962017,16.78601074,19.73045063,22.46552658
16700,7.26802969,10.79733419,14.02679586,16.78570366,19.73266506,22.46777916
16800,7.265626431,10.79157305,14.01581097,16.77956295,19.72644615,22.45610237
16900,7.259675503,10.78226185,14.00376272,16.77193356,19.72598839,22.45038033
17000,7.264291525,10.78607988,14.00479317,16.76861763,19.732584,22.44721508
17100,7.25189352,10.78783703,14.0019722,16.76205635,19.72079563,22.45221233
17200,7.240334988,10.7755475,13.98004007,16.75858784,19.71488285,22.44503784
17300,7.238313675,10.76936722,13.99564409,16.75530624,19.71732712,22.43767643
17400,7.242241859,10.75383759,13.99030256,16.75248337,19.71236992,22.45053291
17500,7.242660999,10.7454071,13.98633528,16.73936081,19.7052803,22.44809055
17600,7.228813648,10.7402153,13.98095894,16.73172665,19.69486809,22.45476818
17700,7.215615273,10.72136688,13.97420788,16.73657322,19.69829845,22.44812298
17800,7.201348066,10.71694851,13.96200323,16.73336983,19.69326687,22.44145393
17900,7.194863558,10.70958519,13.95528746,16.72345066,19.69940662,22.44248104
18000,7.192536831,10.70230007,13.9381156,16.71501732,19.69856644,22.42883015
18100,7.186051846,10.69406605,13.94471455,16.70959663,19.68823528,22.42680645
18200,7.184792757,10.68533182,13.93914843,16.69456959,19.68601894,22.42123985
18300,7.179260969,10.68559647,13.92968369,16.69090366,19.68190098,22.42657471
18400,7.166786432,10.68868256,13.93025541,16.69235516,19.68010998,22.42851925
18500,7.164803267,10.68002415,13.93124437,16.6804924,19.68499184,22.43374634
18600,7.154197454,10.67842436,13.92387962,16.68918991,19.6835804,22.43031693
18700,7.144966125,10.68036842,13.91571951,16.68617344,19.68255138,22.43298435
18800,7.155799866,10.676898,13.92399931,16.67907715,19.67980194,22.43042946
18900,7.147484064,10.66927052,13.91144514,16.67362881,19.67564774,22.42097187
19000,7.124518871,10.65977478,13.90809059,16.66584682,19.66732407,22.41190052
19100,7.116584301,10.66298008,13.89881992,16.65734482,19.67549419,22.42063141
19200,7.107162237,10.65348244,13.90240908,16.66161537,19.66649342,22.42375565
19300,7.105827332,10.65973806,13.89729548,16.64929676,19.66344261,22.43092632
19400,7.107276917,10.66373825,13.88482475,16.65089893,19.66782665,22.42612267
19500,7.105484009,10.65485001,13.88322306,16.64429665,19.67267323,22.41471767
19600,7.102547169,10.64062309,13.8814292,16.6338501,19.6735487,22.41952229
19700,7.089272499,10.64981413,13.86926222,16.631217,19.67298031,22.4123888
19800,7.090760469,10.65625715,13.86430502,16.61675644,19.67446613,22.40865517
19900,7.089158058,10.65003872,13.86102247,16.62228775,19.67603207,22.41304016
20000,7.084619045,10.65042114,13.85625553,16.62484264,19.67972946,22.41243076
20100,7.077066183,10.65472698,13.84884787,16.62079906,19.66561604,22.41475964
20200,7.081795931,10.63329268,13.839849,16.60984802,19.65512466,22.41422367
20300,7.083436489,10.62486601,13.83419609,16.60545731,19.65061569,22.40175247
20400,7.083893061,10.62189007,13.84339285,16.60557175,19.64130688,22.40744019
20500,7.075805902,10.61498642,13.83103037,16.59870434,19.63749123,22.40408134
20600,7.06520009,10.61171198,13.83786249,16.59141254,19.65180588,22.4032793
20700,7.062720776,10.60964775,13.82667971,16.58504009,19.65882206,22.39770985
20800,7.06039381,10.60187149,13.8194294,16.58160877,19.66107273,22.4003067
20900,7.066039801,10.58863783,13.81820679,16.5720377,19.67858315,22.3887434
21000,7.07473731,10.57887268,13.81324863,16.57100677,19.66881752,22.38878059
21100,7.078513384,10.58020353,13.80893898,16.57329369,19.66817188,22.38309765
21200,7.066688776,10.57413912,13.80226421,16.56322384,19.67613983,22.39007854
