Time (ms),50 (nA),75 (nA),100 (nA),125 (nA) ,149 (nA),174 (nA)
33700,-1.325987399,-1.753939271,-1.924082398,-2.52391088,-2.436932445,-2.406142354
33800,-1.315421045,-1.759890139,-1.930987597,-2.556602001,-2.488546133,-2.442573786
33900,-1.315840364,-1.765764832,-1.938502431,-2.562361956,-2.521925211,-2.460578084
34000,-1.313170373,-1.771639884,-1.936937928,-2.573844075,-2.55843091,-2.512915373
34100,-1.30866915,-1.779040217,-1.932589293,-2.583648801,-2.587688684,-2.525085568
34200,-1.311530173,-1.780604661,-1.923548281,-2.591507673,-2.598141313,-2.553885102
34300,-1.312407076,-1.786364794,-1.931101203,-2.597458482,-2.61321032,-2.590391874
34400,-1.319578946,-1.777361929,-1.934229672,-2.615083218,-2.648229241,-2.609008789
34500,-1.317175746,-1.769389093,-1.916415095,-2.616570473,-2.649641037,-2.625182748
34600,-1.318053305,-1.761645377,-1.919428527,-2.617333055,-2.666386843,-2.640326142
34700,-1.304587305,-1.737078607,-1.904208004,-2.61653161,-2.678287745,-2.62693572
34800,-1.311186612,-1.728610098,-1.89394623,-2.608139038,-2.682026505,-2.635900974
34900,-1.308783054,-1.722239673,-1.876131713,-2.61519599,-2.682979941,-2.632887721
35000,-1.293943584,-1.713312984,-1.862132549,-2.621185064,-2.679851651,-2.640479684
35100,-1.293027818,-1.695422113,-1.873805463,-2.61355567,-2.681377649,-2.651962399
35200,-1.303937554,-1.677112043,-1.877238393,-2.623893619,-2.679317832,-2.654327631
35300,-1.267011166,-1.67070353,-1.871974885,-2.617026925,-2.680996776,-2.650207162
35400,-1.252133965,-1.650906086,-1.864880383,-2.611876726,-2.680005074,-2.644218206
35500,-1.253507018,-1.646939099,-1.856564224,-2.601157665,-2.675198317,-2.631133199
35600,-1.241948724,-1.654034197,-1.843822598,-2.588454485,-2.676190257,-2.627394795
35700,-1.244466722,-1.635418594,-1.840122163,-2.580062628,-2.674054027,-2.621100664
35800,-1.222151041,-1.628857076,-1.822268963,-2.59001863,-2.667645097,-2.600386858
35900,-1.212843657,-1.630382597,-1.82623601,-2.582237363,-2.663296103,-2.590431213
36000,-1.194876432,-1.607608318,-1.816889763,-2.580329895,-2.652309537,-2.579521418
36100,-1.173017919,-1.603603005,-1.812769592,-2.572701454,-2.636326432,-2.560486078
36200,-1.167028606,-1.604671061,-1.80224061,-2.557633638,-2.618397236,-2.574600339
36300,-1.167677045,-1.585825741,-1.782213688,-2.550576687,-2.604283094,-2.561325312
36400,-1.169623017,-1.569460154,-1.764704943,-2.540276885,-2.598523498,-2.557663321
36500,-1.155585289,-1.557139099,-1.748684406,-2.536995888,-2.593717217,-2.546982288
36600,-1.164206624,-1.548708797,-1.740482867,-2.527726054,-2.57010448,-2.531151533
36700,-1.148069739,-1.536120832,-1.730717421,-2.521278858,-2.571477652,-2.500405073
36800,-1.132314324,-1.524638653,-1.713703513,-2.511818171,-2.552862525,-2.494873762
36900,-1.133954823,-1.518000484,-1.711834371,-2.509223819,-2.537603498,-2.489952922
37000,-1.127050042,-1.526622117,-1.703364909,-2.49323988,-2.532873869,-2.47679162
37100,-1.103475094,-1.511591792,-1.681887686,-2.477370977,-2.530660987,-2.468284369
37200,-1.10656482,-1.493052602,-1.672808349,-2.477180481,-2.515783429,-2.448370934
37300,-1.099813044,-1.481570542,-1.653048337,-2.466346502,-2.524937868,-2.422125459
37400,-1.091153204,-1.465205014,-1.629627287,-2.440330982,-2.505749702,-2.417013407
37500,-1.085050166,-1.451548278,-1.605938435,-2.41835916,-2.502011418,-2.435667038
37600,-1.084287167,-1.458300054,-1.587284565,-2.393028855,-2.489727736,-2.396261096
37700,-1.072729051,-1.445177495,-1.577061057,-2.377121091,-2.474888921,-2.37985754
37800,-1.059835762,-1.45433253,-1.560352087,-2.36304462,-2.46092689,-2.368680358
37900,-1.059835553,-1.448343873,-1.542994559,-2.360412359,-2.439755678,-2.360479116
38000,-1.05327481,-1.437968433,-1.542154908,-2.334320188,-2.434606552,-2.351400137
38100,-1.048621029,-1.43648082,-1.523958802,-2.350456238,-2.430220366,-2.344075799
38200,-1.020278245,-1.424808145,-1.505687535,-2.338822007,-2.413816929,-2.323400497
38300,-1.007079035,-1.420306921,-1.48993355,-2.324822426,-2.398329616,-2.303869605
38400,-1.003187865,-1.40272069,-1.478146255,-2.317994118,-2.40294528,-2.294791102
38500,-0.990866095,-1.383455932,-1.464070141,-2.326158047,-2.382612824,-2.283270836
38600,-0.989301771,-1.372202158,-1.448581934,-2.321313381,-2.365178823,-2.26660037
38700,-0.985410601,-1.357554078,-1.44759053,-2.293656945,-2.353123665,-2.259658217
38800,-0.957982689,-1.347521067,-1.429088891,-2.297089696,-2.328823924,-2.24798578
38900,-0.965421349,-1.338098884,-1.420772672,-2.28972733,-2.307347536,-2.224562943
39000,-0.957829952,-1.328180671,-1.405933022,-2.284424901,-2.301626563,-2.221663594
39100,-0.962331325,-1.320474923,-1.391017258,-2.28396666,-2.286444664,-2.206251562
39200,-0.963971645,-1.308955014,-1.370188713,-2.280151606,-2.27942574,-2.197210789
39300,-0.95901233,-1.298998713,-1.354891181,-2.261726737,-2.26698947,-2.201025665
39400,-0.958135217,-1.290835738,-1.341654181,-2.249824762,-2.23853147,-2.192900181
39500,-0.946767569,-1.279392004,-1.315371752,-2.235481381,-2.233457565,-2.169935942
39600,-0.921667129,-1.265125096,-1.301982641,-2.224838376,-2.21713078,-2.144186497
39700,-0.922811419,-1.260013163,-1.295574307,-2.218315482,-2.199849844,-2.124579668
39800,-0.929945052,-1.253757119,-1.284282386,-2.205917835,-2.194585443,-2.105353832
39900,-0.927618176,-1.245441437,-1.285732269,-2.19886148,-2.180356145,-2.108444035
40000,-0.919645429,-1.240938902,-1.267306745,-2.178300023,-2.163533211,-2.082466602
40100,-0.910642922,-1.232966065,-1.255633473,-2.160790086,-2.159108043,-2.08982873
40200,-0.89893198,-1.219652772,-1.245753497,-2.14484477,-2.141522884,-2.059579253
40300,-0.902288854,-1.209619999,-1.243388146,-2.130539358,-2.132062674,-2.050080717
40400,-0.899961889,-1.194322705,-1.235453814,-2.117302537,-2.121915936,-2.058663547
40500,-0.883711249,-1.191919386,-1.230341673,-2.119210184,-2.108182311,-2.046723902
40600,-0.883253515,-1.196039498,-1.222330987,-2.099373877,-2.093762755,-2.033753812
40700,-0.876463205,-1.201723158,-1.221186519,-2.086633205,-2.081289172,-2.023949862
40800,-0.867994636,-1.184519291,-1.216303915,-2.073281884,-2.064048052,-2.007584393
40900,-0.857466102,-1.170825183,-1.21370995,-2.069734275,-2.04783535,-1.978363633
41000,-0.844534278,-1.15419358,-1.204592824,-2.064355135,-2.036047757,-1.960853994
41100,-0.847051948,-1.142749369,-1.199710011,-2.051804245,-2.02101779,-1.959098935
41200,-0.838774085,-1.133212507,-1.182200909,-2.043488204,-1.995268166,-1.938500047
41300,-0.834577948,-1.118717253,-1.17262575,-2.030442059,-1.973982513,-1.915154934
41400,-0.810240179,-1.11307162,-1.154849052,-2.015946448,-1.981191993,-1.899553001
41500,-0.821226507,-1.096248806,-1.149508625,-1.998512924,-1.977378607,-1.893220663
41600,-0.818251014,-1.075916231,-1.132304192,-1.991111994,-1.966888249,-1.882272303
41700,-0.814741552,-1.066684842,-1.126849085,-1.981384337,-1.950562,-1.865868509
41800,-0.825193852,-1.070728004,-1.111704767,-1.961586833,-1.931068838,-1.860718608
41900,-0.812910497,-1.057605267,-1.119334191,-1.954491675,-1.914398611,-1.861557126
42000,-0.804975897,-1.040668041,-1.099116355,-1.932291031,-1.893150449,-1.831497252
42100,-0.81073612,-1.040934831,-1.089083821,-1.922830105,-1.875334918,-1.813491642
42200,-0.787351996,-1.03273347,-1.082179219,-1.919434965,-1.861487448,-1.815704346
42300,-0.774267554,-1.021937996,-1.074435413,-1.909478605,-1.833946168,-1.7966699
42400,-0.756185889,-1.023425728,-1.067263901,-1.905090988,-1.823303282,-1.760163665
42500,-0.755766243,-1.028041482,-1.065432668,-1.897385359,-1.825363815,-1.762567997
42600,-0.744665504,-1.02189967,-1.071383387,-1.901962817,-1.788399041,-1.750856459
42700,-0.731504768,-1.00976944,-1.07157436,-1.886246145,-1.792022645,-1.731096566
42800,-0.709112585,-1.00095728,-1.066119283,-1.872093618,-1.780196965,-1.720987618
42900,-0.710829109,-1.000423133,-1.058871508,-1.871903718,-1.766120434,-1.710230052
43000,-0.712812781,-0.989207804,-1.04662618,-1.863930821,-1.759482622,-1.710191309
43100,-0.704496741,-0.989627779,-1.032550097,-1.854622602,-1.75097543,-1.694473863
43200,-0.692366034,-0.983180851,-1.020305067,-1.849358737,-1.74647367,-1.684365213
43300,-0.681494117,-0.977077037,-0.99859938,-1.832306802,-1.734991312,-1.689629138
43400,-0.674131781,-0.97135523,-0.97552073,-1.813118339,-1.732664168,-1.67044127
43500,-0.671270788,-0.96971488,-0.9630467,-1.804039598,-1.721562982,-1.629966617
43600,-0.672300756,-0.966662914,-0.940463692,-1.792290211,-1.717481136,-1.603150249
43700,-0.671728551,-0.962199807,-0.927913189,-1.78447032,-1.717977524,-1.602883697
43800,-0.672033697,-0.954684913,-0.923030347,-1.780273438,-1.705503583,-1.583276272
43900,-0.667761236,-0.958728611,-0.917727828,-1.760208011,-1.690550327,-1.578928351
44000,-0.668066412,-0.949229836,-0.903003126,-1.739531875,-1.685286403,-1.57957691
44100,-0.66570127,-0.94678849,-0.912692398,-1.737891436,-1.672507763,-1.575571299
44200,-0.657080084,-0.933551311,-0.894839764,-1.73220849,-1.679526865,-1.567674398
44300,-0.631216362,-0.932635784,-0.884768695,-1.713440537,-1.657631397,-1.563935995
44400,-0.656317145,-0.917796373,-0.882670999,-1.71778971,-1.639472842,-1.55420804
44500,-0.640676886,-0.921573102,-0.887019694,-1.717789471,-1.612464547,-1.542115092
44600,-0.620420784,-0.911731035,-0.877444834,-1.705773115,-1.589690566,-1.535324633
44700,-0.636862174,-0.904902697,-0.884120494,-1.702149034,-1.582252026,-1.533608198
44800,-0.640028328,-0.896281451,-0.871265113,-1.696121693,-1.570311546,-1.533302546
44900,-0.630606055,-0.896815509,-0.86588648,-1.690780878,-1.558142066,-1.522468984
45000,-0.625914007,-0.889643878,-0.860698491,-1.692345023,-1.56474185,-1.509079516
45100,-0.618055731,-0.895480424,-0.849025369,-1.678993165,-1.549482822,-1.515565336
45200,-0.606840461,-0.889910966,-0.837238073,-1.671515882,-1.538421154,-1.506143093
45300,-0.608976692,-0.886744708,-0.838382423,-1.668883562,-1.525680184,-1.496873677
45400,-0.60333094,-0.872935474,-0.839526772,-1.667014599,-1.518699467,-1.478677332
45500,-0.593603432,-0.878466815,-0.82934165,-1.655570209,-1.511947393,-1.474023521
45600,-0.580251947,-0.876216114,-0.828464091,-1.650343895,-1.504470706,-1.467538774
45700,-0.562856972,-0.870646685,-0.815799624,-1.637679815,-1.510459721,-1.47051394
45800,-0.565412804,-0.861796558,-0.814349711,-1.629249334,-1.513206303,-1.459489167
45900,-0.576437205,-0.859698445,-0.802714825,-1.613342643,-1.484748721,-1.4473961
46000,-0.567129478,-0.857981831,-0.798900187,-1.601402879,-1.471130013,-1.442093372
46100,-0.576589853,-0.849360615,-0.8043935,-1.591714025,-1.483222783,-1.440566897
46200,-0.56136921,-0.844096303,-0.80565235,-1.591142118,-1.465484381,-1.437057436
46300,-0.556448266,-0.838488698,-0.802676886,-1.585763216,-1.45430702,-1.431144297
46400,-0.563963279,-0.837992758,-0.794665903,-1.587136328,-1.431685269,-1.428474247
46500,-0.5684264,-0.837840199,-0.790088236,-1.576454818,-1.426268399,-1.417144865
46600,-0.552061379,-0.831164479,-0.789744824,-1.571991742,-1.404333651,-1.406387895
46700,-0.547941521,-0.817813039,-0.803592384,-1.563980341,-1.39029634,-1.388917148
46800,-0.539739951,-0.811709523,-0.79420808,-1.538802385,-1.380683124,-1.387505919
46900,-0.533598289,-0.799311787,-0.787608832,-1.52526015,-1.3838498,-1.384988487
47000,-0.509489462,-0.787867695,-0.774943888,-1.505500257,-1.390563607,-1.365877092
47100,-0.511778265,-0.789355427,-0.768267989,-1.489440322,-1.38800782,-1.362443775
47200,-0.513304114,-0.782069325,-0.767581433,-1.477577329,-1.38152343,-1.350198328
47300,-0.500257879,-0.784434468,-0.760447919,-1.470176518,-1.389877915,-1.343407691
47400,-0.486906469,-0.776881367,-0.758082837,-1.451522708,-1.373817742,-1.322769552
47500,-0.492399618,-0.769671649,-0.755031079,-1.44759351,-1.363403678,-1.314758569
47600,-0.495375097,-0.757312,-0.75312376,-1.437828958,-1.366531968,-1.300796866
47700,-0.48808901,-0.753039539,-0.734202832,-1.435196698,-1.351616204,-1.296639055
47800,-0.491980016,-0.737361163,-0.730616987,-1.426995277,-1.343414843,-1.296067297
47900,-0.484236196,-0.739726275,-0.736949384,-1.418412805,-1.351463258,-1.283402979
48000,-0.478018194,-0.741023362,-0.721766919,-1.415208459,-1.340934694,-1.275011122
48100,-0.471914724,-0.740527421,-0.707080334,-1.411126554,-1.329566717,-1.263910413
48200,-0.461805776,-0.73915422,-0.707499921,-1.403992534,-1.328498423,-1.251054794
48300,-0.460012868,-0.734805465,-0.704257458,-1.401093662,-1.306945026,-1.25010097
48400,-0.46363683,-0.743808091,-0.708987683,-1.396324456,-1.297674954,-1.239076197
48500,-0.460089177,-0.741061658,-0.70437187,-1.397659957,-1.290960968,-1.23201859
48600,-0.454748601,-0.732020825,-0.693004072,-1.379119813,-1.26898855,-1.220536381
48700,-0.458067402,-0.743274212,-0.697772413,-1.37625885,-1.257888496,-1.224770695
48800,-0.447271764,-0.734042674,-0.699794233,-1.376526058,-1.27085793,-1.220879287
48900,-0.438612372,-0.704059213,-0.698535383,-1.372635484,-1.267691791,-1.212677509
49000,-0.4241165,-0.704364389,-0.699489087,-1.37931174,-1.254188418,-1.202186704
49100,-0.418585211,-0.691852212,-0.691592664,-1.366036773,-1.24861902,-1.191658229
49200,-0.417211935,-0.688419014,-0.691936016,-1.352647364,-1.252853215,-1.184525132
49300,-0.415113851,-0.703334451,-0.693232983,-1.349366724,-1.248504758,-1.17823112
49400,-0.435408071,-0.710162759,-0.69113493,-1.343682885,-1.24064672,-1.171097636
49500,-0.427626088,-0.702800363,-0.692088544,-1.345399916,-1.219780385,-1.167321265
49600,-0.408590704,-0.696506113,-0.690905988,-1.333306432,-1.213829279,-1.163888454
49700,-0.419653326,-0.691775948,-0.694797009,-1.335862696,-1.211426139,-1.165872246
49800,-0.419805959,-0.69124189,-0.68369621,-1.335976958,-1.205436826,-1.137224078
49900,-0.420034796,-0.68784681,-0.680072278,-1.348030925,-1.2003631,-1.131730855
