region,condition,n_cells,reviewer_facing_cells,accepted_cells,total_accepted_candidates,mean_accepted_fraction,mean_best_trace_rmse_mV,mean_best_weighted_pass_fraction,mean_holdout_pass_fraction,median_best_trial_fraction,late_best_trial_cells,no_accepted_cells,reviewer_facing_fraction
DH,CONTROL,7,7,7,17,0.021879021879021878,12.126578153468534,0.3538061865858813,0.35381031012791864,0.6,3,0,1.0
DH,MFA,6,6,6,653,0.9804804804804804,6.520416280911516,0.40790006916980687,0.39390638877501977,0.73,3,0,1.0
DH,MFA_BA,6,6,6,662,0.993993993993994,6.3609960369721295,0.5516160967189623,0.551616352873025,0.8300000000000001,4,0,1.0
VH,CONTROL,4,0,2,17,0.038288288288288286,9.635124250259377,0.32101142854772974,0.28617524226264013,0.33,1,2,0.0
VH,MFA,7,0,2,8,0.010296010296010296,6.96772329383304,0.3018581364885646,0.2924666397319355,0.87,4,5,0.0
VH,MFA_BA,7,7,7,741,0.9536679536679536,3.3657671404889262,0.5850535109494464,0.5809458685325434,0.72,3,0,1.0
