region,condition,cells_current,reviewer_facing_cells_current,accepted_cells_current,accepted_candidates_current,median_accepted_per_cell_current,median_best_trace_rmse_mV_current,median_best_pass_fraction_current,median_holdout_pass_count_current,mean_holdout_pass_count_current,median_holdout_mean_rmse_mV_current,median_holdout_mean_pass_fraction_current,cells_previous,reviewer_facing_cells_previous,accepted_cells_previous,accepted_candidates_previous,median_accepted_per_cell_previous,median_best_trace_rmse_mV_previous,median_best_pass_fraction_previous,median_holdout_pass_count_previous,mean_holdout_pass_count_previous,median_holdout_mean_rmse_mV_previous,median_holdout_mean_pass_fraction_previous,cells_delta,reviewer_facing_cells_delta,accepted_cells_delta,accepted_candidates_delta,median_accepted_per_cell_delta,median_best_trace_rmse_mV_delta,median_best_pass_fraction_delta,median_holdout_pass_count_delta,median_holdout_mean_rmse_mV_delta,median_holdout_mean_pass_fraction_delta
DH,CONTROL,7,0,7,28,4.0,8.160693709475876,0.3333333333333332,2.0,2.0,8.161763089795288,0.3466527547395403,7,7,7,17,2.0,13.977227693028652,0.3592629849136366,3.0,3.0,13.982361406690702,0.3592932305184015,0,-7,0,11,2.0,-5.816533983552777,-0.025929651580303414,-1.0,-5.820598316895413,-0.012640475778861182
DH,MFA,6,6,6,876,146.0,7.995784185661144,0.4093113381084974,6.0,6.0,3.245808549600089,0.3342680825104168,6,6,6,653,110.5,6.571890893214492,0.4055126784899888,6.0,6.0,6.1324386422197055,0.40144109643702924,0,0,0,223,35.5,1.4238932924466514,0.0037986596185086152,0.0,-2.8866300926196167,-0.06717301392661246
DH,MFA_BA,6,6,6,858,143.0,5.035838383060593,0.4285714285714285,6.0,6.0,4.106291540658395,0.42441860197354475,6,6,6,662,110.5,6.337639594563894,0.5006945203699664,6.0,6.0,6.341277043093859,0.5006945207763762,0,0,0,196,32.5,-1.3018012115033013,-0.07212309179853793,0.0,-2.234985502435464,-0.07627591880283147
VH,CONTROL,4,0,0,0,0.0,15.784389031255742,0.2857142857142857,0.0,0.0,15.273126428163408,0.2857142857142857,4,0,2,17,2.0,7.164943714863098,0.30430473773054967,1.0,1.0,7.175633339818759,0.2931185655524903,0,0,-2,-17,-2.0,8.619445316392644,-0.01859045201626397,-1.0,8.097493088344649,-0.007404279838204575
VH,MFA,7,1,7,103,15.0,6.34263123996091,0.3576944007222063,0.0,0.42857142857142855,2.092460601980616,0.2817394384284575,7,7,7,20,3.0,5.402458464176738,0.3354154794431982,5.0,4.714285714285714,5.12257282590481,0.3310289548069808,0,-6,0,83,12.0,0.9401727757841716,0.0222789212790081,-5.0,-3.030112223924194,-0.0492895163785233
VH,MFA_BA,7,7,7,962,137.0,3.0177252469331286,0.4498654078575875,6.0,6.0,2.9703373045839374,0.4267639360598125,7,7,7,741,107.0,3.326927248225932,0.520049704856543,6.0,6.0,3.4552369572996446,0.5187766904744362,0,0,0,221,30.0,-0.3092020012928036,-0.07018429699895551,0.0,-0.48489965271570723,-0.0920127544146237
