file_id,region,condition,n_candidates,n_accepted,n_eligible,accepted_fraction,all_candidates_eligible,any_accepted,cell_reviewer_facing,holdout_pass_count,best_trace_rmse_mV,best_weighted_pass_fraction,holdout_mean_rmse_mV,holdout_mean_pass_fraction,best_hybrid_stage,best_optuna_trial_number,best_optuna_trial_fraction,optuna_best_scalar_objective,optuna_best_by_25_trials,optuna_best_by_50_trials,optuna_best_by_75_trials,optuna_best_by_100_trials,accepted_seen_by_25_trials,accepted_seen_by_50_trials,accepted_seen_by_75_trials,accepted_seen_by_100_trials,post_refinement_parent_improvement_fraction,post_refinement_mean_delta_scalar_objective,acceptance_failure_main_reason,heldout_failure_mode
DH_3_MFA,DH,MFA,111,111,111,1.0,True,True,True,6,5.1738325931057805,0.3999937647234321,5.174060065392665,0.4000036341686446,optuna_seeded,84,0.85,345.49417205698256,376.8618871089416,364.88349596115927,351.9514149742133,345.49417205698256,True,True,True,True,0.0,8.973793728728197e-05,accepted_exists,none
DH_3_MFA_BA,DH,MFA_BA,111,111,111,1.0,True,True,True,6,3.6648485637389294,0.6539194370885316,3.664848557554818,0.6539198194098773,optuna_seeded,84,0.85,160.94592541575375,283.46561871328475,192.0013876061275,190.83275820385853,160.94592541575375,True,True,True,True,0.3333333333333333,13.715515566325024,accepted_exists,none
DH_4_MFA,DH,MFA,111,105,105,0.9459459459459459,False,True,True,6,6.987205761191735,0.407066898141559,6.708083239584087,0.4028785587054139,optuna_seeded,48,0.49,1269.0439996866226,1484.3155127624348,1269.0439996866226,1269.0439996866226,1269.0439996866226,True,True,True,True,0.0,493.71682545745426,accepted_exists,none
DH_4_MFA_BA,DH,MFA_BA,111,111,111,1.0,True,True,True,6,5.7407085435306975,0.501154708041544,5.747983450966527,0.5011547091449916,optuna_seeded,98,0.99,710.5381561742211,805.7535615541968,805.7535615541968,758.6208324817457,710.5381561742211,True,True,True,True,0.3333333333333333,9.809981340379787,accepted_exists,none
DH_5_MFA,DH,MFA,111,111,111,1.0,True,True,True,6,7.721973853652833,0.3999937647234321,7.72208158024421,0.3999992487855623,optuna_seeded,76,0.77,1386.345431253897,1509.5065691231566,1403.5396288180566,1391.3438518259798,1386.345431253897,True,True,True,True,0.0,0.037360003641272975,accepted_exists,none
DH_5_MFA_BA,DH,MFA_BA,111,109,109,0.9819819819819819,False,True,True,6,7.756491796912903,0.6539194370885316,7.756491791800969,0.6539205914599983,scipy_post,74,0.75,535.3838698534709,636.056650333905,636.056650333905,535.3838698534709,535.3838698534709,True,True,True,True,0.3333333333333333,0.20479808483942938,accepted_exists,none
DH_6_MFA,DH,MFA,111,110,110,0.990990990990991,False,True,True,6,6.095703691089766,0.4120279411059476,5.750019158511894,0.4041954131080984,optuna_seeded,22,0.23,342.5152341832115,342.5152341832115,342.5152341832115,342.5152341832115,342.5152341832115,True,True,True,True,0.6666666666666666,-3.04140443555904e-06,accepted_exists,none
DH_6_MFA_BA,DH,MFA_BA,111,110,110,0.990990990990991,False,True,True,6,6.93457064559709,0.5002343326983888,6.934570635221192,0.5002343324077609,scipy_post,80,0.81,362.5929931562123,388.2844421675954,376.15999962097567,364.98358188307895,362.5929931562123,True,True,True,True,0.6666666666666666,-0.035183346730984034,accepted_exists,none
VH_1_MFA,VH,MFA,111,0,0,0.0,False,False,False,0,0.7655887192316878,0.2857142857142856,0.7655753356989933,0.2857142857142856,optuna_seeded,87,0.88,195.72123026691256,222.6921854789508,222.6921854789508,215.5258264252693,195.72123026691256,False,False,False,False,0.0,0.1330754697542981,feature,rmse_fail_rows=0; feature_fail_rows=6; failed_sweeps=6
VH_1_MFA_BA,VH,MFA_BA,111,105,105,0.9459459459459459,False,True,True,6,2.8081588852331123,0.5187766904744362,2.8081588852331123,0.5187766904744362,optuna_seeded,67,0.68,178.464783455609,298.417066291451,190.72981988348835,178.464783455609,178.464783455609,True,True,True,True,0.3333333333333333,1.9833878664846907,accepted_exists,none
VH_2_MFA,VH,MFA,111,0,0,0.0,False,False,False,0,0.9630721023377826,0.2857142857142856,0.9853016522930416,0.2857142857142856,optuna_seeded,46,0.47,283.341340531916,316.3702801049328,283.341340531916,283.341340531916,283.341340531916,False,False,False,False,0.6666666666666666,-0.021897279867156765,feature,rmse_fail_rows=0; feature_fail_rows=6; failed_sweeps=6
VH_2_MFA_BA,VH,MFA_BA,111,110,110,0.990990990990991,False,True,True,6,4.028481856572046,0.675987803339035,4.0284818597053125,0.6759875065079649,optuna_seeded,63,0.64,270.7303509620036,366.4125267943815,279.0725339135853,270.7303509620036,270.7303509620036,True,True,True,True,1.0,-0.00034185767295487796,accepted_exists,none
VH_3_MFA,VH,MFA,111,6,6,0.05405405405405406,False,True,False,2,7.4042062955716,0.3069932440052002,7.583400414156981,0.3037071161362152,optuna_seeded,99,1.0,861.2115005020967,1166.0745686986993,864.0565038449718,864.0565038449718,861.2115005020967,False,True,True,True,0.0,0.015003754209108896,accepted_exists,rmse_fail_rows=0; feature_fail_rows=4; failed_sweeps=4
VH_3_MFA_BA,VH,MFA_BA,111,109,109,0.9819819819819819,False,True,True,6,2.979300474876565,0.519781104306976,3.4552369572996446,0.5136404185316029,optuna_seeded,82,0.83,245.2748192115648,455.7310554687781,334.5765564666136,334.5765564666136,245.2748192115648,True,True,True,True,0.6666666666666666,-0.005882587671616572,accepted_exists,none
VH_4_MFA,VH,MFA,111,0,0,0.0,False,False,False,0,1.0975389846852337,0.2857142857142856,1.0965043820883482,0.2857142857142856,scipy_post,86,0.87,330.8103371595791,349.6988888956069,347.5730545711687,333.78325315491975,330.8103371595791,False,False,False,False,0.3333333333333333,-3.0443192596858544,feature,rmse_fail_rows=0; feature_fail_rows=6; failed_sweeps=6
VH_4_MFA_BA,VH,MFA_BA,111,103,103,0.9279279279279279,False,True,True,6,3.3269272482259318,0.6801542227748391,3.3269272482252155,0.6801542227748142,optuna_seeded,30,0.31,211.54481740669624,244.818927254298,211.54481740669624,211.54481740669624,211.54481740669624,True,True,True,True,0.3333333333333333,-11.489455978404512,accepted_exists,none
VH_5_MFA,VH,MFA,111,0,0,0.0,False,False,False,0,1.012581350006182,0.2857142857142856,1.0121597566656242,0.2857142857142856,optuna_seeded,42,0.43,243.76694654613155,300.9705361880694,243.76694654613155,243.76694654613155,243.76694654613155,False,False,False,False,0.3333333333333333,0.036399711694571124,feature,rmse_fail_rows=0; feature_fail_rows=6; failed_sweeps=6
VH_5_MFA_BA,VH,MFA_BA,111,107,107,0.963963963963964,False,True,True,6,4.789063920279836,0.675987803339035,4.789063930386355,0.6759878585671723,optuna_seeded,71,0.72,278.74385873222866,481.35145512768014,299.38337739122755,278.74385873222866,278.74385873222866,True,True,True,True,0.3333333333333333,-4.01158075078456e-05,accepted_exists,none
VH_6_MFA,VH,MFA,111,2,2,0.018018018018018018,False,True,False,0,15.538390252537395,0.3482425751582267,1.0740724555908916,0.2857142857142856,optuna_seeded,96,0.97,142.06546653782576,164.06458533653316,164.06458533653316,164.06458533653316,142.06546653782576,False,True,True,True,0.3333333333333333,0.0002651922294963545,accepted_exists,rmse_fail_rows=0; feature_fail_rows=6; failed_sweeps=6
VH_6_MFA_BA,VH,MFA_BA,111,109,109,0.9819819819819819,False,True,True,6,1.2590276777575151,0.520049704856543,1.8740992526323503,0.5,scipy_post,87,0.88,126.70435821138524,132.541176406706,132.541176406706,132.541176406706,126.70435821138524,True,True,True,True,1.0,-0.3537798159330663,accepted_exists,none
VH_7_OG_MFA,VH,MFA,111,0,0,0.0,False,False,False,3,21.992685352461404,0.3149139933993827,4.153470539872505,0.314987933415905,optuna_seeded,71,0.72,218.3972493411283,234.9533173059004,234.9533173059004,218.3972493411283,218.3972493411283,False,False,False,False,0.0,0.39338120311602626,trace_and_feature,rmse_fail_rows=0; feature_fail_rows=3; failed_sweeps=3
VH_7_OG_MFA_BA,VH,MFA_BA,111,98,98,0.8828828828828829,False,True,True,6,4.369409920477477,0.5046372475552598,4.373827677778654,0.5020743828718134,optuna_seeded,89,0.9,158.71471353523276,204.0729183356171,182.0084032773164,177.0978046935666,158.71471353523276,True,True,True,True,0.3333333333333333,-10530.150876625741,accepted_exists,none
