strategy,file_id,candidate_id,sweep,z0_mode,health,obs_baseline_mV,pred_baseline_mV,baseline_delta_mV,raw_rmse_mV,centered_rmse_mV,stim_end_delta_mV
least_squares_12starts,2_VH_1_CONTROL,2_VH_1_CONTROL__cand_05,3,observed_vm_z0,ok,-56.501026086956514,-85.84664516519432,-29.345619078237803,28.903454888908218,6.09892253012355,-0.7662171399692923
least_squares_12starts,2_VH_1_CONTROL,2_VH_1_CONTROL__cand_05,4,default_z0,ok,-56.0038913043478,-85.84691718042664,-29.84302587607884,31.10354304420932,2.3970897457140103,-3.893709173723856
least_squares_12starts,2_VH_1_CONTROL,2_VH_1_CONTROL__cand_05,4,observed_vm_z0,ok,-56.0038913043478,-85.84664107162196,-29.842749767274157,30.3774438208404,6.572123713615773,-3.894039432018623
least_squares_12starts,2_VH_1_CONTROL,2_VH_1_CONTROL__cand_05,5,default_z0,ok,-55.62118695652175,-85.84691718042664,-30.225730223904897,31.56283008117006,3.5468859674174498,-6.5353048258978035
least_squares_12starts,2_VH_1_CONTROL,2_VH_1_CONTROL__cand_05,5,observed_vm_z0,ok,-55.62118695652175,-85.84663787503351,-30.22545091851176,30.82574904058501,7.120392759429496,-6.535638903274922
least_squares_12starts,2_VH_1_CONTROL,2_VH_1_CONTROL__cand_05,6,default_z0,ok,-56.08970869565219,-85.84691718042664,-29.757208484774452,32.34571158628496,5.093778912626462,-9.63452656502821
least_squares_12starts,2_VH_1_CONTROL,2_VH_1_CONTROL__cand_05,6,observed_vm_z0,ok,-56.08970869565219,-85.84664222298501,-29.75693352733282,31.66528921296255,8.001986619918949,-9.634855532653518
nsga2_trace_feature_adaptive500,2_VH_1_CONTROL,2_VH_1_CONTROL__cand_05,1,default_z0,ok,-57.556691304347794,-85.80110798091557,-28.24441667656778,27.075281718399133,3.4658211724174417,6.560892441404469
nsga2_trace_feature_adaptive500,2_VH_1_CONTROL,2_VH_1_CONTROL__cand_05,1,observed_vm_z0,ok,-57.556691304347794,-85.72825359138504,-28.171562287037247,26.242731749447625,6.718570394739218,6.560187669203948
nsga2_trace_feature_adaptive500,2_VH_1_CONTROL,2_VH_1_CONTROL__cand_05,2,default_z0,ok,-56.99077391304348,-85.80110798091557,-28.81033406787209,28.300528986505515,1.3475123536714115,1.6084793979264091
nsga2_trace_feature_adaptive500,2_VH_1_CONTROL,2_VH_1_CONTROL__cand_05,2,observed_vm_z0,ok,-56.99077391304348,-85.72695061777934,-28.736176704735854,27.464951295586484,5.98653692042859,1.6077619739699927
nsga2_trace_feature_adaptive500,2_VH_1_CONTROL,2_VH_1_CONTROL__cand_05,3,default_z0,ok,-56.501026086956514,-85.80110798091557,-29.30008189395906,29.65606528062386,0.8172730030306246,-0.8387814716387467
nsga2_trace_feature_adaptive500,2_VH_1_CONTROL,2_VH_1_CONTROL__cand_05,3,observed_vm_z0,ok,-56.501026086956514,-85.72582344103256,-29.224797354076046,28.850350241098432,6.075108564580833,-0.8395098448421194
nsga2_trace_feature_adaptive500,2_VH_1_CONTROL,2_VH_1_CONTROL__cand_05,4,default_z0,ok,-56.0038913043478,-85.80110798091557,-29.79721667656777,31.121513506685364,2.414744983030041,-3.9665988629435347
nsga2_trace_feature_adaptive500,2_VH_1_CONTROL,2_VH_1_CONTROL__cand_05,4,observed_vm_z0,ok,-56.0038913043478,-85.72467967288617,-29.720788368538365,30.322440439168037,6.554467630115611,-3.9673383407119687
nsga2_trace_feature_adaptive500,2_VH_1_CONTROL,2_VH_1_CONTROL__cand_05,5,default_z0,ok,-55.62118695652175,-85.80110798091557,-30.179921024393828,31.579479408511197,3.546936672406698,-6.608194515117482
nsga2_trace_feature_adaptive500,2_VH_1_CONTROL,2_VH_1_CONTROL__cand_05,5,observed_vm_z0,ok,-55.62118695652175,-85.72379947528191,-30.10261251876016,30.768782507948337,7.0976298458754385,-6.608942543129082
nsga2_trace_feature_adaptive500,2_VH_1_CONTROL,2_VH_1_CONTROL__cand_05,6,default_z0,ok,-56.08970869565219,-85.80110798091557,-29.711399285263383,32.3622678317529,5.107481066825431,-9.707416254247889
nsga2_trace_feature_adaptive500,2_VH_1_CONTROL,2_VH_1_CONTROL__cand_05,6,observed_vm_z0,ok,-56.08970869565219,-85.72487708365303,-29.635168388000835,31.60952762421895,7.990799176666542,-9.708153815654313
least_squares_12starts,3_DH_1_CONTROL,3_DH_1_CONTROL__cand_12,1,default_z0,ok,-62.4084,-85.51951591408765,-23.111115914087648,22.00351085846995,2.9105064713689455,5.313789307079752
least_squares_12starts,3_DH_1_CONTROL,3_DH_1_CONTROL__cand_12,1,observed_vm_z0,ok,-62.4084,-85.50838189101164,-23.099981891011637,21.309510708805572,5.463246284580505,5.3062121220289455
least_squares_12starts,3_DH_1_CONTROL,3_DH_1_CONTROL__cand_12,2,default_z0,ok,-63.0798,-85.51951591408765,-22.43971591408765,22.102768584208892,1.6505054112654678,1.085093654905691
least_squares_12starts,3_DH_1_CONTROL,3_DH_1_CONTROL__cand_12,2,observed_vm_z0,ok,-63.0798,-85.50866273262876,-22.428862732628765,21.45574279877235,4.820657150632345,1.077707171397691
least_squares_12starts,3_DH_1_CONTROL,3_DH_1_CONTROL__cand_12,3,default_z0,ok,-63.67028695652189,-85.51951591408765,-21.849228957565757,23.398342409788615,2.271057140233492,-3.0361106929209996
