file_id,region,condition,candidate_id,P_gap_eff,gamma_t_eff,gamma_s_eff,volume_ratio_wa_wo,gki,eps,gl_a,zth,zs,P_gap_eff_plausible,gamma_t_eff_plausible,gamma_s_eff_plausible,volume_ratio_wa_wo_plausible,gki_plausible,eps_plausible,gl_a_plausible,zth_plausible,zs_plausible
1_DH_1_CONTROL,DH,CONTROL,1_DH_1_CONTROL__hybrid_optuna_087,1.1996661220636652e-08,0.0009639219104777,1.3822108483323732e-06,0.2273680004427412,7.803414098002051,0.0938101988343727,0.5689196370496582,42.60574746854843,0.0014481044846482,True,True,True,True,True,True,True,False,True
1_DH_1_CONTROL,DH,CONTROL,1_DH_1_CONTROL__hybrid_optuna_098,2.1484198879011832e-08,1.0088571442840538e-08,4.5165475071932483e-08,0.0678458449682687,2.015568194438911,2.7115959943633915e-05,5.878784859472056e-05,126.20927675524231,0.0017064723167788,True,True,True,True,True,True,False,False,True
1_DH_2_CONTROL,DH,CONTROL,1_DH_2_CONTROL__hybrid_optuna_098,1.1996661220636652e-08,0.0009639219104777,5.117854716429417e-07,0.255012047149372,8.398289370604866,0.0914625650009477,0.5689196370496582,39.54769662003882,0.0012772372965928,True,True,True,True,True,True,True,False,True
1_DH_2_CONTROL,DH,CONTROL,1_DH_2_CONTROL__hybrid_optuna_072,1.0153508977858307e-06,8.193799991073805e-07,0.0615521370223549,4.906669506278448,10.873530867850164,1.0557501320491736e-05,5.0196257433330205,110.45113626728492,49.25809651382799,True,True,False,True,True,True,True,False,False
1_DH_2_CONTROL,DH,CONTROL,1_DH_2_CONTROL__hybrid_optuna_066,1.991600130066668e-08,1.1498294176561468e-05,0.0290154667530075,3.517490838704276,1.9009706283367904,3.902985307582861e-05,0.0015884676787605,139.9171201077349,10.21792859882267,True,True,True,True,True,True,True,False,False
1_DH_2_CONTROL,DH,CONTROL,1_DH_2_CONTROL__hybrid_optuna_068,2.2841321209132905e-07,3.8946679819811723e-07,0.0030184415917358,1.0997984024979517,2.5020370797229115,2.7749481296918367e-05,0.0002703393093465,80.03438859552863,0.0041432483021359,True,True,True,True,True,True,True,False,True
2_DH_1_CONTROL,DH,CONTROL,2_DH_1_CONTROL__hybrid_optuna_096,1.1996661220636652e-08,0.0009639219104777,5.117854716429417e-07,0.255012047149372,8.398289797187408,0.0914625664723104,0.5689196370496582,39.54769660632085,0.0012772372965928,True,True,True,True,True,True,True,False,True
2_DH_1_CONTROL,DH,CONTROL,2_DH_1_CONTROL__hybrid_optuna_060,1.437660327623344e-08,8.250738068715948e-05,0.0026714630638544,1.0074212894031065,4.641770694261911,4.811380285148814e-05,0.0001087002612897,113.79085413389554,0.0051853576573406,True,True,True,True,True,True,True,False,True
3_DH_1_CONTROL,DH,CONTROL,3_DH_1_CONTROL__hybrid_optuna_097,1.1996661220636652e-08,0.0009639219104777,5.117854716429417e-07,0.255012047149372,8.398289797187408,0.0914625664723104,0.5689196370496582,39.54769660632085,0.0012772372965928,True,True,True,True,True,True,True,False,True
3_DH_1_CONTROL,DH,CONTROL,3_DH_1_CONTROL__hybrid_post_001,0.000892111152047,1.374794139845004e-07,0.0990772337135975,4.502541267844211,23.50951460872445,1.1840793876860316e-05,0.1395355758050739,60.12188457643983,0.030648569679204,True,True,False,True,True,True,True,False,True
