candidate_policy,candidates_per_cell,file_id,region,condition,candidate_id,mechanism_cluster,buffering_phenotype,mean_trace_rmse_mV,mean_weighted_pass_fraction,holdout_mean_rmse_mV,holdout_mean_pass_fraction,ensemble_rank,P_gap_eff,gamma_t_eff,gamma_s_eff,volume_ratio_wa_wo,dKs_activation_score_mean,long_range_distribution_fraction_mean,voltage_coupling_score_mean,kir_current_score_mean,step06_selection_rank,step06_selection_min_mechanism_score_distance,step06_selection_stable_phenotype_novel
best_per_cell,1,DH_4_MFA,DH,MFA,DH_4_MFA__hybrid_optuna_071,M1,mixed_local_spatial_buffering,9.690425414748626,0.4054007520561402,9.690425414748626,0.4054007520561402,2,3.57538604039399e-08,1.459066821891249e-06,3.4618459927224015e-08,1.7969551065164342,0.361012035958337,2.5334015640253105e-08,0.0393693168559369,0.4783530564972518,,,
best_per_cell,1,DH_4_MFA_BA,DH,MFA_BA,DH_4_MFA_BA__hybrid_optuna_009,M3,available_surface_voltage_coupled_but_ionic_recruitment_low,5.7407085435306975,0.501154708041544,5.747983450966527,0.5011547091449916,1,4.106585562403023e-05,5.890752019306703e-06,1.3953305003523227e-08,0.0941316984893462,9.0470495105492e-14,2.234248681373641e-15,0.4994546008715241,0.5003332368800874,,,
best_per_cell,1,DH_5_MFA,DH,MFA,DH_5_MFA__hybrid_optuna_099,M2,available_surface_voltage_coupled_but_ionic_recruitment_low,7.721973853652833,0.3999937647234321,7.72208158024421,0.3999992487855623,1,5.913674084541693e-08,2.180500489771518e-08,7.961929856263713e-06,2.705363745813464,9.859297130281808e-305,7.410911899284294e-306,0.4428733336316954,0.5557600953718164,,,
best_per_cell,1,DH_5_MFA_BA,DH,MFA_BA,DH_5_MFA_BA__hybrid_optuna_090,M3,recruited_surface_gap_assisted_buffering,7.756491796912903,0.6539194370885316,7.756491791800969,0.6539205914599983,1,0.006004480331788,0.0004748639643733,0.0078823067326611,0.2225470795869807,0.8168816164714974,0.4983764391204631,0.5987294842016618,0.3443563808042362,,,
best_per_cell,1,DH_6_MFA,DH,MFA,DH_6_MFA__hybrid_optuna_089,M2,kir_dominant_local_buffering,6.095703691089766,0.4120279411059476,5.750019158511894,0.4041954131080984,1,1.831772358374243e-08,6.677572302239178e-08,2.3775778615364685e-07,0.3488310266310853,1.3558451251545483e-85,9.490475675618964e-89,0.297479412042332,0.7019967259355027,,,
best_per_cell,1,DH_6_MFA_BA,DH,MFA_BA,DH_6_MFA_BA__hybrid_optuna_070,M3,recruited_surface_gap_assisted_buffering,6.93457064559709,0.5002343326983888,6.93457064559709,0.5002343326983888,2,0.0010372803740804,2.2174884575555303e-05,8.794145260307696e-05,1.5799875219699269,0.8782379378143435,0.49949297865659,0.5020402316128584,0.4976611297850196,,,
best_per_cell,1,VH_1_MFA,VH,MFA,VH_1_MFA__hybrid_optuna_286,M2,available_surface_voltage_coupled_but_ionic_recruitment_low,5.402458464176738,0.3187724787549762,5.324644203277079,0.3276902138441131,1,6.943058517117419e-06,1.3815802088953085e-08,3.680689176139829e-05,1.455718336558958,3.3579247697492488e-226,6.651050582891266e-225,0.4950885417025775,0.5045995350801118,,,
best_per_cell,1,VH_1_MFA_BA,VH,MFA_BA,VH_1_MFA_BA__hybrid_optuna_089,M3,recruited_surface_gap_assisted_buffering,2.8081588852331123,0.5187766904744362,2.8081588852331123,0.5187766904744362,1,0.0032986314524224,0.0023449227003439,0.0004453743366613,0.6065988974813709,0.938898683870125,0.4542614297251468,0.506154001259623,0.0334886102627601,,,
best_per_cell,1,VH_2_MFA,VH,MFA,VH_2_MFA__hybrid_optuna_224,M2,kir_dominant_local_buffering,7.7903868016216835,0.3333333333333332,7.7903868016216835,0.3333333333333332,2,5.543389284811165e-08,0.0003380627386805,0.0343935701718021,7.069309720441503,0.0063057152332507,0.012794103018461,0.1182391464735235,0.8786908255894126,,,
best_per_cell,1,VH_2_MFA_BA,VH,MFA_BA,VH_2_MFA_BA__hybrid_optuna_080,M3,recruited_surface_gap_assisted_buffering,4.028481856572046,0.675987803339035,4.0284818597053125,0.6759875065079649,1,0.006004480331788,0.0004748639643733,0.0078823067326611,0.2225470795869807,0.8168816164714974,0.4983764391204631,0.5987294842016618,0.3443563808042362,,,
best_per_cell,1,VH_3_MFA,VH,MFA,VH_3_MFA__hybrid_optuna_215,M2,kir_dominant_local_buffering,8.081875166104036,0.3534894363071253,8.081875166104036,0.3534894363071253,2,1.2909968963860518e-06,2.534560222202759e-07,0.0001677339900706,0.3392357318580569,9.859676534765136e-305,1.0691142975079206e-303,0.3491073135372571,0.6032679507084954,,,
best_per_cell,1,VH_3_MFA_BA,VH,MFA_BA,VH_3_MFA_BA__hybrid_pre_07,M3,recruited_surface_gap_assisted_buffering,5.034961316727348,0.5170921728313226,5.034961316727348,0.5170921728313226,2,0.0010372803440127,2.2174885564303987e-05,8.794145686213767e-05,1.5799874999695134,0.8782379198892326,0.4994929592694068,0.5020402319956863,0.4976611294047131,,,
best_per_cell,1,VH_4_MFA,VH,MFA,VH_4_MFA__hybrid_optuna_279,M2,kir_dominant_local_buffering,5.171581437143092,0.3287282749973634,5.047342707603293,0.3211724855471737,1,1.4261529238814874e-08,0.0005758722038207,1.0127249532302528e-07,6.478971352080313,0.0028672291964657,2.959438708551097e-07,0.1623015424865444,0.6618807818976299,,,
best_per_cell,1,VH_4_MFA_BA,VH,MFA_BA,VH_4_MFA_BA__hybrid_post_001,M3,kir_dominant_local_buffering,3.326927248225932,0.6801542227748391,3.326927248225932,0.6801542227748391,2,0.0004988258515632,0.0033856572930096,9.653300938383145e-06,0.4260744122470449,9.859676537628617e-305,2.616187756609018e-307,0.2632446822314919,0.6848634498731628,,,
best_per_cell,1,VH_5_MFA,VH,MFA,VH_5_MFA__hybrid_optuna_289,M2,available_surface_voltage_coupled_but_ionic_recruitment_low,4.232572935369996,0.3084043599517155,4.232571365175923,0.3084043478733709,1,5.505606930051653e-06,3.70842597614226e-06,2.12560778043402e-05,0.0658261329789922,9.854498457234412e-126,1.452158505796159e-124,0.496395187269842,0.5036012459000666,,,
best_per_cell,1,VH_5_MFA_BA,VH,MFA_BA,VH_5_MFA_BA__hybrid_optuna_078,M3,recruited_surface_gap_assisted_buffering,4.789063920279836,0.675987803339035,4.789063930386355,0.6759878585671723,1,0.006004480331788,0.0004748639643733,0.0078823067326611,0.2225470795869807,0.8168816164714974,0.4983764391204631,0.5987294842016618,0.3443563808042362,,,
best_per_cell,1,VH_6_MFA,VH,MFA,VH_6_MFA__hybrid_optuna_943,M1,kir_dominant_local_buffering,3.9887692014650806,0.3354154794431982,3.920621575093126,0.3310289548069808,1,1.0676790422275236e-08,4.4693443890700346e-07,1.4716401311693234e-06,0.0506586330960483,9.858509576993344e-305,2.4575141927391693e-307,0.1945457964898552,0.793704114390836,,,
best_per_cell,1,VH_6_MFA_BA,VH,MFA_BA,VH_6_MFA_BA__hybrid_pre_07,M3,recruited_surface_gap_assisted_buffering,2.2304060243979698,0.5170921728313226,2.2304060243979698,0.5170921728313226,2,0.0010372803440127,2.2174885564303987e-05,8.794145686213767e-05,1.5799874999695134,0.8782379198892326,0.4994929592694068,0.5020402319956863,0.4976611294047131,,,
best_per_cell,1,VH_7_OG_MFA,VH,MFA,VH_7_OG_MFA__hybrid_optuna_287,M1,low_recruitment_local_storage,6.46843415738331,0.3904517319792778,6.463470133576611,0.3906704547285283,1,1.0105592506644526e-08,0.0018637511911906,6.2489856273289125e-06,1.1731916289284865,0.0815127593653442,4.365845344203018e-06,0.2020031700292845,0.1506959341951867,,,
best_per_cell,1,VH_7_OG_MFA_BA,VH,MFA_BA,VH_7_OG_MFA_BA__hybrid_optuna_087,M3,low_recruitment_local_storage,4.369409920477477,0.5046372475552598,4.373827677778654,0.5020743828718134,1,1.1741633364539965e-07,0.0039552323360892,1.1293569666046962e-08,0.1876572632038594,9.859675822881862e-305,0.0,0.3573523969483343,0.0268710981837458,,,
top_k_per_cell,3,1_DH_1_CONTROL,DH,CONTROL,1_DH_1_CONTROL__hybrid_optuna_087,M1,mixed_local_spatial_buffering,7.598614341672754,0.3592140714053211,7.581328705455518,0.3596089913772268,1,1.1996661220636652e-08,0.0009639219104777,1.3822108483323732e-06,0.2273680004427412,0.4696968163561277,3.3198915743536735e-05,0.0248241470887973,0.4752922991093256,,,
top_k_per_cell,3,1_DH_1_CONTROL,DH,CONTROL,1_DH_1_CONTROL__hybrid_optuna_098,M2,mixed_local_spatial_buffering,14.892764364375594,0.3045566673578326,14.892764364375594,0.3045566673578326,2,2.1484198879011832e-08,1.0088571442840538e-08,4.5165475071932483e-08,0.0678458449682687,0.4060929676989249,5.965698106203987e-05,0.3517984082828717,0.6453230142897212,,,
top_k_per_cell,3,1_DH_2_CONTROL,DH,CONTROL,1_DH_2_CONTROL__hybrid_optuna_098,M1,mixed_local_spatial_buffering,13.977227693028652,0.3592629870825042,13.982361406690702,0.3593400005006864,1,1.1996661220636652e-08,0.0009639219104777,5.117854716429417e-07,0.255012047149372,0.4742352083058401,1.230573233368412e-05,0.0247631908628131,0.4760309130560966,,,
top_k_per_cell,3,1_DH_2_CONTROL,DH,CONTROL,1_DH_2_CONTROL__hybrid_optuna_072,M1,low_recruitment_local_storage,7.607195894095102,0.3414510969631935,7.607195894095102,0.3414510969631935,2,1.0153508977858307e-06,8.193799991073805e-07,0.0615521370223549,4.906669506278448,9.859676543758941e-305,0.0,0.1666206762598346,0.3304409356067796,,,
top_k_per_cell,3,1_DH_2_CONTROL,DH,CONTROL,1_DH_2_CONTROL__hybrid_optuna_066,M2,low_recruitment_local_storage,5.960267419691559,0.3024776268661662,5.960267419691559,0.3024776268661662,3,1.991600130066668e-08,1.1498294176561468e-05,0.0290154667530075,3.517490838704276,9.859676542188784e-305,8.850468199611234e-303,0.3514071263833052,0.5706908873790544,,,
top_k_per_cell,3,1_VH_1_CONTROL,VH,CONTROL,1_VH_1_CONTROL__hybrid_optuna_004,M2,kir_dominant_local_buffering,6.460123378392464,0.3090362481637552,6.452548930367247,0.3093203980865881,1,1.9320979798396146e-07,6.884733072151251e-05,0.0446888001496297,1.918939695528853,9.85967654371955e-305,1.0655056870849664e-303,0.0328809123703741,0.9659494002427564,,,
top_k_per_cell,3,1_VH_1_CONTROL,VH,CONTROL,1_VH_1_CONTROL__hybrid_optuna_075,M2,kir_dominant_local_buffering,15.488587614508049,0.3063496820326807,15.488587614508049,0.3063496820326807,2,5.49211866925995e-07,5.745832666514891e-05,0.0309612832337943,0.3401260500078757,9.859676543759016e-305,1.0623987213616194e-301,0.3341014458119707,0.6645587659623035,,,
top_k_per_cell,3,1_VH_1_CONTROL,VH,CONTROL,1_VH_1_CONTROL__hybrid_optuna_002,M2,kir_dominant_local_buffering,6.337149283589009,0.3059006255968503,6.337149283589009,0.3059006255968503,3,5.898332582682037e-07,6.132367372018215e-05,0.03422334795647,0.4968427812563468,9.240381599479025e-289,1.820215092772444e-286,0.1528147000231149,0.8439308532540232,,,
top_k_per_cell,3,1_VH_2_CONTROL,VH,CONTROL,1_VH_2_CONTROL__hybrid_optuna_001,M2,mixed_local_spatial_buffering,6.896416818472869,0.3864626980064761,6.896416818472869,0.3864626980064761,2,2.428889058492891e-06,5.419739585354233e-06,0.0013623132320298,1.3179978430534545,0.3897766225674245,0.2617704120719824,0.2631347793761145,0.7368360177203286,,,
top_k_per_cell,3,1_VH_2_CONTROL,VH,CONTROL,1_VH_2_CONTROL__hybrid_optuna_002,M2,kir_dominant_local_buffering,6.877977269385884,0.3417286350286266,6.877977269385884,0.3417286350286266,3,6.830499304746684e-06,1.8270132738959688e-06,0.0005124194965899,0.92035745774166,0.2046230620212255,0.3833974753258038,0.3859842265626818,0.6140067697857555,,,
top_k_per_cell,3,1_VH_2_CONTROL,VH,CONTROL,1_VH_2_CONTROL__hybrid_post_002,M2,kir_dominant_local_buffering,6.879820130986893,0.341632613287519,6.879820130986893,0.341632613287519,4,6.84569879597993e-06,1.83096112047192e-06,0.0005080691346224,0.9233565469150656,0.2035765982325385,0.3833125063263915,0.3859455745617049,0.6140454044371448,,,
top_k_per_cell,3,2_DH_1_CONTROL,DH,CONTROL,2_DH_1_CONTROL__hybrid_optuna_096,M1,mixed_local_spatial_buffering,12.448600024573151,0.3592629849136366,12.449729895697262,0.3592784978311763,1,1.1996661220636652e-08,0.0009639219104777,5.117854716429417e-07,0.255012047149372,0.4742352082186666,1.230573253574145e-05,0.0247631905675365,0.4760309211447489,,,
top_k_per_cell,3,2_DH_1_CONTROL,DH,CONTROL,2_DH_1_CONTROL__hybrid_optuna_060,M2,mixed_local_spatial_buffering,4.214801287524524,0.3014309162348116,4.214801287524524,0.3014309162348116,2,1.437660327623344e-08,8.250738068715948e-05,0.0026714630638544,1.0074212894031065,0.3571264313395959,0.3739570885846779,0.2461376538519807,0.7487893445551271,,,
top_k_per_cell,3,3_DH_1_CONTROL,DH,CONTROL,3_DH_1_CONTROL__hybrid_optuna_097,M1,mixed_local_spatial_buffering,15.033451490435638,0.3592629849136366,15.03473662999395,0.3592932305184015,1,1.1996661220636652e-08,0.0009639219104777,5.117854716429417e-07,0.255012047149372,0.4742352082186666,1.230573253574145e-05,0.0247631905675365,0.4760309211447489,,,
top_k_per_cell,3,3_DH_1_CONTROL,DH,CONTROL,3_DH_1_CONTROL__hybrid_optuna_001,M2,mixed_local_spatial_buffering,8.883726625489528,0.3333333333333333,8.883726625489528,0.3333333333333333,3,0.0008876227573001,1.4131789241161373e-07,0.0994025239022729,4.496767329358334,0.1405481956554978,0.4981590285512022,0.5068339988589791,0.4686378793844438,,,
top_k_per_cell,3,3_DH_1_CONTROL,DH,CONTROL,3_DH_1_CONTROL__hybrid_post_001,M2,mixed_local_spatial_buffering,8.883394285329667,0.3333333333333333,8.883394285329667,0.3333333333333333,2,0.000892111152047,1.374794139845004e-07,0.0990772337135975,4.502541267844211,0.1374343259044782,0.4982171396860078,0.5068243510235454,0.4689470521955843,,,
top_k_per_cell,3,3_DH_2_CONTROL,DH,CONTROL,3_DH_2_CONTROL__hybrid_optuna_098,M1,mixed_local_spatial_buffering,14.757077556565273,0.3592629849136366,14.75816737558676,0.3592785028336003,1,1.1996661220636652e-08,0.0009639219104777,5.117854716429417e-07,0.255012047149372,0.4742352082186666,1.230573253574145e-05,0.0247631905675365,0.4760309211447489,,,
top_k_per_cell,3,3_DH_2_CONTROL,DH,CONTROL,3_DH_2_CONTROL__hybrid_optuna_067,M2,mixed_local_spatial_buffering,7.060338205298613,0.3013201372883478,7.060338205298613,0.3013201372883478,2,2.2841321209132905e-07,3.894667945706587e-07,0.0030184415917358,1.0997984024979517,0.4178607004639375,0.4909471882389424,0.4794336005570823,0.518783493966634,,,
top_k_per_cell,3,DH_1_CONTROL,DH,CONTROL,DH_1_CONTROL__hybrid_optuna_099,M1,mixed_local_spatial_buffering,14.37998457908929,0.3598312687182541,14.379885750991996,0.3598628598328197,1,1.1996661220636652e-08,0.0009639219104777,5.117854651262243e-07,0.2550120469773154,0.4742352082378285,1.2305732598021472e-05,0.0247631910335856,0.476030914660559,,,
top_k_per_cell,3,DH_1_CONTROL,DH,CONTROL,DH_1_CONTROL__hybrid_optuna_053,M1,mixed_local_spatial_buffering,5.67908982422583,0.356483160100383,5.67908982422583,0.356483160100383,2,6.284946321406843e-08,3.8160022201918936e-08,0.0129254920805939,5.231487674988508,0.4448673716891838,0.0,0.0011221928155235,0.5001582626973475,,,
top_k_per_cell,3,DH_1_CONTROL,DH,CONTROL,DH_1_CONTROL__hybrid_optuna_049,M2,available_surface_voltage_coupled_but_ionic_recruitment_low,4.519310745399758,0.3018156787844202,4.519310745399758,0.3018156787844202,3,4.515284374263166e-07,2.258282326866396e-06,1.1219093081864454e-05,0.47120120167239,1.75677580367573e-05,9.961134969491689e-06,0.48483328243544,0.5120435155040592,,,
top_k_per_cell,3,DH_1_MFA,DH,MFA,DH_1_MFA__hybrid_optuna_057,M1,kir_dominant_local_buffering,7.617809091500729,0.4141233334751723,7.617809091500729,0.4141233334751723,2,5.9078902720612464e-08,3.5398302483569986e-05,6.697544368255835e-06,0.1864084103281081,1.9347288504802338e-10,4.0965756006929646e-14,0.0933589814574053,0.7543739959998792,,,
top_k_per_cell,3,DH_1_MFA,DH,MFA,DH_1_MFA__hybrid_optuna_053,M1,mixed_local_spatial_buffering,6.664340472876408,0.408752052012186,6.664340472876408,0.408752052012186,3,4.466047172919705e-07,1.6853856545294232e-08,4.670625929072946e-08,0.1799291146620292,0.3593983901159316,0.0,0.0474962550058821,0.5115672512305643,,,
top_k_per_cell,3,DH_1_MFA,DH,MFA,DH_1_MFA__hybrid_optuna_042,M1,mixed_local_spatial_buffering,16.86245007332977,0.4072508966031451,16.86245007332977,0.4072508966031451,4,5.325010930083692e-07,1.8377461020597505e-06,1.2434361973651156e-06,0.0986094948822297,0.3017899069378927,0.0,0.0288244465618469,0.4864750198134708,,,
