strategy,n_cells,n_candidate_rows,n_accepted_rows,n_accepted_cells,mean_best_trace_rmse_mV,mean_best_weighted_pass_fraction,median_best_trace_rmse_mV,median_best_weighted_pass_fraction,trace_rmse_accept,feature_pass_accept
nsga2_trace_feature_adaptive500,7,97,45,5,3.096924317660591,0.8019933324002689,2.78329487566875,0.857923278616028,4.0,0.5
least_squares_12starts,7,84,41,4,3.282693000627453,0.7957526593410901,2.7825332274888184,0.8386291390641561,4.0,0.5
