run_dir,region,condition,cells,accepted_candidates,cells_2plus_eff_t0_5,cells_2plus_all_t0_5,median_eff_clusters_t0_5,median_eff_plausible_n,median_all_plausible_n
outputs/reviewer_synthesis/step04_optimizer_method_probe_6cell/optuna_multi_nsga2_24,VH,MFA_BA,1,4,1,0,4.0,4.0,0.0
outputs/reviewer_synthesis/step04_optimizer_method_probe_6cell/optuna_scalar_random_acceptance_margin_24,DH,MFA,1,22,1,0,21.0,21.0,1.0
outputs/reviewer_synthesis/step04_optimizer_method_probe_6cell/optuna_scalar_random_acceptance_margin_24,DH,MFA_BA,1,22,1,0,21.0,21.0,1.0
outputs/reviewer_synthesis/step04_optimizer_method_probe_6cell/optuna_scalar_random_acceptance_margin_24,VH,MFA,1,2,1,0,2.0,2.0,0.0
outputs/reviewer_synthesis/step04_optimizer_method_probe_6cell/optuna_scalar_random_acceptance_margin_24,VH,MFA_BA,1,22,1,0,21.0,21.0,1.0
outputs/reviewer_synthesis/step04_targeted_vh_high_budget_numerical_health_v2,VH,CONTROL,1,3,1,0,2.0,3.0,0.0
outputs/reviewer_synthesis/step04_targeted_vh_high_budget_numerical_health_v2,VH,MFA,6,17,6,0,3.0,3.0,0.0
outputs/reviewer_synthesis/step04_vh6_mfa_intensified_numerical_health,VH,MFA,1,3,1,0,3.0,3.0,0.0
outputs/step04_acceptance_control,DH,CONTROL,1,1,0,0,1.0,1.0,1.0
outputs/step04_objective100_hybrid_confirm_12cell/acceptance_margin,DH,MFA,2,6,1,0,1.5,3.0,1.0
outputs/step04_objective100_hybrid_confirm_12cell/acceptance_margin,DH,MFA_BA,2,6,2,0,2.0,3.0,0.0
outputs/step04_objective100_hybrid_confirm_12cell/acceptance_margin,VH,CONTROL,1,3,1,0,2.0,3.0,0.0
outputs/step04_objective100_hybrid_confirm_12cell/acceptance_margin,VH,MFA_BA,2,6,2,0,2.0,3.0,0.0
outputs/step04_objective100_hybrid_confirm_12cell/balanced_residual,DH,MFA,2,6,2,0,2.0,3.0,0.0
outputs/step04_objective100_hybrid_confirm_12cell/balanced_residual,DH,MFA_BA,2,6,2,0,2.0,3.0,0.0
outputs/step04_objective100_hybrid_confirm_12cell/balanced_residual,VH,MFA_BA,2,6,2,0,2.0,3.0,0.0
outputs/step04_objective100_hybrid_confirm_12cell/metric_scalar,DH,CONTROL,1,3,0,0,1.0,3.0,0.0
outputs/step04_objective100_hybrid_confirm_12cell/metric_scalar,DH,MFA,2,6,1,0,1.5,3.0,0.0
outputs/step04_objective100_hybrid_confirm_12cell/metric_scalar,DH,MFA_BA,2,6,2,0,2.0,3.0,0.0
outputs/step04_objective100_hybrid_confirm_12cell/metric_scalar,VH,MFA_BA,2,6,2,0,2.0,3.0,0.0
outputs/step04_objective100_hybrid_confirm_12cell/trace_shape_l1,DH,MFA,2,6,1,0,1.5,3.0,1.0
outputs/step04_objective100_hybrid_confirm_12cell/trace_shape_l1,DH,MFA_BA,2,6,2,0,2.0,3.0,0.0
outputs/step04_objective100_hybrid_confirm_12cell/trace_shape_l1,VH,MFA_BA,2,6,2,0,2.5,3.0,0.0
outputs/step04_objective100_hybrid_confirm_12cell/trace_shape_log_cosh,DH,MFA,2,6,2,0,2.0,3.0,2.0
outputs/step04_objective100_hybrid_confirm_12cell/trace_shape_log_cosh,DH,MFA_BA,2,6,2,0,2.0,3.0,0.0
outputs/step04_objective100_hybrid_confirm_12cell/trace_shape_log_cosh,VH,MFA_BA,2,6,2,0,2.5,3.0,0.0
outputs/step04_objective100_screen/acceptance_margin,DH,MFA,1,3,1,0,3.0,3.0,0.0
outputs/step04_objective100_screen/acceptance_margin,DH,MFA_BA,1,3,1,0,2.0,3.0,0.0
outputs/step04_objective100_screen/acceptance_margin,VH,MFA_BA,1,3,1,0,3.0,3.0,0.0
outputs/step04_objective100_screen/balanced_residual,DH,MFA,1,3,1,0,3.0,3.0,0.0
outputs/step04_objective100_screen/balanced_residual,DH,MFA_BA,1,3,1,0,3.0,3.0,0.0
outputs/step04_objective100_screen/balanced_residual,VH,MFA,1,1,0,0,1.0,1.0,0.0
outputs/step04_objective100_screen/balanced_residual,VH,MFA_BA,1,3,1,0,2.0,3.0,0.0
outputs/step04_objective100_screen/metric_scalar,DH,MFA,1,3,1,0,3.0,3.0,0.0
outputs/step04_objective100_screen/metric_scalar,DH,MFA_BA,1,3,1,0,3.0,3.0,0.0
outputs/step04_objective100_screen/metric_scalar,VH,MFA_BA,1,3,1,0,3.0,3.0,0.0
outputs/step04_objective100_screen/trace_shape,DH,MFA,1,3,1,0,3.0,3.0,0.0
outputs/step04_objective100_screen/trace_shape,DH,MFA_BA,1,3,1,0,3.0,3.0,0.0
outputs/step04_objective100_screen/trace_shape,VH,MFA_BA,1,3,1,0,2.0,3.0,0.0
outputs/step04_objective100_screen/trace_shape_combined_centered,DH,MFA,1,3,1,0,2.0,2.0,0.0
outputs/step04_objective100_screen/trace_shape_combined_centered,DH,MFA_BA,1,3,1,0,2.0,3.0,0.0
outputs/step04_objective100_screen/trace_shape_combined_centered,VH,MFA_BA,1,3,1,0,2.0,3.0,0.0
outputs/step04_objective100_screen/trace_shape_combined_centered_scaled,DH,MFA,1,3,1,0,3.0,3.0,0.0
outputs/step04_objective100_screen/trace_shape_combined_centered_scaled,DH,MFA_BA,1,3,1,0,3.0,3.0,0.0
outputs/step04_objective100_screen/trace_shape_combined_centered_scaled,VH,MFA_BA,1,3,0,0,1.0,1.0,0.0
outputs/step04_objective100_screen/trace_shape_combined_default,DH,MFA,1,3,1,0,3.0,3.0,0.0
outputs/step04_objective100_screen/trace_shape_combined_default,DH,MFA_BA,1,3,1,0,3.0,3.0,0.0
outputs/step04_objective100_screen/trace_shape_combined_default,VH,MFA_BA,1,3,1,0,2.0,3.0,0.0
outputs/step04_objective100_screen/trace_shape_huber,DH,MFA,1,3,1,0,3.0,3.0,0.0
outputs/step04_objective100_screen/trace_shape_huber,DH,MFA_BA,1,3,1,0,2.0,3.0,0.0
outputs/step04_objective100_screen/trace_shape_huber,VH,MFA_BA,1,3,1,0,2.0,3.0,0.0
outputs/step04_objective100_screen/trace_shape_huber_centered,DH,MFA,1,3,1,0,2.0,3.0,0.0
outputs/step04_objective100_screen/trace_shape_huber_centered,DH,MFA_BA,1,3,1,0,3.0,3.0,0.0
outputs/step04_objective100_screen/trace_shape_huber_centered,VH,MFA_BA,1,3,0,0,1.0,3.0,0.0
