file_id,region,condition,n_candidates_canonical,n_accepted_candidates_canonical,best_candidate_id_canonical,best_trace_rmse_mV_canonical,best_weighted_pass_fraction_canonical,holdout_pass_count_canonical,holdout_mean_rmse_mV_canonical,holdout_mean_pass_fraction_canonical,cell_reviewer_facing_canonical,n_candidates_targeted_best,n_accepted_candidates_targeted_best,best_candidate_id_targeted_best,best_trace_rmse_mV_targeted_best,best_weighted_pass_fraction_targeted_best,holdout_pass_count_targeted_best,holdout_mean_rmse_mV_targeted_best,holdout_mean_pass_fraction_targeted_best,cell_reviewer_facing_targeted_best,delta_n_candidates,delta_n_accepted_candidates,delta_best_trace_rmse_mV,delta_best_weighted_pass_fraction,delta_holdout_pass_count,delta_holdout_mean_pass_fraction,reviewer_facing_changed
1_VH_1_CONTROL,VH,CONTROL,111,4,1_VH_1_CONTROL__hybrid_optuna_004,6.460123378392464,0.3090362481637552,1,6.452548930367247,0.3093203980865881,False,313,0,1_VH_1_CONTROL__hybrid_optuna_264,16.341219430244237,0.2857142857142857,0,16.339746048637835,0.2857142857142857,False,202,-4,9.881096051851774,-0.02332196244946949,-1,-0.023606112372302424,False
1_VH_2_CONTROL,VH,CONTROL,111,13,1_VH_2_CONTROL__hybrid_post_001,6.896417008210958,0.3864627003840549,1,6.917792427006322,0.2972629025202522,False,313,3,1_VH_2_CONTROL__hybrid_optuna_001,7.106551484734529,0.3700295018863603,0,7.014399354905211,0.2857142857142857,False,202,-10,0.21013447652357087,-0.01643319849769459,-1,-0.011548616805966527,False
2_VH_1_CONTROL,VH,CONTROL,111,0,2_VH_1_CONTROL__hybrid_optuna_094,17.750486192918853,0.2995732272973441,1,17.854380234709343,0.2491434398589918,False,313,0,2_VH_1_CONTROL__hybrid_optuna_001,6.483402742261237,0.2857142857142857,0,6.432198928436022,0.2857142857142857,False,202,0,-11.267083450657616,-0.013858941583058393,-1,0.03657084585529391,False
3_VH_1_CONTROL,VH,CONTROL,111,0,3_VH_1_CONTROL__hybrid_optuna_011,7.4334704215152385,0.2889735383457647,1,7.433474252631195,0.2889742285847283,False,313,0,3_VH_1_CONTROL__hybrid_optuna_003,6.069284965331188,0.2857142857142857,0,6.06017568359925,0.2857142857142857,False,202,0,-1.3641854561840505,-0.003259252631479026,-1,-0.0032599428704426225,False
VH_1_MFA,VH,MFA,111,0,VH_1_MFA__hybrid_optuna_001,0.7655887192316878,0.2857142857142856,0,0.7655753356989933,0.2857142857142856,False,313,2,VH_1_MFA__hybrid_optuna_286,5.402458464176738,0.3187724787549762,5,5.324644203277079,0.3276902138441131,True,202,2,4.63686974494505,0.03305819304069063,5,0.04197592812982753,True
VH_2_MFA,VH,MFA,111,0,VH_2_MFA__hybrid_post_001,0.9630721023377826,0.2857142857142856,0,0.9853016522930416,0.2857142857142856,False,313,3,VH_2_MFA__hybrid_optuna_247,5.6072346612343305,0.3497440689005848,5,5.12257282590481,0.3321493553625046,True,202,3,4.644162558896548,0.0640297831862992,5,0.04643506964821903,True
VH_3_MFA,VH,MFA,111,6,VH_3_MFA__hybrid_optuna_061,7.4042062955716,0.3069932440052002,2,7.583400414156981,0.3037071161362152,False,313,3,VH_3_MFA__hybrid_optuna_210,7.389195056913349,0.3584921492336466,5,6.9702218706698025,0.346833542689512,True,202,-3,-0.015011238658251713,0.05149890522844636,3,0.04312642655329679,True
VH_4_MFA,VH,MFA,111,0,VH_4_MFA__hybrid_post_003,1.0975389846852337,0.2857142857142856,0,1.0965043820883482,0.2857142857142856,False,313,3,VH_4_MFA__hybrid_optuna_279,5.171581437143092,0.3287282749973634,4,5.047342707603293,0.3211724855471737,True,202,3,4.074042452457858,0.043013989283077814,4,0.035458199832888115,True
VH_5_MFA,VH,MFA,111,0,VH_5_MFA__hybrid_post_001,1.012581350006182,0.2857142857142856,0,1.0121597566656242,0.2857142857142856,False,313,3,VH_5_MFA__hybrid_optuna_289,4.232572935369996,0.3084043599517155,3,4.232571365175923,0.3084043478733709,True,202,3,3.2199915853638137,0.022690074237429914,3,0.02269006215908531,True
VH_7_OG_MFA,VH,MFA,111,0,VH_7_OG_MFA__hybrid_optuna_091,21.992685352461404,0.3149139933993827,3,4.153470539872505,0.314987933415905,False,313,3,VH_7_OG_MFA__hybrid_optuna_287,6.46843415738331,0.3904517319792778,6,6.463470133576611,0.3906704547285283,True,202,3,-15.524251195078094,0.0755377385798951,3,0.07568252131262332,True
VH_6_MFA,VH,MFA,111,2,VH_6_MFA__hybrid_optuna_006,15.538390252537395,0.3482425751582267,0,1.0740724555908916,0.2857142857142856,False,1022,3,VH_6_MFA__hybrid_optuna_943,3.9887692014650806,0.3354154794431982,5,3.920621575093126,0.3310289548069808,True,911,1,-11.549621051072315,-0.012827095715028491,5,0.045314669092695214,True
