strategy_label,file_id,selection_note,candidate_id,mean_trace_rmse_mV,mean_weighted_pass_fraction
random_acceptance160,DH_1_MFA_BA,accepted,DH_1_MFA_BA__cand_79,9.233164983133282,0.9270096105255844
random_acceptance160,VH_4_MFA_BA,accepted,VH_4_MFA_BA__cand_33,3.059324487953852,0.6719901011807333
random_acceptance160,VH_7_OG_MFA_BA,accepted,VH_7_OG_MFA_BA__cand_27,4.35567313817205,0.6654957770373257
scipy_seed1_tpe160,DH_2_CONTROL,accepted,DH_2_CONTROL__hybrid_optuna_001,8.072827248985227,0.4673508211344974
scipy_seed1_tpe160,3_DH_1_CONTROL,accepted,3_DH_1_CONTROL__hybrid_optuna_108,7.631290631295594,0.4427466182690602
scipy_seed1_tpe160,2_VH_1_CONTROL,best_nonaccepted,2_VH_1_CONTROL__hybrid_optuna_002,7.794413600967044,0.2857142857142857
scipy_seed1_tpe160,1_VH_2_CONTROL,best_nonaccepted,1_VH_2_CONTROL__hybrid_optuna_010,7.441096561153863,0.2405014380111695
scipy_seed1_tpe160,1_DH_1_CONTROL,accepted,1_DH_1_CONTROL__hybrid_post_001,4.26791198054877,0.4398305334748162
scipy_seed1_tpe160,DH_1_MFA,accepted,DH_1_MFA__hybrid_optuna_093,6.88933557484042,0.6232750662646404
scipy_seed1_tpe160,DH_2_MFA,accepted,DH_2_MFA__hybrid_optuna_120,5.152357383127227,0.6145515920688543
scipy_seed1_tpe160,VH_1_MFA,accepted,VH_1_MFA__hybrid_optuna_131,5.20681851886934,0.3452840942502465
scipy_seed1_tpe160,VH_6_MFA,accepted,VH_6_MFA__hybrid_optuna_138,4.174327213252356,0.3443509991793108
scipy_seed1_tpe160,DH_1_MFA_BA,accepted,DH_1_MFA_BA__hybrid_optuna_135,8.953224409584712,0.934838798487062
scipy_seed1_tpe160,VH_4_MFA_BA,accepted,VH_4_MFA_BA__hybrid_optuna_006,1.601285744181028,0.6805361734230901
scipy_seed1_tpe160,VH_7_OG_MFA_BA,accepted,VH_7_OG_MFA_BA__hybrid_optuna_051,1.7774233512511737,0.6654238923566076
least_squares_12starts,DH_2_CONTROL,best_nonaccepted,DH_2_CONTROL__cand_07,5.732301922022207,0.2934293967092272
least_squares_12starts,3_DH_1_CONTROL,best_nonaccepted,3_DH_1_CONTROL__cand_11,7.104309243586904,0.2927470010597857
least_squares_12starts,2_VH_1_CONTROL,best_nonaccepted,2_VH_1_CONTROL__cand_09,10.623817886884847,0.2403063155959676
least_squares_12starts,1_VH_2_CONTROL,best_nonaccepted,1_VH_2_CONTROL__cand_09,10.09154728122573,0.245833130977392
least_squares_12starts,DH_1_MFA,accepted,DH_1_MFA__cand_04,4.122696201946367,0.3349711991986468
least_squares_12starts,VH_1_MFA,best_nonaccepted,VH_1_MFA__cand_04,0.9655702283221445,0.2817280525220654
least_squares_12starts,VH_6_MFA,best_nonaccepted,VH_6_MFA__cand_07,1.302800393157798,0.2817359186191242
least_squares_12starts,DH_1_MFA_BA,accepted,DH_1_MFA_BA__cand_06,8.46963232440046,0.4266823512423935
least_squares_12starts,VH_4_MFA_BA,accepted,VH_4_MFA_BA__cand_06,2.615763933643571,0.4285714285714285
tight_contract_adaptive500_best_attempt,DH_2_CONTROL,best_nonaccepted,DH_2_CONTROL__cand_04,6.8739748041293405,0.487518714052028
tight_contract_adaptive500_best_attempt,3_DH_1_CONTROL,best_nonaccepted,3_DH_1_CONTROL__cand_10,8.213589222381842,0.4956971312641257
tight_contract_adaptive500_best_attempt,2_VH_1_CONTROL,best_nonaccepted,2_VH_1_CONTROL__cand_07,7.9285674544727796,0.2857142857142857
tight_contract_adaptive500_best_attempt,1_VH_2_CONTROL,best_nonaccepted,1_VH_2_CONTROL__cand_08,7.065278215016996,0.2857142857142857
tight_contract_adaptive500_best_attempt,1_DH_1_CONTROL,best_nonaccepted,1_DH_1_CONTROL__cand_06,8.839498136699854,0.502188619227865
tight_contract_adaptive500_best_attempt,DH_1_MFA,best_nonaccepted,DH_1_MFA__cand_05,5.132887837615911,0.6237011341139244
tight_contract_adaptive500_best_attempt,DH_2_MFA,best_nonaccepted,DH_2_MFA__cand_15,3.896167237163709,0.6476556771205363
tight_contract_adaptive500_best_attempt,VH_1_MFA,best_nonaccepted,VH_1_MFA__cand_19,6.227940333465224,0.6340175585711347
tight_contract_adaptive500_best_attempt,VH_6_MFA,best_nonaccepted,VH_6_MFA__cand_33,6.3924491856201335,0.5961914389382333
tight_contract_adaptive500_best_attempt,DH_1_MFA_BA,best_nonaccepted,DH_1_MFA_BA__cand_10,4.046961219258823,0.6995090104266518
tight_contract_adaptive500_best_attempt,VH_4_MFA_BA,best_nonaccepted,VH_4_MFA_BA__cand_16,2.032382088761412,0.6795466883652193
tight_contract_adaptive500_best_attempt,VH_7_OG_MFA_BA,best_nonaccepted,VH_7_OG_MFA_BA__cand_23,3.9525382370528592,0.704967090676276
