selection_strategy,file_id,region,condition,n_selected,cell_reviewer_facing,min_pairwise_effective_log_distance,effective_clusters_t0_5,selected_mean_trace_rmse_mV,selected_mean_weighted_pass_fraction,best_candidate_retained
effective_cluster_medoids_t0_5,1_DH_1_CONTROL,DH,CONTROL,2,True,5.229713110370127,2,11.245689353024174,0.33188536938157687,True
effective_cluster_medoids_t0_5,1_DH_2_CONTROL,DH,CONTROL,3,True,2.122473025223047,3,8.725589545513591,0.32102024961404774,True
effective_cluster_medoids_t0_5,1_VH_1_CONTROL,VH,CONTROL,3,False,0.17532444306561368,2,9.428620092163174,0.3070955185977621,True
effective_cluster_medoids_t0_5,1_VH_2_CONTROL,VH,CONTROL,3,False,0.625814547255836,3,6.913712285642068,0.3467034362366806,False
effective_cluster_medoids_t0_5,2_DH_1_CONTROL,DH,CONTROL,2,True,3.9144392928359464,2,8.331700656048838,0.33034695057422414,True
effective_cluster_medoids_t0_5,3_DH_1_CONTROL,DH,CONTROL,1,True,,1,15.033451490435638,0.3592629849136366,True
effective_cluster_medoids_t0_5,3_DH_2_CONTROL,DH,CONTROL,2,True,5.270190587525519,2,10.908707880931942,0.3302915611009922,True
effective_cluster_medoids_t0_5,DH_1_CONTROL,DH,CONTROL,3,True,3.3570689123562167,3,8.192795049571627,0.3393767025343524,True
effective_cluster_medoids_t0_5,DH_1_MFA,DH,MFA,3,True,1.7814386555301895,3,10.38153321256897,0.41004209403016784,False
effective_cluster_medoids_t0_5,DH_1_MFA_BA,DH,MFA_BA,3,True,1.1430533452785199,3,6.961165258395006,0.5001448820046533,False
effective_cluster_medoids_t0_5,DH_2_CONTROL,DH,CONTROL,1,True,,1,6.691091388914987,0.3205460241541799,True
effective_cluster_medoids_t0_5,DH_2_MFA,DH,MFA,3,True,2.2954188711848555,3,7.684163439395682,0.39516368120041606,True
effective_cluster_medoids_t0_5,DH_2_MFA_BA,DH,MFA_BA,3,True,1.1430533452785199,3,3.950184225066767,0.5001504800788376,False
effective_cluster_medoids_t0_5,DH_3_MFA,DH,MFA,3,True,1.7549168707218736,3,5.61943200126105,0.3884285356372837,True
effective_cluster_medoids_t0_5,DH_3_MFA_BA,DH,MFA_BA,3,True,1.1430533452785199,3,2.320617961470002,0.5001445363979465,False
effective_cluster_medoids_t0_5,DH_4_MFA,DH,MFA,3,True,2.2976850712035475,3,7.714602684232452,0.40387705572154814,True
effective_cluster_medoids_t0_5,DH_4_MFA_BA,DH,MFA_BA,3,True,1.7226742420430923,3,7.177742167151673,0.5008398902481045,True
effective_cluster_medoids_t0_5,DH_5_MFA,DH,MFA,3,True,1.7549168707218736,3,8.367997287343659,0.3884285356372837,True
effective_cluster_medoids_t0_5,DH_5_MFA_BA,DH,MFA_BA,3,True,1.266389245328794,3,5.009989380092802,0.5006090499488575,False
effective_cluster_medoids_t0_5,DH_6_MFA,DH,MFA,3,True,1.7977238022899584,3,5.85040285730679,0.3953529650752389,True
effective_cluster_medoids_t0_5,DH_6_MFA_BA,DH,MFA_BA,3,True,2.770821740845301,3,4.804153844496445,0.5001559312521179,False
effective_cluster_medoids_t0_5,VH_1_MFA,VH,MFA,2,True,0.7655521258556603,2,5.000064354915664,0.3142716888356191,True
effective_cluster_medoids_t0_5,VH_1_MFA_BA,VH,MFA_BA,3,True,2.240382889747716,3,3.1734969794580565,0.5171843690229355,True
effective_cluster_medoids_t0_5,VH_2_MFA,VH,MFA,3,True,2.6077504645090817,3,6.591387594724903,0.3297374433416586,True
effective_cluster_medoids_t0_5,VH_2_MFA_BA,VH,MFA_BA,3,True,1.638612050010262,3,3.3649715262252724,0.5144843027722291,False
effective_cluster_medoids_t0_5,VH_3_MFA,VH,MFA,3,True,2.4591026724248763,3,7.418056827451669,0.35417110810617275,True
effective_cluster_medoids_t0_5,VH_3_MFA_BA,VH,MFA_BA,3,True,3.218795591402601,3,3.729629872131412,0.5169730548514662,True
effective_cluster_medoids_t0_5,VH_4_MFA,VH,MFA,3,True,3.407032564083057,3,6.056880990293042,0.31354913956254715,True
effective_cluster_medoids_t0_5,VH_4_MFA_BA,VH,MFA_BA,3,True,2.452878259820874,3,2.4439856340041506,0.5713951850869079,False
effective_cluster_medoids_t0_5,VH_5_MFA,VH,MFA,3,True,3.9627694252585797,3,4.5446597310073225,0.3046330343312829,True
effective_cluster_medoids_t0_5,VH_5_MFA_BA,VH,MFA_BA,3,True,1.8448420859138235,3,3.9191565960135173,0.5144910237872676,False
effective_cluster_medoids_t0_5,VH_6_MFA,VH,MFA,3,True,1.5424385566485457,3,3.950658075746654,0.3290038821385284,True
effective_cluster_medoids_t0_5,VH_6_MFA_BA,VH,MFA_BA,3,True,2.6328205641689864,3,1.4816588520478045,0.5141294448400311,False
effective_cluster_medoids_t0_5,VH_7_OG_MFA,VH,MFA,3,True,0.47232509362756336,2,5.214959525917222,0.3462498977501293,True
effective_cluster_medoids_t0_5,VH_7_OG_MFA_BA,VH,MFA_BA,3,True,3.418380294761115,3,2.689721157948462,0.502091634303306,True
effective_maximin_best_seed,1_DH_1_CONTROL,DH,CONTROL,2,True,5.229713110370127,2,11.245689353024174,0.33188536938157687,True
effective_maximin_best_seed,1_DH_2_CONTROL,DH,CONTROL,3,True,2.122473025223047,3,8.725589545513591,0.3210202496140478,True
effective_maximin_best_seed,1_VH_1_CONTROL,VH,CONTROL,3,False,0.17532444306561368,2,9.428620092163174,0.3070955185977621,True
effective_maximin_best_seed,1_VH_2_CONTROL,VH,CONTROL,3,False,0.6226919412953112,3,6.896246923243663,0.3464059277082663,False
effective_maximin_best_seed,2_DH_1_CONTROL,DH,CONTROL,2,True,3.9144392928359464,2,8.331700656048838,0.33034695057422414,True
effective_maximin_best_seed,3_DH_1_CONTROL,DH,CONTROL,1,True,,1,15.033451490435638,0.3592629849136366,True
effective_maximin_best_seed,3_DH_2_CONTROL,DH,CONTROL,2,True,5.270190587525519,2,10.908707880931942,0.3302915611009922,True
effective_maximin_best_seed,DH_1_CONTROL,DH,CONTROL,3,True,3.3570689123562167,3,8.192795049571627,0.3393767025343524,True
effective_maximin_best_seed,DH_1_MFA,DH,MFA,3,True,4.755360103982531,3,6.493472607403079,0.37364481074925116,False
effective_maximin_best_seed,DH_1_MFA_BA,DH,MFA_BA,3,True,5.856276901051585,3,5.577116507629337,0.49939817960117044,False
effective_maximin_best_seed,DH_2_CONTROL,DH,CONTROL,1,True,,1,6.691091388914987,0.3205460241541799,True
effective_maximin_best_seed,DH_2_MFA,DH,MFA,3,True,4.598120834291009,3,7.252337668386339,0.3723080067615785,True
effective_maximin_best_seed,DH_2_MFA_BA,DH,MFA_BA,3,True,4.647357881471807,3,3.35695193666348,0.4996743134570753,False
effective_maximin_best_seed,DH_3_MFA,DH,MFA,3,True,5.24588950746333,3,5.122275374786695,0.36752153073276267,True
effective_maximin_best_seed,DH_3_MFA_BA,DH,MFA_BA,3,True,5.347644486768724,3,3.2804646495665715,0.5000781108994629,False
effective_maximin_best_seed,DH_4_MFA,DH,MFA,3,True,6.037645236641505,3,8.702857461675597,0.37235794491335844,False
effective_maximin_best_seed,DH_4_MFA_BA,DH,MFA_BA,3,True,5.9580130431464555,3,6.392619283054521,0.5002113692317577,True
effective_maximin_best_seed,DH_5_MFA,DH,MFA,3,True,4.897903635272086,3,7.9593382378110205,0.3668298800692753,True
effective_maximin_best_seed,DH_5_MFA_BA,DH,MFA_BA,3,True,6.033442931675976,3,4.735724021874414,0.5004446299557658,False
effective_maximin_best_seed,DH_6_MFA,DH,MFA,3,True,5.67911797312695,3,7.262314749319427,0.3745669877103734,True
effective_maximin_best_seed,DH_6_MFA_BA,DH,MFA_BA,3,True,5.152053234792529,3,4.235231021192399,0.5000090733756132,False
effective_maximin_best_seed,VH_1_MFA,VH,MFA,2,True,0.7655521258556603,2,5.000064354915664,0.3142716888356191,True
effective_maximin_best_seed,VH_1_MFA_BA,VH,MFA_BA,3,True,5.504660589577369,3,3.2698296313332,0.4965419055210847,True
effective_maximin_best_seed,VH_2_MFA,VH,MFA,3,True,2.6077504645090817,3,6.591387594724903,0.3297374433416586,True
effective_maximin_best_seed,VH_2_MFA_BA,VH,MFA_BA,3,True,5.347644481576171,3,3.501035651890076,0.5051347575153988,False
effective_maximin_best_seed,VH_3_MFA,VH,MFA,3,True,2.4591026724248763,3,7.418056827451669,0.35417110810617275,True
effective_maximin_best_seed,VH_3_MFA_BA,VH,MFA_BA,3,True,5.288817255085004,3,2.9733348378324913,0.4893398976805681,False
effective_maximin_best_seed,VH_4_MFA,VH,MFA,3,True,3.407032564083057,3,6.056880990293041,0.31354913956254715,True
effective_maximin_best_seed,VH_4_MFA_BA,VH,MFA_BA,3,True,5.504660589577369,3,3.516117465361735,0.5503344162878856,False
effective_maximin_best_seed,VH_5_MFA,VH,MFA,3,True,3.9627694252585797,3,4.5446597310073225,0.3046330343312829,True
