region,condition,selection_note,cells,sweeps,median_abs_baseline_delta_mV,median_raw_rmse_mV,median_centered_rmse_mV,median_abs_stim_end_delta_mV
DH,CONTROL,accepted_best,7,42,21.890079738621296,23.110310114952235,2.9201700764133185,5.204613375332247
DH,MFA,accepted_best,3,18,32.8857471083017,33.792314688838275,3.1525747466322613,5.723878531285518
DH,MFA,best_nonaccepted,3,18,20.482612606824006,24.25965399517237,4.889835801919146,9.872597807442443
DH,MFA_BA,accepted_best,6,36,33.53172793279857,34.4398975027964,2.4261041750827226,4.7342827483820145
VH,CONTROL,best_nonaccepted,4,24,30.66570357278282,31.472001874611088,2.571314328616702,4.509716566674673
VH,MFA,accepted_best,6,36,27.891539641126805,28.213909532574924,2.25438585792038,4.112895809690496
VH,MFA,best_nonaccepted,1,6,17.26839448248282,20.628858318735713,4.6404390800474165,9.686376512247143
VH,MFA_BA,accepted_best,7,42,32.892462520778395,35.0250204309064,1.5568102966816806,3.349887409142333
