file_id,candidate_id,region,condition,selection_note,accepted_all6,sweep,current_na,baseline_delta_pred_minus_obs_mV,raw_rmse_mV,centered_rmse_mV,obs_stim_end_centered_mV,pred_stim_end_centered_mV,stim_end_delta_pred_minus_obs_mV
1_DH_1_CONTROL,1_DH_1_CONTROL__cand_09,DH,CONTROL,accepted_best,True,1,50,-26.270183173179547,24.281598501965057,3.391926132721419,6.815408695652209,14.090024382694239,7.274615687042029
1_DH_1_CONTROL,1_DH_1_CONTROL__cand_09,DH,CONTROL,accepted_best,True,2,75,-26.140126651440397,24.625696252479344,2.103672189234394,9.991860869565144,14.090024382694239,4.098163513129094
1_DH_1_CONTROL,1_DH_1_CONTROL__cand_09,DH,CONTROL,accepted_best,True,3,100,-25.755374477527383,25.002560883043156,1.5358408422444902,13.189517391304378,14.090024382694239,0.9005069913898609
1_DH_1_CONTROL,1_DH_1_CONTROL__cand_09,DH,CONTROL,accepted_best,True,4,125,-25.404424477527385,25.281415727621155,2.330454896242916,16.12385869565194,14.090024382694239,-2.0338343129577012
1_DH_1_CONTROL,1_DH_1_CONTROL__cand_09,DH,CONTROL,accepted_best,True,5,150,-24.667996216657812,25.61163746087253,3.5377882761748487,19.56710434782638,14.090024382694239,-5.477079965132141
1_DH_1_CONTROL,1_DH_1_CONTROL__cand_09,DH,CONTROL,accepted_best,True,6,175,-24.47959186883176,26.279522436479127,4.714545969159785,22.135826086956783,14.090024382694239,-8.045801704262544
1_DH_2_CONTROL,1_DH_2_CONTROL__cand_10,DH,CONTROL,accepted_best,True,1,50,-21.648637903485252,19.846225575594318,3.4417461036698347,6.594452173912693,13.736789127942046,7.1423369540293535
1_DH_2_CONTROL,1_DH_2_CONTROL__cand_10,DH,CONTROL,accepted_best,True,2,75,-20.60440746870269,19.762407671066278,1.8765374387564095,10.289747826086256,13.736789127942046,3.4470413018557906
1_DH_2_CONTROL,1_DH_2_CONTROL__cand_10,DH,CONTROL,accepted_best,True,3,100,-20.397437903485255,20.19726438641383,1.4403209150943432,13.386591304347618,13.736789127942046,0.35019782359442786
1_DH_2_CONTROL,1_DH_2_CONTROL__cand_10,DH,CONTROL,accepted_best,True,4,125,-19.752581381745912,20.366689623608657,2.471276441731848,16.476826086956834,13.736789127942046,-2.7400369590147875
1_DH_2_CONTROL,1_DH_2_CONTROL__cand_10,DH,CONTROL,accepted_best,True,5,150,-19.187324860007152,20.620046218255975,3.7257823696558567,19.517960869565457,13.736789127942046,-5.78117174162341
1_DH_2_CONTROL,1_DH_2_CONTROL__cand_10,DH,CONTROL,accepted_best,True,6,175,-18.718937903485255,21.194435830883304,5.126716589959848,22.589630434782556,13.736789127942046,-8.85284130684051
1_VH_1_CONTROL,1_VH_1_CONTROL__cand_02,VH,CONTROL,best_nonaccepted,False,1,50,-31.24095975676805,29.773490566773678,3.6838077260731867,5.3815608695653765,12.13598878368525,6.754427914119873
1_VH_1_CONTROL,1_VH_1_CONTROL__cand_02,VH,CONTROL,best_nonaccepted,False,2,75,-31.50577714807236,30.624295054440264,2.1526009019875803,8.359800000000163,12.13598878368525,3.776188783685086
1_VH_1_CONTROL,1_VH_1_CONTROL__cand_02,VH,CONTROL,best_nonaccepted,False,3,100,-31.720068452420257,31.436159823862766,0.8645130464771367,11.120213043477989,12.13598878368525,1.0157757402072605
