run,cells_with_accepted_candidates,cells_with_accepted_effective_clusters_ge3,cells_with_effective_diverse_candidates,effective_diverse_candidates,median_accepted_effective_cluster_count,median_effective_diverse_cluster_count,median_effective_diverse_min_distance
previous_hybrid_tpe_targeted_merge,35,27,35,97,59.0,3.0,3.9627694252585797
random_acceptance_160_archive_full_heldout,33,33,33,158,136.0,5.0,4.503975333417233
