time_points,elapsed_seconds,n_candidates,n_perturbation_rows,n_predictive_supported_groups,n_prediction_limited_groups,mean_biological_description_score,mean_perturbation_robust_fraction,mean_ppc_coverage
50,49.359637188994384,30,1620,5,5,0.6573364494479755,0.5541666666666668,0.32499656602294624
80,55.11954569399677,30,1620,5,5,0.6531582035077406,0.5232142857142856,0.3319148050166569
120,60.88955484800681,30,1620,4,6,0.6503515517832646,0.515922619047619,0.33047937487752305
