db_name,condition,current_na,parameter_space,mode_index,parameter,base_value,loading,abs_loading,mode_class,coordinate_type,claim_guardrail
CONTROL_75nA.db,CONTROL,75,effective,4,gamma_t_eff,8.311215695332037e-06,-0.6525706873461483,0.6525706873461483,stiff,effective,limited identifiability/sloppiness under Vm-only observation; not biological degeneracy
CONTROL_75nA.db,CONTROL,75,effective,4,gamma_s_eff,6.86542049542796e-05,2.42861286636753e-16,2.42861286636753e-16,stiff,effective,limited identifiability/sloppiness under Vm-only observation; not biological degeneracy
CONTROL_75nA.db,CONTROL,75,effective,4,volume_ratio_wa_wo,1.5270157179498545,0.02717948918448057,0.02717948918448057,stiff,effective,limited identifiability/sloppiness under Vm-only observation; not biological degeneracy
CONTROL_75nA.db,CONTROL,75,effective,4,gki,77.53472186282886,0.026364813837556088,0.026364813837556088,stiff,raw,limited identifiability/sloppiness under Vm-only observation; not biological degeneracy
CONTROL_75nA.db,CONTROL,75,effective,4,gl_a,7.156359793447492,-0.5254142299606748,0.5254142299606748,stiff,raw,limited identifiability/sloppiness under Vm-only observation; not biological degeneracy
CONTROL_75nA.db,CONTROL,75,effective,4,ca,872.0114735232637,-0.035020509024295765,0.035020509024295765,stiff,raw,limited identifiability/sloppiness under Vm-only observation; not biological degeneracy
CONTROL_75nA.db,CONTROL,75,effective,4,eps,0.002367184084906759,0.5010005876248403,0.5010005876248403,stiff,raw,limited identifiability/sloppiness under Vm-only observation; not biological degeneracy
CONTROL_75nA.db,CONTROL,75,effective,4,K_bath_value_middle,8.755954593865454,-0.17432238833785962,0.17432238833785962,stiff,raw,limited identifiability/sloppiness under Vm-only observation; not biological degeneracy
CONTROL_75nA.db,CONTROL,75,effective,5,P_gap_eff,7.688694890666813e-06,-0.27696709877126213,0.27696709877126213,sloppy,effective,limited identifiability/sloppiness under Vm-only observation; not biological degeneracy
CONTROL_75nA.db,CONTROL,75,effective,5,gamma_t_eff,8.311215695332037e-06,0.1459026167045959,0.1459026167045959,sloppy,effective,limited identifiability/sloppiness under Vm-only observation; not biological degeneracy
CONTROL_75nA.db,CONTROL,75,effective,5,gamma_s_eff,6.86542049542796e-05,-8.243405957841787e-15,8.243405957841787e-15,sloppy,effective,limited identifiability/sloppiness under Vm-only observation; not biological degeneracy
CONTROL_75nA.db,CONTROL,75,effective,5,volume_ratio_wa_wo,1.5270157179498545,-0.8477116642871384,0.8477116642871384,sloppy,effective,limited identifiability/sloppiness under Vm-only observation; not biological degeneracy
CONTROL_75nA.db,CONTROL,75,effective,5,gki,77.53472186282886,0.40121868508628616,0.40121868508628616,sloppy,raw,limited identifiability/sloppiness under Vm-only observation; not biological degeneracy
CONTROL_75nA.db,CONTROL,75,effective,5,gl_a,7.156359793447492,-0.01782030793203325,0.01782030793203325,sloppy,raw,limited identifiability/sloppiness under Vm-only observation; not biological degeneracy
CONTROL_75nA.db,CONTROL,75,effective,5,ca,872.0114735232637,0.03969162286571252,0.03969162286571252,sloppy,raw,limited identifiability/sloppiness under Vm-only observation; not biological degeneracy
CONTROL_75nA.db,CONTROL,75,effective,5,eps,0.002367184084906759,0.09674140775343985,0.09674140775343985,sloppy,raw,limited identifiability/sloppiness under Vm-only observation; not biological degeneracy
CONTROL_75nA.db,CONTROL,75,effective,5,K_bath_value_middle,8.755954593865454,-0.10563269063845244,0.10563269063845244,sloppy,raw,limited identifiability/sloppiness under Vm-only observation; not biological degeneracy
CONTROL_75nA.db,CONTROL,75,effective,6,P_gap_eff,7.688694890666813e-06,-0.23522271709371964,0.23522271709371964,sloppy,effective,limited identifiability/sloppiness under Vm-only observation; not biological degeneracy
CONTROL_75nA.db,CONTROL,75,effective,6,gamma_t_eff,8.311215695332037e-06,0.24599756481010018,0.24599756481010018,sloppy,effective,limited identifiability/sloppiness under Vm-only observation; not biological degeneracy
CONTROL_75nA.db,CONTROL,75,effective,6,gamma_s_eff,6.86542049542796e-05,-5.2208237732997986e-14,5.2208237732997986e-14,sloppy,effective,limited identifiability/sloppiness under Vm-only observation; not biological degeneracy
CONTROL_75nA.db,CONTROL,75,effective,6,volume_ratio_wa_wo,1.5270157179498545,0.4719936274029342,0.4719936274029342,sloppy,effective,limited identifiability/sloppiness under Vm-only observation; not biological degeneracy
CONTROL_75nA.db,CONTROL,75,effective,6,gki,77.53472186282886,0.7563769978131891,0.7563769978131891,sloppy,raw,limited identifiability/sloppiness under Vm-only observation; not biological degeneracy
CONTROL_75nA.db,CONTROL,75,effective,6,gl_a,7.156359793447492,-0.28307838802977564,0.28307838802977564,sloppy,raw,limited identifiability/sloppiness under Vm-only observation; not biological degeneracy
CONTROL_75nA.db,CONTROL,75,effective,6,ca,872.0114735232637,0.007870412252060423,0.007870412252060423,sloppy,raw,limited identifiability/sloppiness under Vm-only observation; not biological degeneracy
CONTROL_75nA.db,CONTROL,75,effective,6,eps,0.002367184084906759,-0.09512401561169247,0.09512401561169247,sloppy,raw,limited identifiability/sloppiness under Vm-only observation; not biological degeneracy
CONTROL_75nA.db,CONTROL,75,effective,6,K_bath_value_middle,8.755954593865454,0.005237254627051257,0.005237254627051257,sloppy,raw,limited identifiability/sloppiness under Vm-only observation; not biological degeneracy
CONTROL_75nA.db,CONTROL,75,effective,7,P_gap_eff,7.688694890666813e-06,-0.2164556757865937,0.2164556757865937,sloppy,effective,limited identifiability/sloppiness under Vm-only observation; not biological degeneracy
CONTROL_75nA.db,CONTROL,75,effective,7,gamma_t_eff,8.311215695332037e-06,0.21359956871011654,0.21359956871011654,sloppy,effective,limited identifiability/sloppiness under Vm-only observation; not biological degeneracy
CONTROL_75nA.db,CONTROL,75,effective,7,gamma_s_eff,6.86542049542796e-05,-1.0791367799356522e-13,1.0791367799356522e-13,sloppy,effective,limited identifiability/sloppiness under Vm-only observation; not biological degeneracy
CONTROL_75nA.db,CONTROL,75,effective,7,volume_ratio_wa_wo,1.5270157179498545,0.04600066877975519,0.04600066877975519,sloppy,effective,limited identifiability/sloppiness under Vm-only observation; not biological degeneracy
CONTROL_75nA.db,CONTROL,75,effective,7,gki,77.53472186282886,-0.2457917331929643,0.2457917331929643,sloppy,raw,limited identifiability/sloppiness under Vm-only observation; not biological degeneracy
CONTROL_75nA.db,CONTROL,75,effective,7,gl_a,7.156359793447492,-0.21471253073291588,0.21471253073291588,sloppy,raw,limited identifiability/sloppiness under Vm-only observation; not biological degeneracy
CONTROL_75nA.db,CONTROL,75,effective,7,ca,872.0114735232637,0.89073267929169,0.89073267929169,sloppy,raw,limited identifiability/sloppiness under Vm-only observation; not biological degeneracy
CONTROL_75nA.db,CONTROL,75,effective,7,eps,0.002367184084906759,0.07405619083409454,0.07405619083409454,sloppy,raw,limited identifiability/sloppiness under Vm-only observation; not biological degeneracy
CONTROL_75nA.db,CONTROL,75,effective,7,K_bath_value_middle,8.755954593865454,-0.0014250683117841537,0.0014250683117841537,sloppy,raw,limited identifiability/sloppiness under Vm-only observation; not biological degeneracy
CONTROL_75nA.db,CONTROL,75,effective,8,P_gap_eff,7.688694890666813e-06,-0.447253736829854,0.447253736829854,sloppy,effective,limited identifiability/sloppiness under Vm-only observation; not biological degeneracy
CONTROL_75nA.db,CONTROL,75,effective,8,gamma_t_eff,8.311215695332037e-06,0.44723697113725863,0.44723697113725863,sloppy,effective,limited identifiability/sloppiness under Vm-only observation; not biological degeneracy
CONTROL_75nA.db,CONTROL,75,effective,8,gamma_s_eff,6.86542049542796e-05,-1.0540916240420195e-06,1.0540916240420195e-06,sloppy,effective,limited identifiability/sloppiness under Vm-only observation; not biological degeneracy
