fim_log_step,elapsed_seconds,n_modes,finite_eigenvalues,condition_number_estimate,near_zero_mode_count,n_stiff_modes
0.02,2.7240070260013454,9,True,8852827553344.326,2,4
0.05,1.5449305639922386,9,True,8852739266574.018,2,4
