file_id,region,condition,n_sweeps
1_VH_1_CONTROL,VH,CONTROL,6
1_VH_2_CONTROL,VH,CONTROL,6
2_VH_1_CONTROL,VH,CONTROL,6
3_VH_1_CONTROL,VH,CONTROL,6
VH_1_MFA,VH,MFA,6
VH_2_MFA,VH,MFA,6
VH_3_MFA,VH,MFA,6
VH_4_MFA,VH,MFA,6
VH_5_MFA,VH,MFA,6
VH_6_MFA,VH,MFA,6
VH_7_OG_MFA,VH,MFA,6
