file_id,region,condition,candidate_id,fit_scope,seed_source,provenance_status,start_label,optimizer_backend,optimization_config_hash,optimizer_status,optimizer_success,optimizer_cost,optimizer_nfev,gki,eps,gl_a,zth,zs,P_gap_eff,gamma_t_eff,gamma_s_eff,volume_ratio_wa_wo,n_sweeps_scored,n_failures,mean_trace_rmse_mV,mean_trace_objective_loss,mean_weighted_pass_fraction,mean_feature_loss,mean_binary_penalty,objective_trace,objective_feature,objective_binary,objective_prior,objective_hidden,objective_fail,scalar_objective,accepted_by_trace,accepted_by_feature_contract,eligible_by_contract,hybrid_stage,optuna_trial_number,optuna_objective_names,optuna_objective_values,pareto_front,hybrid_parent_trial_number,ensemble_rank,accepted_all6,holdout_mean_rmse_mV,holdout_mean_pass_fraction
1_VH_2_CONTROL,VH,CONTROL,1_VH_2_CONTROL__hybrid_optuna_001,all6,hybrid_optuna,generic_seed,trial_167,hybrid,1710e98be83bf964,1,True,1.0247789139322245,1,364.0900710417395,1.5602812040738922e-05,0.00012619340516240832,130.73291898955793,0.028907325999896805,2.7757703582482913e-05,2.012156407388498e-06,0.0015949381072225058,0.6622349187698574,6,0,7.106551484734529,3044.8058432628327,0.37002950188636036,0.6299704981136398,0.0,3044.8058432628327,0.6299704981136398,0.0,1902.7221689440573,0.0,0.0,3045.4358137609465,True,True,True,optuna_seeded,167.0,"[""scalar""]",[1.0247789139322245],False,,1,True,7.014399354905211,0.28571428571428575
1_VH_2_CONTROL,VH,CONTROL,1_VH_2_CONTROL__hybrid_post_002,all6,hybrid_scipy_post,generic_seed,post_trial_84,hybrid,1710e98be83bf964,3,True,1742646.1424766546,12,438.2471171427237,1.2474010837607283e-05,2.534488839422378e-05,109.78120019429362,0.00416058041800321,2.0756665806422087e-06,5.648964672283126e-06,0.0013663268128452945,1.2872786804162988,6,0,6.875989150065476,2892.2123411026555,0.3685098256672697,0.6314901743327305,0.0,2892.2123411026555,0.6314901743327305,0.0,0.10538108128520682,0.0,0.0,2892.843831276988,True,True,True,scipy_post,,,,,84.0,2,True,6.875989150065476,0.3685098256672697
1_VH_2_CONTROL,VH,CONTROL,1_VH_2_CONTROL__hybrid_optuna_002,all6,hybrid_optuna,generic_seed,trial_84,hybrid,1710e98be83bf964,1,True,1.0386382421930804,1,465.1394396985535,1.3245741639513493e-05,2.775233117002261e-05,110.73281908446083,0.0040695538573754485,2.428889058492891e-06,5.419739584775742e-06,0.0013623132320298597,1.3179978430534545,6,0,6.896416856890146,2905.3615806179673,0.3444960276341498,0.6555039723658503,0.0,2905.3615806179673,0.6555039723658503,0.0,1370.4509936143259,0.0,0.0,2906.017084590333,True,True,True,optuna_seeded,84.0,"[""scalar""]",[1.0386382421930804],False,,3,True,6.896416856890146,0.3444960276341498
VH_1_MFA,VH,MFA,VH_1_MFA__hybrid_optuna_286,all6,hybrid_optuna,generic_seed,trial_197,hybrid,1710e98be83bf964,1,True,1.4813641025881759,1,24.760680326072244,2.2996861779051523e-05,0.0009517039584512155,82.3403261936782,6.305982520475504,6.943058517117419e-06,1.3815802088953085e-08,3.680689176139829e-05,1.455718336558958,6,0,5.402458464176738,1989.124368615541,0.3187724787549762,0.6812275212450238,0.5,1989.124368615541,0.6812275212450238,0.5,765.1427308370334,0.0,0.0,1990.305596136786,True,True,True,optuna_seeded,197.0,"[""scalar""]",[1.4813641025881759],False,,1,True,5.324644203277079,0.3276902138441131
VH_1_MFA,VH,MFA,VH_1_MFA__hybrid_optuna_282,all6,hybrid_optuna,generic_seed,trial_108,hybrid,1710e98be83bf964,1,True,1.4456552258423263,1,1.5340169941690653,6.268662217432259e-05,0.00032238133866726855,104.93054534433927,16.069120417624195,2.2776097086771614e-06,5.275676232498297e-08,4.2597077450831365e-05,1.8135005865628981,6,0,4.59767024565459,1616.608899859831,0.309770898916262,0.6902291010837379,0.5,1616.608899859831,0.6902291010837379,0.5,1234.4696089030376,0.0,0.0,1617.7991289609147,True,True,True,optuna_seeded,108.0,"[""scalar""]",[1.4456552258423263],False,,2,True,4.59767024565459,0.309770898916262
VH_2_MFA,VH,MFA,VH_2_MFA__hybrid_optuna_247,all6,hybrid_optuna,generic_seed,trial_69,hybrid,1710e98be83bf964,1,True,1.5451023011679892,1,24.057843381115553,7.975270775105041e-05,0.0004535793456268034,28.149919853062855,8.984591085301403,1.4942058091019048e-08,7.131342184668549e-05,7.289842046909734e-06,0.8478705307374524,6,0,5.6072346612343305,2305.4417411936106,0.3497440689005848,0.6502559310994154,0.5833333333333334,2305.4417411936106,0.6502559310994154,0.5833333333333334,104.66455105792008,0.0,0.0,2306.6753304580434,True,True,True,optuna_seeded,69.0,"[""scalar""]",[1.5451023011679892],False,,1,True,5.12257282590481,0.3321493553625046
VH_2_MFA,VH,MFA,VH_2_MFA__hybrid_optuna_224,all6,hybrid_optuna,generic_seed,trial_106,hybrid,1710e98be83bf964,1,True,1.1827992667567602,1,9.116568587785833,1.3841727181348475e-05,2.9306586504060796e-05,91.89985713957373,0.055180704048867706,5.543389284811165e-08,0.00033806273868052124,0.03439357017180212,7.069309720441503,6,0,7.7903868016216835,3423.3348026422477,0.33333333333333326,0.6666666666666666,0.08333333333333333,3423.3348026422477,0.6666666666666666,0.08333333333333333,952.2114881955345,0.0,0.0,3424.0848026422477,True,True,True,optuna_seeded,106.0,"[""scalar""]",[1.1827992667567602],False,,2,True,7.7903868016216835,0.33333333333333326
VH_2_MFA,VH,MFA,VH_2_MFA__hybrid_optuna_260,all6,hybrid_optuna,generic_seed,trial_275,hybrid,1710e98be83bf964,1,True,1.631450701171092,1,434.1213855442765,0.002968957864849911,0.0002722874887223962,124.78007060265904,2.487512299313697,2.1871652538905652e-05,0.00030842407708292236,0.022376593626263538,4.942580610840768,6,0,6.376541321318695,2538.232218104036,0.30613492779105783,0.6938650722089422,0.5833333333333334,2538.232218104036,0.6938650722089422,0.5833333333333334,1731.6679903513727,0.0,0.0,2539.5094165095784,True,True,True,optuna_seeded,275.0,"[""scalar""]",[1.631450701171092],False,,3,True,6.376541321318695,0.30613492779105783
VH_3_MFA,VH,MFA,VH_3_MFA__hybrid_optuna_210,all6,hybrid_optuna,generic_seed,trial_28,hybrid,1710e98be83bf964,1,True,1.5520186872615396,1,242.72121833545896,5.681308424667899e-05,0.0017234144402656034,139.43670950649346,0.7877474603635856,8.771333188344918e-07,3.453947550058565e-08,0.026722019360003776,1.5082606471195095,6,0,7.389195056913349,3389.401329801756,0.35849214923364664,0.6415078507663532,0.5,3389.401329801756,0.6415078507663532,0.5,2166.6664993559402,0.0,0.0,3390.5428376525224,True,True,True,optuna_seeded,28.0,"[""scalar""]",[1.5520186872615396],False,,1,True,6.9702218706698025,0.346833542689512
VH_3_MFA,VH,MFA,VH_3_MFA__hybrid_optuna_215,all6,hybrid_optuna,generic_seed,trial_25,hybrid,1710e98be83bf964,1,True,1.5955036284764323,1,269.5531676616278,3.878486071388191e-05,0.05630230261327334,126.92487956489235,9.2500591426147,1.2909968963860518e-06,2.534560222202759e-07,0.00016773399007067848,0.33923573185805694,6,0,8.081875166104036,3859.4402036120227,0.3534894363071253,0.6465105636928746,0.5,3859.4402036120227,0.6465105636928746,0.5,1795.9068033347178,0.0,0.0,3860.5867141757158,True,True,True,optuna_seeded,25.0,"[""scalar""]",[1.5955036284764323],False,,2,True,8.081875166104036,0.3534894363071253
