file_id,region,condition,fit_scope,heldout_sweep,train_sweeps,candidate_id,optimizer_status,optimizer_success,optimizer_cost,optimizer_nfev,heldout_trace_rmse_mV,heldout_weighted_pass_fraction,simulation_health,heldout_pass
VH_1_MFA,VH,MFA,leave_one_out,3,"1,2,4,5,6",VH_1_MFA__hybrid_optuna_286,3,True,87410.53324537716,16,4.772440207747944,0.3877589318715942,ok,True
VH_1_MFA,VH,MFA,leave_one_out,4,"1,2,3,5,6",VH_1_MFA__hybrid_optuna_286,3,True,109348.1820260451,15,5.958044773891867,0.36909011394252994,ok,True
VH_1_MFA,VH,MFA,leave_one_out,5,"1,2,3,4,6",VH_1_MFA__hybrid_optuna_286,3,True,133594.47804435028,14,7.1370323255150465,0.3393964118936209,ok,True
VH_1_MFA,VH,MFA,leave_one_out,6,"1,2,3,4,5",VH_1_MFA__hybrid_optuna_286,3,True,136154.24206042828,14,8.15984416278924,0.3037775814752641,ok,True
VH_2_MFA,VH,MFA,leave_one_out,1,"2,3,4,5,6",VH_2_MFA__hybrid_optuna_247,3,True,48745.9239987836,15,2.4441545340773922,0.26179688656096417,ok,False
VH_2_MFA,VH,MFA,leave_one_out,2,"1,3,4,5,6",VH_2_MFA__hybrid_optuna_247,3,True,46737.026491898425,14,3.469761241465898,0.3239884890551145,ok,True
VH_2_MFA,VH,MFA,leave_one_out,3,"1,2,4,5,6",VH_2_MFA__hybrid_optuna_247,3,True,48658.3236395432,15,4.535327953236124,0.3702979014503135,ok,True
VH_2_MFA,VH,MFA,leave_one_out,4,"1,2,3,5,6",VH_2_MFA__hybrid_optuna_247,3,True,53548.82822616799,15,6.393981883861222,0.3920227174178201,ok,True
VH_2_MFA,VH,MFA,leave_one_out,5,"1,2,3,4,6",VH_2_MFA__hybrid_optuna_247,3,True,49062.13247183882,16,6.5852923598943365,0.3447388296053354,ok,True
VH_2_MFA,VH,MFA,leave_one_out,6,"1,2,3,4,5",VH_2_MFA__hybrid_optuna_247,3,True,50691.994073294096,13,7.306918982893889,0.30005130808548,ok,True
VH_3_MFA,VH,MFA,leave_one_out,1,"2,3,4,5,6",VH_3_MFA__hybrid_optuna_210,3,True,57323.78602357118,9,3.156452619915893,0.26179688656096417,ok,False
VH_3_MFA,VH,MFA,leave_one_out,2,"1,3,4,5,6",VH_3_MFA__hybrid_optuna_210,3,True,42869.77233644073,16,4.220751709073458,0.3140332752596143,ok,True
VH_3_MFA,VH,MFA,leave_one_out,3,"1,2,4,5,6",VH_3_MFA__hybrid_optuna_210,3,True,59294.836191987626,9,7.05020847337775,0.401785513804665,ok,True
VH_3_MFA,VH,MFA,leave_one_out,4,"1,2,3,5,6",VH_3_MFA__hybrid_optuna_210,3,True,59569.4121309453,9,8.055814685114916,0.40316623972019183,ok,True
VH_3_MFA,VH,MFA,leave_one_out,5,"1,2,3,4,6",VH_3_MFA__hybrid_optuna_210,3,True,46318.0012411103,14,8.143824027490227,0.3549999497042514,ok,True
VH_3_MFA,VH,MFA,leave_one_out,6,"1,2,3,4,5",VH_3_MFA__hybrid_optuna_210,3,True,61290.31233597186,9,11.194279709046569,0.3452193910873853,ok,True
VH_4_MFA,VH,MFA,leave_one_out,1,"2,3,4,5,6",VH_4_MFA__hybrid_optuna_279,3,True,79934.91559645595,12,2.788209245559969,0.2862999931872678,ok,False
VH_4_MFA,VH,MFA,leave_one_out,2,"1,3,4,5,6",VH_4_MFA__hybrid_optuna_279,3,True,82389.44248153217,13,3.5407485502915463,0.33275254048407815,ok,True
VH_4_MFA,VH,MFA,leave_one_out,3,"1,2,4,5,6",VH_4_MFA__hybrid_optuna_279,3,True,89494.33385983125,12,4.599222823421824,0.3605218960120103,ok,True
VH_4_MFA,VH,MFA,leave_one_out,4,"1,2,3,5,6",VH_4_MFA__hybrid_optuna_279,3,True,87337.38115385454,12,5.459962218511497,0.34416436175955106,ok,True
VH_4_MFA,VH,MFA,leave_one_out,5,"1,2,3,4,6",VH_4_MFA__hybrid_optuna_279,3,True,92536.43729715754,12,6.389702425007926,0.3175818361258495,ok,True
VH_4_MFA,VH,MFA,leave_one_out,6,"1,2,3,4,5",VH_4_MFA__hybrid_optuna_279,3,True,90429.29127889496,12,7.506210982826993,0.2857142857142857,ok,False
VH_5_MFA,VH,MFA,leave_one_out,1,"2,3,4,5,6",VH_5_MFA__hybrid_optuna_289,3,True,39219.33837006807,15,1.7132278078149978,0.2857142857142857,ok,False
VH_5_MFA,VH,MFA,leave_one_out,2,"1,3,4,5,6",VH_5_MFA__hybrid_optuna_289,3,True,39365.13210468576,15,2.7622124659667615,0.2857142857142857,ok,False
VH_5_MFA,VH,MFA,leave_one_out,3,"1,2,4,5,6",VH_5_MFA__hybrid_optuna_289,3,True,41245.77990454215,11,3.9238708975515877,0.339847749313078,ok,True
VH_5_MFA,VH,MFA,leave_one_out,4,"1,2,3,5,6",VH_5_MFA__hybrid_optuna_289,3,True,41616.313533570545,15,4.846767896038206,0.33657707287201977,ok,True
VH_5_MFA,VH,MFA,leave_one_out,5,"1,2,3,4,6",VH_5_MFA__hybrid_optuna_289,3,True,42023.81308993552,15,5.784528161153962,0.3168584079122703,ok,True
VH_5_MFA,VH,MFA,leave_one_out,6,"1,2,3,4,5",VH_5_MFA__hybrid_optuna_289,3,True,43033.30786644272,15,6.3648209625300245,0.2857142857142857,ok,False
VH_6_MFA,VH,MFA,leave_one_out,1,"2,3,4,5,6",VH_6_MFA__hybrid_optuna_282,3,True,81754.4550203208,12,1.6406874181385525,0.26179688656096417,ok,False
VH_6_MFA,VH,MFA,leave_one_out,2,"1,3,4,5,6",VH_6_MFA__hybrid_optuna_282,3,True,87022.59880135063,12,2.4730954071604017,0.2857142857142857,ok,False
VH_6_MFA,VH,MFA,leave_one_out,3,"1,2,4,5,6",VH_6_MFA__hybrid_optuna_282,3,True,97893.02543319548,12,3.143017867359057,0.32882150215659056,ok,True
VH_6_MFA,VH,MFA,leave_one_out,4,"1,2,3,5,6",VH_6_MFA__hybrid_optuna_282,3,True,78527.3295312811,12,3.532994277566889,0.31876353143394065,ok,True
VH_6_MFA,VH,MFA,leave_one_out,5,"1,2,3,4,6",VH_6_MFA__hybrid_optuna_282,3,True,104419.41262595664,12,4.220530137802793,0.29981405536145483,ok,False
VH_6_MFA,VH,MFA,leave_one_out,6,"1,2,3,4,5",VH_6_MFA__hybrid_optuna_282,3,True,100884.26677845712,13,4.782886238806222,0.2857142857142857,ok,False
VH_7_OG_MFA,VH,MFA,leave_one_out,1,"2,3,4,5,6",VH_7_OG_MFA__hybrid_optuna_287,3,True,66032331.48588616,9,4.121655030342261,0.39439420371711364,ok,True
VH_7_OG_MFA,VH,MFA,leave_one_out,2,"1,3,4,5,6",VH_7_OG_MFA__hybrid_optuna_287,3,True,21273743.44919346,10,4.822707123212571,0.42857142857142855,ok,True
VH_7_OG_MFA,VH,MFA,leave_one_out,3,"1,2,4,5,6",VH_7_OG_MFA__hybrid_optuna_287,3,True,93374812.20885052,9,5.9050019542385455,0.42857142857142855,ok,True
VH_7_OG_MFA,VH,MFA,leave_one_out,4,"1,2,3,5,6",VH_7_OG_MFA__hybrid_optuna_287,3,True,86601186.6350002,9,6.713517339417171,0.40371672738629744,ok,True
VH_7_OG_MFA,VH,MFA,leave_one_out,5,"1,2,3,4,6",VH_7_OG_MFA__hybrid_optuna_287,3,True,85993153.48924078,9,8.007447170521072,0.3667266508420373,ok,True
VH_7_OG_MFA,VH,MFA,leave_one_out,6,"1,2,3,4,5",VH_7_OG_MFA__hybrid_optuna_287,3,True,88910294.21668199,9,9.210492183728043,0.32204228928286466,ok,True
