file_id,region,condition,candidate_id,sweep,current_na,split_strategy,heldout_trace_rmse_mV,heldout_weighted_feature_pass_fraction,holdout_status,prediction_status,prediction_pass,mechanism_cluster,mechanism_label_status
1_DH_1_CONTROL,DH,CONTROL,1_DH_1_CONTROL__cand_07,1,50,leave_one_current_out,2.59507226675659,0.6602636022124663,passed,predictive_pass,True,M2,step05_label_available
1_DH_1_CONTROL,DH,CONTROL,1_DH_1_CONTROL__cand_07,2,75,leave_one_current_out,2.59507226675659,0.6602636022124663,passed,predictive_pass,True,M2,step05_label_available
1_DH_1_CONTROL,DH,CONTROL,1_DH_1_CONTROL__cand_07,3,100,leave_one_current_out,2.59507226675659,0.6602636022124663,passed,predictive_pass,True,M2,step05_label_available
1_DH_1_CONTROL,DH,CONTROL,1_DH_1_CONTROL__cand_07,4,125,leave_one_current_out,2.59507226675659,0.6602636022124663,passed,predictive_pass,True,M2,step05_label_available
1_DH_1_CONTROL,DH,CONTROL,1_DH_1_CONTROL__cand_07,5,150,leave_one_current_out,2.59507226675659,0.6602636022124663,passed,predictive_pass,True,M2,step05_label_available
1_DH_1_CONTROL,DH,CONTROL,1_DH_1_CONTROL__cand_07,6,175,leave_one_current_out,2.59507226675659,0.6602636022124663,passed,predictive_pass,True,M2,step05_label_available
1_DH_1_CONTROL,DH,CONTROL,1_DH_1_CONTROL__cand_07,-1,162,low_to_high,2.59507226675659,0.6602636022124663,stress_test_screen,predictive_pass,True,M2,step05_label_available
1_DH_1_CONTROL,DH,CONTROL,1_DH_1_CONTROL__cand_07,-1,62,high_to_low,2.59507226675659,0.6602636022124663,stress_test_screen,predictive_pass,True,M2,step05_label_available
