file_id,region,condition,candidate_id,mechanism_cluster,dominant_mechanism,buffering_phenotype,current_na,sweep,perturbation,perturbation_factor,I_Kir_integral,I_kgap_integral,I_leak_integral,I_k_a_integral,I_Kir_peak_abs,I_kgap_peak_abs,gap_to_kir_integral_ratio,gap_kir_classification,gap_fraction,kir_fraction,leak_fraction,K_o_baseline,K_o_peak,K_o_final,K_o_delta_peak,K_o_recovery_error,K_o_peak_ratio_to_nominal,Vm_feature_pass_fraction,n_Vm_features_scored,Vm_feature_threshold_fallback,hidden_flux_plausible,active_stim_window_start_s,active_stim_window_end_s,robust_under_perturbation,functional_buffering_pass,perturbation_status,simulation_status,failure_reason
1_DH_1_CONTROL,DH,CONTROL,1_DH_1_CONTROL__cand_45,unlabeled,Mixed,unlabeled,50,1,nominal,1.0,500.1303677821455,525.046666342229,24.884523884024837,0.0,26.32409247595018,27.62340399334508,1.0498196073767248,mixed,0.5000151299111066,0.47628671287683205,0.02369815721206107,4.794312107308966,6.375622580376022,4.793855856133973,1.581310473067056,0.0004562511749925946,1.0,0.4444444444444444,9,region_specific,True,11.173,31.173,True,True,evaluated,ok,
1_DH_1_CONTROL,DH,CONTROL,1_DH_1_CONTROL__cand_45,unlabeled,Mixed,unlabeled,50,1,eps_scale_low,0.5,493.63783941070153,518.5506822105957,24.884066950017694,0.0,25.979007259295376,27.278263390112425,1.0504678547933741,mixed,0.5000138735948638,0.47599159870838315,0.02399452769675295,4.7887370664825735,6.351871837245923,4.78784411757611,1.5631347707633498,0.0008929489064630758,0.9962747570404806,0.4444444444444444,9,region_specific,True,11.173,31.173,True,True,evaluated,ok,
1_DH_1_CONTROL,DH,CONTROL,1_DH_1_CONTROL__cand_45,unlabeled,Mixed,unlabeled,50,1,eps_scale_high,2.0,503.44284585316115,528.3606763691929,24.884765005491527,0.0,26.5003960060108,27.799732865400987,1.0494948547214027,mixed,0.5000156458205035,0.4764345852398074,0.023549768939689037,4.797141712163199,6.387731262058172,4.796911082413448,1.5905895498949727,0.00023062974975118777,1.0018992155714206,0.4444444444444444,9,region_specific,True,11.173,31.173,True,True,evaluated,ok,
1_DH_1_CONTROL,DH,CONTROL,1_DH_1_CONTROL__cand_45,unlabeled,Mixed,unlabeled,50,1,stimulus_duration_short,0.75,365.50110725911804,383.7574623086567,18.234515032127582,0.0,26.177067437360197,27.475095753284982,1.0499488365067962,mixed,0.5000142281525719,0.476227232001257,0.023758539846171146,4.794312107308966,6.375622580376022,4.79391710681805,1.581310473067056,0.00039500049091589773,1.0,0.4444444444444444,9,region_specific,True,11.173,26.173,True,True,evaluated,ok,
1_DH_1_CONTROL,DH,CONTROL,1_DH_1_CONTROL__cand_45,unlabeled,Mixed,unlabeled,50,1,stimulus_duration_long,1.25,635.4477671047267,667.0300016002644,31.542225981157813,0.0,26.446120281999402,27.746492128818126,1.0497007561131815,mixed,0.500014995470285,0.4763405118633373,0.02364449266637766,4.794312107308966,6.375622580376022,4.793803692973476,1.581310473067056,0.0005084143354894266,1.0,0.4444444444444444,9,region_specific,True,11.173,36.173,True,True,evaluated,ok,
1_DH_1_CONTROL,DH,CONTROL,1_DH_1_CONTROL__cand_45,unlabeled,Mixed,unlabeled,50,1,baseline_K_o_low,0.9,500.1273679077293,525.0436317261345,24.884490232860127,0.0,26.3239834807439,27.623294161360363,1.0498198367400724,mixed,0.500015129479276,0.47628660840695847,0.023698262113765568,4.794303858172475,6.375622775443587,4.793855908848101,1.581318917271112,0.000447949324373198,1.0000000305958456,0.4444444444444444,9,region_specific,True,11.173,31.173,True,True,evaluated,ok,
1_DH_1_CONTROL,DH,CONTROL,1_DH_1_CONTROL__cand_45,unlabeled,Mixed,unlabeled,50,1,baseline_K_o_high,1.1,500.1335248861712,525.0499763028624,24.884559296956283,0.0,26.32420729359534,27.623519964775603,1.0498195985209393,mixed,0.5000151857393511,0.4762867700734566,0.023698044187192277,4.794311985856726,6.375622374737079,4.793855799170686,1.581310388880353,0.0004561866860397501,0.9999999677460608,0.4444444444444444,9,region_specific,True,11.173,31.173,True,True,evaluated,ok,
1_DH_1_CONTROL,DH,CONTROL,1_DH_1_CONTROL__cand_45,unlabeled,Mixed,unlabeled,50,1,current_scale_low,0.75,116.87881570521995,141.81641040334765,24.925211213039713,0.0,6.137362506398694,7.435074928557557,1.2133628283933233,mixed,0.5000218310873592,0.4120958870558645,0.08788228185677655,4.794312107308966,4.8,4.794115544856324,0.00568789269103398,0.00019656245264165761,0.7528676516665617,0.4444444444444444,9,region_specific,True,11.173,31.173,True,True,evaluated,ok,
1_DH_1_CONTROL,DH,CONTROL,1_DH_1_CONTROL__cand_45,unlabeled,Mixed,unlabeled,50,1,current_scale_high,1.25,949.1200857019825,974.0806893454727,24.89853976818246,0.0,49.88979916578762,51.19096320261841,1.026298678133051,mixed,0.5000159293406747,0.4872031310127556,0.012780939646569704,4.794312107308966,7.953872384697338,4.79368943447642,3.1595602773883718,0.0006226728325460229,1.2475444216505416,0.4444444444444444,9,region_specific,True,11.173,31.173,True,True,evaluated,ok,
1_DH_1_CONTROL,DH,CONTROL,1_DH_1_CONTROL__cand_45,unlabeled,Mixed,unlabeled,75,2,nominal,1.0,727.6626780552408,752.6033892186196,24.89209608838105,0.0,38.281452491508695,39.582007807349136,1.0342751001467267,mixed,0.5000161494905256,0.48344598977543907,0.016537860734035265,4.794312107308966,7.194589762754616,4.793757839467315,2.4002776554456497,0.0005542678416512459,1.0,0.4444444444444444,9,region_specific,True,11.173,31.173,True,True,evaluated,ok,
1_DH_1_CONTROL,DH,CONTROL,1_DH_1_CONTROL__cand_45,unlabeled,Mixed,unlabeled,75,2,eps_scale_low,0.5,717.6326704869373,742.5691735486374,24.891435297271638,0.0,37.75028228907531,39.05078926149425,1.0347482829130117,mixed,0.5000151733783513,0.48322397015312196,0.01676085646852682,4.7887370664825735,7.160071000965519,4.787651383893053,2.371333934482945,0.0010856825895206867,0.9952021222992038,0.4444444444444444,9,region_specific,True,11.173,31.173,True,True,evaluated,ok,
1_DH_1_CONTROL,DH,CONTROL,1_DH_1_CONTROL__cand_45,unlabeled,Mixed,unlabeled,75,2,eps_scale_high,2.0,732.7853611735947,757.7279096922223,24.892439863449894,0.0,38.55309773057158,39.85367733079295,1.0340380005390402,mixed,0.5000165330824685,0.48355721242528005,0.0164262544922513,4.797141712163199,7.21217794454304,4.796861720138676,2.4150362323798404,0.0002799920245237786,1.0024446399820426,0.4444444444444444,9,region_specific,True,11.173,31.173,True,True,evaluated,ok,
1_DH_1_CONTROL,DH,CONTROL,1_DH_1_CONTROL__cand_45,unlabeled,Mixed,unlabeled,75,2,stimulus_duration_short,0.75,531.8100996300465,550.0843255887404,18.236638671725874,0.0,38.09300049644376,39.39232128520317,1.0343623146145708,mixed,0.5000170830950065,0.48340612958364143,0.016576787321352125,4.794312107308966,7.194589762754616,4.793827281143795,2.4002776554456497,0.0004848261651710928,1.0,0.4444444444444444,9,region_specific,True,11.173,26.173,True,True,evaluated,ok,
1_DH_1_CONTROL,DH,CONTROL,1_DH_1_CONTROL__cand_45,unlabeled,Mixed,unlabeled,75,2,stimulus_duration_long,1.25,924.3605947764574,955.9733137730677,31.555739240416944,0.0,38.42455669509989,39.72604403155606,1.034199552831712,mixed,0.5000149014239026,0.48348009826036586,0.016505000315731586,4.794312107308966,7.194589762754616,4.793703690209476,2.4002776554456497,0.0006084170994897775,1.0,0.4444444444444444,9,region_specific,True,11.173,36.173,True,True,evaluated,ok,
1_DH_1_CONTROL,DH,CONTROL,1_DH_1_CONTROL__cand_45,unlabeled,Mixed,unlabeled,75,2,baseline_K_o_low,0.9,727.659628856579,752.6003152123335,24.892066454752865,0.0,38.28136069760179,39.58191541248515,1.0342752096814076,mixed,0.500016151159704,0.4834459401900643,0.016537908650231636,4.794303858172475,7.1945899934019995,4.7937579619384465,2.400286135229525,0.0005458962340281204,1.0000000320584483,0.4444444444444444,9,region_specific,True,11.173,31.173,True,True,evaluated,ok,
