region,condition,window,buffering_phenotype,n_candidate_sweeps,n_candidates,n_cells
VH,MFA_BA,M_decay,recruited_surface_gap_assisted_buffering,31,8,3
VH,MFA_BA,M_rise,available_surface_voltage_coupled_but_ionic_recruitment_low,399,72,6
VH,MFA_BA,M_rise,kir_dominant_local_buffering,15,3,2
VH,MFA_BA,M_rise,low_recruitment_local_storage,8,2,2
VH,MFA_BA,M_rise,mixed_local_spatial_buffering,199,45,5
VH,MFA_BA,M_rise,recruited_surface_gap_assisted_buffering,57,16,4
VH,MFA_BA,M_tot,available_surface_voltage_coupled_but_ionic_recruitment_low,404,72,6
VH,MFA_BA,M_tot,kir_dominant_local_buffering,22,5,3
VH,MFA_BA,M_tot,low_recruitment_local_storage,2,1,1
VH,MFA_BA,M_tot,mixed_local_spatial_buffering,202,43,5
VH,MFA_BA,M_tot,recruited_surface_gap_assisted_buffering,48,14,3
