file_id,region,condition,candidate_id,accepted,n_sweeps_simulated,I_Kir_integral_mean,I_kgap_integral_mean,I_leak_integral_mean,I_Kir_peak_abs_mean,I_kgap_peak_abs_mean,gap_to_kir_integral_ratio_mean,gap_fraction_mean,kir_fraction_mean,leak_fraction_mean,K_o_peak_mean,K_o_final_mean,K_o_recovery_error_mean,proxy_pearson_r_mean,proxy_spearman_r_mean,proxy_validity_failed_fraction,proxy_validity_strong_fraction,K_bath_middle_min,K_bath_middle_max,K_bath_middle_n_unique,K_bath_override_modes,P_gap_eff,gamma_t_eff,gamma_s_eff,volume_ratio_wa_wo,g_kir,gki,gl_a,zth,zs,eps,k_bath_gain,switching_function,log10_P_gap_eff,log10_gamma_t_eff,log10_gamma_s_eff,log10_volume_ratio_wa_wo,log10_gap_to_kir_integral_ratio_mean,dominant_mechanism,buffering_phenotype,phenotype_window_scope,phenotype_specificity_score,dominant_signed_flux_mode,dKs_activation_score_mean,long_range_distribution_fraction_mean,voltage_coupling_score_mean,kir_current_score_mean,phenotype_claim_scope,proxy_validity_status,mechanism_cluster,mechanism_cluster_count,candidate_count_for_clustering,independent_cell_count,cluster_evidence_status,cluster_evidence_reason,bootstrap_mean_coassignment_stability,cluster_claim_scope
1_DH_1_CONTROL,DH,CONTROL,1_DH_1_CONTROL__hybrid_optuna_087,True,6,35.64556701112674,3.1298008284211125,35.32105491008705,5.3622241204157,0.20279825770819485,0.1360204096028703,0.06513290090863094,0.4802971430883129,0.4545699560030561,8.653670270751983,4.804624059983072,0.005154822734771969,0.9717848699721786,1.0,0.0,1.0,6.4,10.5,6,historical_current_kbath_scaled_by_gain,1.1996661220636652e-08,0.0009639219104777,1.3822108483323732e-06,0.2273680004427412,7.803414098002051,7.803414098002051,0.5689196370496582,42.60574746854843,0.0014481044846482,0.0938101988343727,1.0,sigmoid,-7.920939605219959,-3.0159581478630524,-5.859425702777556,-0.6432706575420244,-0.8663959216821746,Mixed,mixed_local_spatial_buffering,M_tot,1.0,STRICTLY_LOCAL,0.4696968163561277,3.3198915743536735e-05,0.024824147088797332,0.47529229910932563,provisional_accepted_ensemble_tag_pending_step06_validation,proxy_not_failed_majority,M1,3,2110,35,candidate_regime_screen,sufficient_candidates_and_cells_for_screen,0.997159567924391,candidate_mechanism_regime_pending_step06_validation
1_DH_1_CONTROL,DH,CONTROL,1_DH_1_CONTROL__hybrid_optuna_098,True,6,4.708292027233885,1.8466802513030505,0.013520178367906609,0.26465465241812375,0.1283316336255313,0.4071429203203918,0.2876321350037857,0.710068812521782,0.002299052474432206,6.408805202666763,6.044424455374174,1.244425378220786,0.9987250746706612,1.0,0.0,1.0,6.4,10.5,6,historical_current_kbath_scaled_by_gain,2.1484198879011832e-08,1.0088571442840538e-08,4.5165475071932483e-08,0.0678458449682687,2.015568194438911,2.015568194438911,5.878784859472056e-05,126.20927675524231,0.0017064723167788,2.7115959943633915e-05,1.0,sigmoid,-7.667880836018301,-7.996170326172919,-7.3451934172917674,-1.1684767443580828,-0.39025311261502105,Kir,mixed_local_spatial_buffering,M_tot,1.0,STRICTLY_LOCAL,0.40609296769892494,5.965698106203987e-05,0.35179840828287173,0.6453230142897212,provisional_accepted_ensemble_tag_pending_step06_validation,proxy_not_failed_majority,M2,3,2110,35,candidate_regime_screen,sufficient_candidates_and_cells_for_screen,0.997159567924391,candidate_mechanism_regime_pending_step06_validation
1_DH_2_CONTROL,DH,CONTROL,1_DH_2_CONTROL__hybrid_optuna_066,True,6,4.950597915126221,1.8695495329434921,0.3409676154325206,0.3054145556928021,0.13121613835929138,0.3985234235403386,0.26708494174413727,0.6784536228615557,0.05446143539430709,6.7286832435962545,6.127055033234654,1.3692626193653403,0.9984877538678676,1.0,0.0,1.0,6.4,10.5,6,historical_current_kbath_scaled_by_gain,1.991600130066668e-08,1.1498294176561468e-05,0.0290154667530075,3.517490838704276,1.9009706283367904,1.9009706283367904,0.0015884676787605,139.9171201077349,10.21792859882267,3.902985307582861e-05,1.0,sigmoid,-7.700797854033837,-4.939366584399123,-1.5373704388294132,0.5462329749894098,-0.3995461475041172,Kir,low_recruitment_local_storage,M_tot,1.0,STRICTLY_LOCAL,9.859676542188784e-305,8.850468199611234e-303,0.3514071263833052,0.5706908873790544,provisional_accepted_ensemble_tag_pending_step06_validation,proxy_not_failed_majority,M2,3,2110,35,candidate_regime_screen,sufficient_candidates_and_cells_for_screen,0.997159567924391,candidate_mechanism_regime_pending_step06_validation
1_DH_2_CONTROL,DH,CONTROL,1_DH_2_CONTROL__hybrid_optuna_068,True,6,21.891705045314136,19.127078730797525,0.06332304249119983,1.4216553981864968,1.3312125781495396,0.8783598099182303,0.46676689968502577,0.5315853304817828,0.0016477698331914589,6.4281723794732955,6.047504063633945,1.2489807153413983,-0.6795595494040354,-0.7640577507598785,1.0,0.0,6.4,10.5,6,historical_current_kbath_scaled_by_gain,2.2841321209132905e-07,3.8946679819811723e-07,0.0030184415917358,1.0997984024979517,2.5020370797229115,2.5020370797229115,0.0002703393093465,80.03438859552863,0.0041432483021359,2.7749481296918367e-05,1.0,sigmoid,-6.641278778830718,-6.409529559747386,-2.5202172235316493,0.041313084515865496,-0.05632754394367871,Mixed,mixed_local_spatial_buffering,M_tot,1.0,BALANCED_OR_WEAK,0.41786070046514007,0.49094723961140224,0.4794336006314725,0.518783493912674,provisional_accepted_ensemble_tag_pending_step06_validation,proxy_unreliable,M2,3,2110,35,candidate_regime_screen,sufficient_candidates_and_cells_for_screen,0.997159567924391,mechanism_flux_decomposition_available_proxy_unreliable_pending_assumption_sensitivity
1_DH_2_CONTROL,DH,CONTROL,1_DH_2_CONTROL__hybrid_optuna_072,True,6,268.3427075950084,163.888796873774,433.6508650468895,25.65232217433073,9.025236831449554,0.6189249985901185,0.19015050025939764,0.3090211661293923,0.5008283336112102,7.752717613950537,7.681078364085306,1.9874904466243801,-0.9989016773770573,-1.0,1.0,0.0,6.4,10.5,6,historical_current_kbath_scaled_by_gain,1.0153508977858307e-06,8.193799991073805e-07,0.0615521370223549,4.906669506278448,10.873530867850164,10.873530867850164,5.0196257433330205,110.45113626728492,49.25809651382799,1.0557501320491736e-05,1.0,sigmoid,-5.993383842838334,-6.086514641290019,-1.2107568642451751,0.6907868066189176,-0.20836197565185074,Mixed,low_recruitment_local_storage,M_tot,1.0,STRICTLY_LOCAL,9.859676543758941e-305,0.0,0.1666206762598346,0.3304409356067796,provisional_accepted_ensemble_tag_pending_step06_validation,proxy_unreliable,M1,3,2110,35,candidate_regime_screen,sufficient_candidates_and_cells_for_screen,0.997159567924391,mechanism_flux_decomposition_available_proxy_unreliable_pending_assumption_sensitivity
1_DH_2_CONTROL,DH,CONTROL,1_DH_2_CONTROL__hybrid_optuna_098,True,6,35.721500875241766,3.1310358023868683,35.4335217826442,5.261079225987261,0.2031131302348148,0.13528899185665363,0.06475760742263538,0.48008432794590644,0.4551580646314582,8.653468979043362,4.805306603501524,0.005948195491112844,0.975977441998786,1.0,0.0,1.0,6.4,10.5,6,historical_current_kbath_scaled_by_gain,1.1996661220636652e-08,0.0009639219104777,5.117854716429417e-07,0.255012047149372,8.398289370604866,8.398289370604866,0.5689196370496582,39.54769662003882,0.0012772372965928,0.0914625650009477,1.0,sigmoid,-7.920939605219959,-3.0159581478630524,-6.29091204684832,-0.5934393023624802,-0.8687375394733765,Mixed,mixed_local_spatial_buffering,M_tot,1.0,STRICTLY_LOCAL,0.4742352083058401,1.2305732333684119e-05,0.024763190862813183,0.4760309130560966,provisional_accepted_ensemble_tag_pending_step06_validation,proxy_not_failed_majority,M1,3,2110,35,candidate_regime_screen,sufficient_candidates_and_cells_for_screen,0.997159567924391,candidate_mechanism_regime_pending_step06_validation
1_VH_1_CONTROL,VH,CONTROL,1_VH_1_CONTROL__hybrid_optuna_002,True,6,20.70179484654323,20.339951543171527,0.3733328233397874,1.2214384303334465,1.2202440695465422,0.9870116708656352,0.49192723459561205,0.49853839043561704,0.00953437496877095,4.946160874737509,4.6343976712213,0.12088560462410003,0.9857886042043954,1.0,0.0,1.0,6.4,10.5,6,historical_current_kbath_scaled_by_gain,5.898332582682037e-07,6.132367372018215e-05,0.03422334795647,0.4968427812563468,255.23517712974785,255.23517712974785,0.0011505535491928,136.28429181006652,4.965085659566062,1.3069457276568109e-05,1.0,sigmoid,-6.229270743016612,-4.212371835738535,-1.4656775071298598,-0.30378101576298794,-0.0056777120086027285,Mixed,kir_dominant_local_buffering,M_tot,1.0,STRICTLY_LOCAL,9.240381599479025e-289,1.8202150927724442e-286,0.15281470002311495,0.8439308532540232,provisional_accepted_ensemble_tag_pending_step06_validation,proxy_not_failed_majority,M2,3,2110,35,candidate_regime_screen,sufficient_candidates_and_cells_for_screen,0.997159567924391,candidate_mechanism_regime_pending_step06_validation
1_VH_1_CONTROL,VH,CONTROL,1_VH_1_CONTROL__hybrid_optuna_004,True,6,6.0221055552367995,5.6286223416963095,0.1751205750044252,0.342283625274727,0.3370701086152281,0.9477522969609713,0.4784802727902866,0.5057670604588178,0.01575266675089559,4.822548623176397,4.455664955505697,0.08644412347513741,0.9836039495940759,1.0,0.0,1.0,6.4,10.5,6,historical_current_kbath_scaled_by_gain,1.9320979798396146e-07,6.884733072151251e-05,0.0446888001496297,1.918939695528853,445.5431360607459,445.5431360607459,0.0005187487774732,114.88134481388728,6.753923018052537,1.3196689083822055e-05,1.0,sigmoid,-6.713970853580608,-4.162112893103356,-1.349801305563186,0.28306132684043767,-0.02330515434941368,Mixed,kir_dominant_local_buffering,M_tot,1.0,STRICTLY_LOCAL,9.85967654371955e-305,1.0655056870849664e-303,0.032880912370374195,0.9659494002427564,provisional_accepted_ensemble_tag_pending_step06_validation,proxy_not_failed_majority,M2,3,2110,35,candidate_regime_screen,sufficient_candidates_and_cells_for_screen,0.997159567924391,candidate_mechanism_regime_pending_step06_validation
1_VH_1_CONTROL,VH,CONTROL,1_VH_1_CONTROL__hybrid_optuna_075,True,6,101.52705767244827,97.64257600429234,0.06791762768592974,10.743474309161007,5.186454714572577,0.962651631292804,0.4902695693158532,0.5092952885632357,0.00043514212091122126,8.60009284511881,4.794609527252438,0.007626118507099822,0.43724231000806,1.0,0.0,0.0,6.4,10.5,6,historical_current_kbath_scaled_by_gain,5.49211866925995e-07,5.745832666514891e-05,0.0309612832337943,0.3401260500078757,143.22040626921884,143.22040626921884,0.0008315228218404,134.2308072747584,42.18642553497333,0.0016996045418186,1.0,sigmoid,-6.260260087449854,-4.240647025936728,-1.5091810476723935,-0.4683601044935604,-0.016530848887395092,Mixed,kir_dominant_local_buffering,M_tot,1.0,STRICTLY_LOCAL,9.859676543759016e-305,1.0623987213616194e-301,0.3341014458119707,0.6645587659623035,provisional_accepted_ensemble_tag_pending_step06_validation,proxy_not_failed_majority,M2,3,2110,35,candidate_regime_screen,sufficient_candidates_and_cells_for_screen,0.997159567924391,candidate_mechanism_regime_pending_step06_validation
1_VH_1_CONTROL,VH,CONTROL,1_VH_1_CONTROL__hybrid_post_002,True,6,20.70179484654323,20.339951543171527,0.3733328233397874,1.2214384303334465,1.2202440695465422,0.9870116708656352,0.49192723459561205,0.49853839043561704,0.00953437496877095,4.946160874737509,4.6343976712213,0.12088560462410003,0.9857886042043954,1.0,0.0,1.0,6.4,10.5,6,historical_current_kbath_scaled_by_gain,5.898332582682037e-07,6.132367372018215e-05,0.03422334795647,0.4968427812563468,255.23517712974785,255.23517712974785,0.0011505535491928,136.28429181006652,4.965085659566062,1.3069457276568109e-05,1.0,sigmoid,-6.229270743016612,-4.212371835738535,-1.4656775071298598,-0.30378101576298794,-0.0056777120086027285,Mixed,kir_dominant_local_buffering,M_tot,1.0,STRICTLY_LOCAL,9.240381599479025e-289,1.8202150927724442e-286,0.15281470002311495,0.8439308532540232,provisional_accepted_ensemble_tag_pending_step06_validation,proxy_not_failed_majority,M2,3,2110,35,candidate_regime_screen,sufficient_candidates_and_cells_for_screen,0.997159567924391,candidate_mechanism_regime_pending_step06_validation
