scope,region,sweep,contrast,cond_1,cond_2,peak_depolarization_mV,stim_end_depolarization_mV,rise_slope_mV_per_s,rise_tau_s,plateau_slope_mV_per_s,decay_slope_mV_per_s,decay_tau_s,undershoot_magnitude_mV,return_slope_mV_per_s
region_blind,ALL,1,CONTROL_to_MFA,CONTROL,MFA,0.4725022573426578,0.6128765734265738,-3.0884930389782244,0.4274666448712884,-0.010102936628279064,-4.0308633978021255,0.4130238600720002,-0.1399352363636327,0.024507436182631216
region_blind,ALL,1,MFA_to_MFA_BA,MFA,MFA_BA,-2.9810552923076905,-2.8225346153846163,-2.4509723441547675,1.0584076967413072,0.027236620878147398,-2.6186908150619903,0.23144530605641744,-0.5715000923076958,-0.003248663116110953
region_blind,ALL,1,CONTROL_to_MFA_BA,CONTROL,MFA_BA,-2.5085530349650327,-2.2096580419580425,-5.539465383132992,1.4858743416125955,0.017133684249868334,-6.649554212864116,0.6444691661284176,-0.7114353286713285,0.021258773066520263
region_blind,ALL,2,CONTROL_to_MFA,CONTROL,MFA,1.2752037874125843,1.457380419580419,-5.196161706846508,0.4077992442772733,0.02586299412289885,-5.272991692984463,0.39218151384080796,-0.46885300699300836,-0.0016539574931520792
region_blind,ALL,2,MFA_to_MFA_BA,MFA,MFA_BA,-4.643154892307688,-4.474130769230768,-4.091107455407858,1.2010218715610992,0.03442975342306464,-3.7557049457890703,0.17136935949913612,-0.6738984615384632,0.08801378187097995
region_blind,ALL,2,CONTROL_to_MFA_BA,CONTROL,MFA_BA,-3.367951104895104,-3.0167503496503487,-9.287269162254365,1.6088211158383725,0.06029274754596349,-9.028696638773534,0.5635508733399441,-1.1427514685314715,0.08635982437782788
region_blind,ALL,3,CONTROL_to_MFA,CONTROL,MFA,1.966981018181821,2.056421678321678,-7.121359999375489,0.3497572886223235,0.01654322138953366,-6.962932565025346,0.40257826671093055,-0.5024479664335703,-0.008140677103126909
region_blind,ALL,3,MFA_to_MFA_BA,MFA,MFA_BA,-5.796855076923082,-5.564053846153847,-6.017285222732456,1.4003102575150277,0.05000358158035454,-4.391454804337402,0.08757433320221308,-0.6353235076923094,-0.010759842346132604
region_blind,ALL,3,CONTROL_to_MFA_BA,CONTROL,MFA_BA,-3.829874058741261,-3.5076321678321687,-13.138645222107945,1.7500675461373514,0.0665468029698882,-11.354387369362748,0.49015259991314364,-1.1377714741258798,-0.018900519449259513
region_blind,ALL,4,CONTROL_to_MFA,CONTROL,MFA,2.283280682517482,2.5819909090909086,-9.023550087387362,0.31551129722807103,0.04670971220920114,-7.840555281635789,0.4124237832454065,-0.8410023776223818,0.23172180780019438
region_blind,ALL,4,MFA_to_MFA_BA,MFA,MFA_BA,-6.27071876923077,-6.0855615384615405,-7.83012410905406,1.5151530248267633,0.05829718038795674,-4.213216163039783,0.03416432728465735,-0.8491944615384579,-0.22814448261527118
region_blind,ALL,4,CONTROL_to_MFA_BA,CONTROL,MFA_BA,-3.987438086713288,-3.503570629370632,-16.85367419644142,1.8306643220548344,0.10500689259715788,-12.053771444675572,0.44658811053006386,-1.6901968391608397,0.003577325184923215
region_blind,ALL,5,CONTROL_to_MFA,CONTROL,MFA,3.0819771636363633,3.0526356643356642,-11.359793007723308,0.29757976783326945,0.029612248232660024,-9.306220896697104,0.4373153383603697,-0.9897838321678356,-0.01850547736415436
region_blind,ALL,5,MFA_to_MFA_BA,MFA,MFA_BA,-7.033944861538465,-6.716007692307693,-9.624345030455967,1.5424444425501451,0.06407436990100804,-4.135441202568298,-0.005422279722552048,-0.9583255384615398,0.11065011554486254
region_blind,ALL,5,CONTROL_to_MFA_BA,CONTROL,MFA_BA,-3.951967697902102,-3.663372027972029,-20.984138038179275,1.8400242103834148,0.09368661813366806,-13.441662099265402,0.43189305863781763,-1.9481093706293753,0.09214463818070817
region_blind,ALL,6,CONTROL_to_MFA,CONTROL,MFA,3.2118273370629353,3.47018286713287,-12.507764716238635,0.25827430856336275,0.03226693362629731,-8.837927082971628,0.4412263954694607,-0.8731920035200751,-0.00784376282084169
region_blind,ALL,6,MFA_to_MFA_BA,MFA,MFA_BA,-7.2005219076923055,-7.091353846153847,-12.083534308229163,1.5563817273974996,0.07378912618389594,-3.555996609355791,-0.05610354344573443,-0.9707111713050989,0.26084040871796466
region_blind,ALL,6,CONTROL_to_MFA_BA,CONTROL,MFA_BA,-3.98869457062937,-3.6211709790209774,-24.591299024467798,1.8146560359608623,0.10605605981019325,-12.39392369232742,0.38512285202372626,-1.843903174825174,0.25299664589712295
