feature,CONTROL_mean_abs_gap_proxy,MFA_mean_abs_gap_proxy,MFA_BA_mean_abs_gap_proxy,delta_of_delta_slope_CONTROL_to_MFA_estimate,delta_of_delta_slope_CONTROL_to_MFA_q,delta_of_delta_slope_CONTROL_to_MFA_BA_estimate,delta_of_delta_slope_CONTROL_to_MFA_BA_q
decay_slope_mV_per_s,,6.331133713831555,6.9005437333692745,-0.7327966499944414,,-0.17638160224212118,
decay_tau_s,,0.42403678925154237,0.3041552457064695,0.030294831476188652,,0.027841607341784792,
peak_depolarization_mV,,2.4359900007936512,4.543234590873016,1.1216543616326553,,1.3159156614965988,
plateau_slope_mV_per_s,,0.0344440973897631,0.06676068333376238,-0.010020511379247539,,-0.025255200377631435,
return_slope_mV_per_s,,0.05788063707086661,0.08667864661281062,0.02603150958300513,,0.045941044047232524,
rise_slope_mV_per_s,,7.1521631853017835,10.619703167937379,-0.4020776725926849,,-0.514822414504847,
rise_tau_s,,0.3342964539374123,1.5178670275681228,-0.022043416383634766,,-0.21358458422347193,
stim_end_depolarization_mV,,2.5625580357142868,4.350117708333333,1.0249186054421777,,1.2694641496598624,
undershoot_magnitude_mV,,0.6230477044408801,1.064570826350991,0.03931292516395202,,0.14811789741496623,
