scope,region,sweep,contrast,cond_1,cond_2,peak_depolarization_mV,stim_end_depolarization_mV,rise_slope_mV_per_s,rise_tau_s,plateau_slope_mV_per_s,decay_slope_mV_per_s,decay_tau_s,undershoot_magnitude_mV,return_slope_mV_per_s
DH,DH,1,CONTROL_to_MFA,CONTROL,MFA,1.5198986190476154,1.6983345238095229,-3.583112134460199,0.48007692712480315,0.012414604169684849,-4.771130384195051,0.44913339020200554,-0.30710414285714194,0.005609527645883513
DH,DH,1,MFA_to_MFA_BA,MFA,MFA_BA,-2.573422333333329,-2.4126749999999992,-2.6434315001663524,0.924809747110927,0.0441497528831719,-2.676301443864566,0.16683279056743672,-0.6070296666666692,0.0035099090929885807
DH,DH,1,CONTROL_to_MFA_BA,CONTROL,MFA_BA,-1.0535237142857135,-0.7143404761904764,-6.226543634626552,1.4048866742357302,0.05656435705285675,-7.447431828059617,0.6159661807694423,-0.9141338095238112,0.009119436738872094
DH,DH,2,CONTROL_to_MFA,CONTROL,MFA,2.9694718095238013,3.078304761904766,-6.021480822812641,0.4426808517439463,0.03125863644927199,-6.126891926585663,0.4711353195099748,-0.3324724761904764,0.002983775980155659
DH,DH,2,MFA_to_MFA_BA,MFA,MFA_BA,-3.927033999999985,-3.6682500000000005,-4.419403315548428,1.0292341502169855,0.0389294411268485,-3.7163965628233107,0.12137482287391066,-0.8450813333333376,-0.011613933050548676
DH,DH,2,CONTROL_to_MFA_BA,CONTROL,MFA_BA,-0.9575621904761835,-0.5899452380952344,-10.440884138361069,1.4719150019609317,0.07018807757612049,-9.843288489408973,0.5925101423838854,-1.177553809523814,-0.008630157070393017
DH,DH,3,CONTROL_to_MFA,CONTROL,MFA,4.38301514285715,4.362450000000004,-7.877139597189082,0.36592681998579096,0.011729205090007192,-7.837710339114794,0.48510016745940815,-0.806059809523812,-0.0009080603117780778
DH,DH,3,MFA_to_MFA_BA,MFA,MFA_BA,-5.0602586666666785,-4.780050000000001,-6.443985227725605,0.9943268014561781,0.026872836056793907,-4.104016144735756,0.043112302651401535,-0.3127353333333337,-0.011954332721641082
DH,DH,3,CONTROL_to_MFA_BA,CONTROL,MFA_BA,-0.677243523809528,-0.41759999999999664,-14.321124824914687,1.3602536214419692,0.038602041146801096,-11.941726483850552,0.5282124701108097,-1.1187951428571457,-0.01286239303341916
DH,DH,4,CONTROL_to_MFA,CONTROL,MFA,5.319679428571426,5.512842857142857,-10.038104044785083,0.32376881138476293,0.05382097725884136,-9.670782317719183,0.5211806775185299,-1.077514761904766,0.536828666517376
DH,DH,4,MFA_to_MFA_BA,MFA,MFA_BA,-5.218896666666666,-4.96166666666667,-8.302298712979121,1.0381649803297468,0.052791312658457115,-3.253800836864195,-0.030480898404230516,-0.8158526666666632,-0.5418583426400968
DH,DH,4,CONTROL_to_MFA_BA,CONTROL,MFA_BA,0.10078276190476032,0.5511761904761876,-18.340402757764203,1.3619337917145098,0.10661228991729847,-12.924583154583377,0.49069977911429946,-1.8933674285714293,-0.005029676122720754
DH,DH,5,CONTROL_to_MFA,CONTROL,MFA,6.871795047619045,6.546780952380949,-12.413807707539137,0.3122844402875377,0.031073866831758792,-11.078612452364512,0.554635963451251,-1.0562740000000088,-0.005413714990417408
DH,DH,5,MFA_to_MFA_BA,MFA,MFA_BA,-6.316138000000002,-5.722583333333333,-9.814648570258008,0.9452010969028385,0.03745660447358543,-2.9063951676046207,-0.07943109701703222,-0.71205133333333,0.01065513270981628
DH,DH,5,CONTROL_to_MFA_BA,CONTROL,MFA_BA,0.555657047619043,0.8241976190476166,-22.228456277797143,1.2574855371903761,0.06853047130534422,-13.985007619969132,0.47520486643421883,-1.7683253333333389,0.005241417719398872
DH,DH,6,CONTROL_to_MFA,CONTROL,MFA,7.166545619047621,7.296154761904763,-13.075607935910305,0.2517458589531752,0.034219269644422894,-10.94650457073833,0.5673184065964337,-0.8497612380952415,0.011797300620572423
DH,DH,6,MFA_to_MFA_BA,MFA,MFA_BA,-6.12473,-5.9402500000000025,-12.774654886941786,0.9702952066403594,0.048424695976462054,-2.3645884442208533,-0.11151761939676175,-0.7887546666666634,0.3458150197201819
DH,DH,6,CONTROL_to_MFA_BA,CONTROL,MFA_BA,1.0418156190476218,1.3559047619047604,-25.85026282285209,1.2220410655935345,0.08264396562088494,-13.311093014959184,0.455800787199672,-1.638515904761905,0.3576123203407543
VH,VH,1,CONTROL_to_MFA,CONTROL,MFA,-0.15397588571428056,-0.09079285714285579,-1.768955041065941,0.3556801441704073,-0.05059591747663007,-2.2777021906726005,0.3869349231034498,0.1988501714285782,0.029240982350446088
VH,VH,1,MFA_to_MFA_BA,MFA,MFA_BA,-3.3304549714285723,-3.1738428571428585,-2.286007353287695,1.1729202249959187,0.012739650588126393,-2.5693102760883546,0.2868274621898296,-0.5410461714285759,-0.00742597160960444
VH,VH,1,CONTROL_to_MFA_BA,CONTROL,MFA_BA,-3.484430857142853,-3.2646357142857143,-4.054962394353636,1.528600369166326,-0.03785626688850367,-4.847012466760955,0.6737623852932794,-0.3421959999999977,0.021815010740841648
VH,VH,2,CONTROL_to_MFA,CONTROL,MFA,0.14190680000000455,0.3629285714285704,-2.982846761828781,0.3521472386262857,0.02614890870694564,-3.152849878767598,0.32226280732819745,-0.5484018571428572,-0.0047369504035089174
VH,VH,2,MFA_to_MFA_BA,MFA,MFA_BA,-5.256972800000003,-5.164885714285715,-3.809711003858797,1.348268489856054,0.030572878248392756,-3.7893978454740065,0.21422181946361518,-0.5271702857142851,0.12277246309799805
VH,VH,2,CONTROL_to_MFA_BA,CONTROL,MFA_BA,-5.115065999999999,-4.801957142857145,-6.792557765687578,1.7004157284823398,0.05672178695533839,-6.9422477242416045,0.5364846267918126,-1.0755721428571423,0.11803551269448914
VH,VH,3,CONTROL_to_MFA,CONTROL,MFA,0.1958238000000012,0.41374642857142696,-4.678583318194469,0.3172705911173458,0.03878249423781917,-4.764666556792622,0.33153620575494513,-0.16786731428572088,-0.014263381344514388
VH,VH,3,MFA_to_MFA_BA,MFA,MFA_BA,-6.42822342857143,-6.236057142857143,-5.651542361309758,1.7482960769940417,0.06982993488626366,-4.637830798281671,0.12568464510290867,-0.9118276571428601,-0.009963515429126955
VH,VH,3,CONTROL_to_MFA_BA,CONTROL,MFA_BA,-6.232399628571429,-5.822310714285716,-10.330125679504226,2.0655666681113876,0.10861242912408282,-9.402497355074292,0.4572208508578538,-1.0796949714285808,-0.024226896773641343
VH,VH,4,CONTROL_to_MFA,CONTROL,MFA,-0.10227520000000467,0.3202321428571402,-5.882623056007418,0.2898018298084831,0.04492313076272458,-4.313679677504357,0.3163481955973919,-0.36069714285714816,-0.0247439290499354
VH,VH,4,MFA_to_MFA_BA,MFA,MFA_BA,-7.172280571428569,-7.0489,-7.425403019975435,1.92399992010992,0.06301649558467069,-5.0355721569045695,0.08957452073227545,-0.8777731428571391,0.035120056335929344
VH,VH,4,CONTROL_to_MFA_BA,CONTROL,MFA_BA,-7.274555771428574,-6.7286678571428595,-13.308026075982854,2.213801749918403,0.10793962634739528,-9.349251834408927,0.40592271632966737,-1.2384702857142873,0.010376127285993943
VH,VH,5,CONTROL_to_MFA,CONTROL,MFA,0.2322784857142821,0.46976785714285896,-8.10075384892831,0.2710207412967345,0.035602799534411825,-5.975051074906904,0.34021880131835913,-0.9338127142857122,-0.032530834905941594
VH,VH,5,MFA_to_MFA_BA,MFA,MFA_BA,-7.6492078857142864,-7.567514285714289,-9.461227710625643,2.0543673102478364,0.08688959741022742,-5.188909232537168,0.05801384938700238,-1.1694177142857192,0.16201456490273217
VH,VH,5,CONTROL_to_MFA_BA,CONTROL,MFA_BA,-7.416929400000004,-7.09774642857143,-17.561981559553953,2.3253880515445706,0.12249239694463926,-11.163960307444071,0.3982326507053615,-2.1032304285714316,0.1294837299967906
VH,VH,6,CONTROL_to_MFA,CONTROL,MFA,0.17521417142857487,0.5983607142857181,-9.402943954900037,0.24915319274967518,0.04275935851463885,-5.058023196617048,0.34263661317856076,-0.8377568247190961,-0.02551052072987
VH,VH,6,MFA_to_MFA_BA,MFA,MFA_BA,-8.122629257142863,-8.078014285714286,-11.4911452407612,2.058741602332191,0.09553006636169642,-4.577203608042883,-0.008605764059139598,-1.126673889566615,0.07033105980467291
VH,VH,6,CONTROL_to_MFA_BA,CONTROL,MFA_BA,-7.9474150857142885,-7.4796535714285675,-20.894089195661238,2.3078947950818662,0.13828942487633528,-9.635226804659931,0.33403084911942116,-1.9644307142857111,0.04482053907480292
