condition,region,sweep,feature,n_total_rows,n_non_missing,missing_rate,median,q1,q3,iqr,acceptable_lower,acceptable_upper,threshold_scope,reliability_weight
CONTROL,ALL,1,decay_slope_mV_per_s,11,11,0.0,6.112464902720611,5.304989126735169,11.036876123190524,5.731886996455355,-3.2928413679478634,19.634706617873555,region_pooled,0.9
CONTROL,ALL,1,decay_tau_s,11,11,0.0,0.27321043364282005,0.22956149848645424,0.390008952400116,0.16044745391366178,-0.011109682384038422,0.6306801332706087,region_pooled,0.9
CONTROL,ALL,1,peak_depolarization_mV,11,11,0.0,7.308256,6.369139999999998,7.705082000000001,1.3359420000000028,4.365226999999994,9.708995000000005,region_pooled,0.45
CONTROL,ALL,1,plateau_slope_mV_per_s,11,11,0.0,-0.022879563162265894,-0.034052716116613604,0.0005797093298460839,0.03463242544645969,-0.08600135428630314,0.05252834749953562,region_pooled,0.9
CONTROL,ALL,1,return_slope_mV_per_s,11,8,0.2727272727272727,0.032221227258616245,0.03055577217436423,0.03534485218032095,0.004789080005956719,0.02337215216542915,0.042528472189256025,region_pooled,0.830952380952381
CONTROL,ALL,1,rise_slope_mV_per_s,11,11,0.0,5.257512012477498,4.108917712805049,9.124379131310993,5.015461418505945,-3.4142744149538684,16.64757125906991,region_pooled,0.9
CONTROL,ALL,1,rise_tau_s,11,11,0.0,0.39408139449540514,0.29967053686714884,0.5216295665221331,0.22195902965498426,-0.033268007615327555,0.8545681110046095,region_pooled,0.9
CONTROL,ALL,1,stim_end_depolarization_mV,11,11,0.0,6.744399999999999,6.060750000000002,7.244900000000005,1.1841500000000025,4.284524999999999,9.021125000000008,region_pooled,0.45
CONTROL,ALL,1,undershoot_magnitude_mV,11,11,0.0,0.8511120000000005,0.06481000000000137,1.2432460000000063,1.178436000000005,-1.702844000000006,3.0109000000000137,region_pooled,0.9
CONTROL,ALL,2,decay_slope_mV_per_s,11,11,0.0,10.614779250494346,6.855495577570764,15.140220650689642,8.284725073118878,-5.571592032107553,27.56730826036796,region_pooled,0.9
CONTROL,ALL,2,decay_tau_s,11,11,0.0,0.29735801682159746,0.2531225323455857,0.4080520833202037,0.15492955097461802,0.020728205883658646,0.6404464097821307,region_pooled,0.9
CONTROL,ALL,2,peak_depolarization_mV,11,11,0.0,10.64580800000001,9.539043999999993,11.889020000000002,2.3499760000000087,6.01407999999998,15.413984000000015,region_pooled,0.45
CONTROL,ALL,2,plateau_slope_mV_per_s,11,11,0.0,-0.027563073349078752,-0.0317641898918427,-0.005179135288903705,0.026585054602938998,-0.0716417717962512,0.03469844661550479,region_pooled,0.9
CONTROL,ALL,2,return_slope_mV_per_s,11,10,0.09090909090909094,0.04187275275149978,0.03600264745889111,0.04569776187650319,0.009695114417612082,0.02145997583247299,0.06024043350292131,region_pooled,0.830952380952381
CONTROL,ALL,2,rise_slope_mV_per_s,11,11,0.0,8.21397333846626,6.807770407726126,14.808501169557896,8.00073076183177,-5.19332573502153,26.809597312305552,region_pooled,0.9
CONTROL,ALL,2,rise_tau_s,11,11,0.0,0.4159334061433455,0.24925324648123315,0.4453524701799694,0.19609922369873622,-0.04489558906687119,0.7395013057280737,region_pooled,0.9
CONTROL,ALL,2,stim_end_depolarization_mV,11,11,0.0,9.918299999999995,9.0531,11.85145,2.7983499999999992,4.855575000000002,16.048975,region_pooled,0.45
CONTROL,ALL,2,undershoot_magnitude_mV,11,11,0.0,1.3282279999999886,0.7878340000000037,1.9659300000000108,1.1780960000000071,-0.979310000000007,3.7330740000000215,region_pooled,0.9
CONTROL,ALL,3,decay_slope_mV_per_s,11,11,0.0,13.56878788368963,10.210721120800345,19.17733981847755,8.966618697677204,-3.239206925715459,32.62726786499336,region_pooled,0.9
CONTROL,ALL,3,decay_tau_s,11,11,0.0,0.3290049238451971,0.2699854585904262,0.4066392049634686,0.1366537463730424,0.06500483903086263,0.6116198245230322,region_pooled,0.9
CONTROL,ALL,3,peak_depolarization_mV,11,11,0.0,14.039335999999999,12.614621999999994,14.971012000000009,2.3563900000000153,9.08003699999997,18.50559700000003,region_pooled,0.45
CONTROL,ALL,3,plateau_slope_mV_per_s,11,11,0.0,-0.010774498355311765,-0.03722666522129772,0.011696885986706283,0.048923551208004006,-0.11061199203330373,0.08508221279871228,region_pooled,0.9
CONTROL,ALL,3,return_slope_mV_per_s,11,10,0.09090909090909094,0.040706096927517435,0.03874167019238648,0.05172983832865737,0.012988168136270892,0.019259417987980143,0.07121209053306371,region_pooled,0.830952380952381
CONTROL,ALL,3,rise_slope_mV_per_s,11,11,0.0,12.165487060167719,10.290473484111551,20.64114507227147,10.35067158815992,-5.2355338981283275,36.16715245451135,region_pooled,0.9
CONTROL,ALL,3,rise_tau_s,11,11,0.0,0.332943253561254,0.22709500418874384,0.41399653803191505,0.1869015338431712,-0.05325729657601297,0.6943488387966719,region_pooled,0.9
CONTROL,ALL,3,stim_end_depolarization_mV,11,11,0.0,13.275199999999998,12.3077,14.735450000000004,2.427750000000003,8.666074999999996,18.37707500000001,region_pooled,0.45
CONTROL,ALL,3,undershoot_magnitude_mV,11,11,0.0,1.4701000000000093,0.6239860000000022,1.9012400000000156,1.2772540000000134,-1.291895000000018,3.8171210000000357,region_pooled,0.9
CONTROL,ALL,4,decay_slope_mV_per_s,11,11,0.0,14.577547673370283,11.600786771737768,23.052038463308506,11.451251691570738,-5.576090765618337,40.22891600066461,region_pooled,0.9
CONTROL,ALL,4,decay_tau_s,11,11,0.0,0.356790086808509,0.2852844705530817,0.42677741282838966,0.14149294227530795,0.07304505714011977,0.6390168262413516,region_pooled,0.9
CONTROL,ALL,4,peak_depolarization_mV,11,11,0.0,16.992199999999997,15.658978000000001,18.368194,2.709215999999998,11.595154000000004,22.432017999999996,region_pooled,0.45
CONTROL,ALL,4,plateau_slope_mV_per_s,11,11,0.0,-0.040051729389781195,-0.056144591246844795,-0.011517832884041904,0.04462675836280289,-0.12308472879104912,0.05542230466016243,region_pooled,0.9
CONTROL,ALL,4,return_slope_mV_per_s,11,11,0.0,0.05830190259105915,0.04561507359958178,0.07423151787409726,0.028616444274515485,0.0026904071878085523,0.11715618428587049,region_pooled,0.830952380952381
CONTROL,ALL,4,rise_slope_mV_per_s,11,11,0.0,16.08377318784991,13.274304082057736,25.97828459800809,12.703980515950356,-5.781666691867798,45.034255371933625,region_pooled,0.9
CONTROL,ALL,4,rise_tau_s,11,11,0.0,0.3389857215895873,0.20539960863158413,0.37642837875936763,0.1710287701277835,-0.051143546560091124,0.6329715339510429,region_pooled,0.9
CONTROL,ALL,4,stim_end_depolarization_mV,11,11,0.0,16.1438,15.5151,17.617850000000004,2.102750000000004,12.360974999999994,20.771975000000012,region_pooled,0.45
CONTROL,ALL,4,undershoot_magnitude_mV,11,11,0.0,2.007788000000012,0.9702539999999935,2.6952859999999923,1.7250319999999988,-1.6172940000000047,5.2828339999999905,region_pooled,0.9
CONTROL,ALL,5,decay_slope_mV_per_s,11,11,0.0,17.643862144310344,13.249621868289164,25.42566288034346,12.176041012054295,-5.014439649792276,43.6897243984249,region_pooled,0.9
CONTROL,ALL,5,decay_tau_s,11,11,0.0,0.3245386196117934,0.2887453700833671,0.440862646370654,0.15211727628728688,0.060569455652436766,0.6690385608015843,region_pooled,0.9
CONTROL,ALL,5,peak_depolarization_mV,11,11,0.0,19.937735999999994,18.324032000000003,20.557572000000008,2.233540000000005,14.973721999999995,23.907882000000015,region_pooled,0.45
CONTROL,ALL,5,plateau_slope_mV_per_s,11,11,0.0,-0.020418987346212145,-0.05573967036792875,0.007234841777147078,0.06297451214507582,-0.15020143858554247,0.10169660999476081,region_pooled,0.9
CONTROL,ALL,5,return_slope_mV_per_s,11,11,0.0,0.06631945248749666,0.051066018126166374,0.07672528672395125,0.025659268597784876,0.01257711522948906,0.11521418962062857,region_pooled,0.830952380952381
CONTROL,ALL,5,rise_slope_mV_per_s,11,11,0.0,21.357429301004878,17.26520054579896,30.86462365555522,13.599423109756259,-3.133934118835427,51.26375832018961,region_pooled,0.9
CONTROL,ALL,5,rise_tau_s,11,11,0.0,0.28344041980783174,0.19177515982270776,0.35013941732246323,0.15836425749975547,-0.04577122642692544,0.5876858035720964,region_pooled,0.9
CONTROL,ALL,5,stim_end_depolarization_mV,11,11,0.0,19.561799999999998,18.1976,20.44375,2.24615,14.828375000000001,23.812975,region_pooled,0.45
CONTROL,ALL,5,undershoot_magnitude_mV,11,11,0.0,2.2390319999999946,1.7531260000000053,2.7112000000000016,0.9580739999999963,0.3160150000000108,4.148310999999996,region_pooled,0.9
