condition,sweep,feature,family,n_cells_DH,n_cells_VH,small_stratum,dh_median,vh_median,dh_mean,vh_mean,dh_minus_vh_median,dh_minus_vh_ci95_low,dh_minus_vh_ci95_high
MFA,5,plateau_level_mV,conditional_continuous,6,7,False,-29.649416000000002,-40.254756,-29.145264,-37.89260495999999,10.605339999999998,1.5588319999999953,12.965720799999993
MFA,6,plateau_level_mV,conditional_continuous,6,7,False,-26.959842,-37.709835999999996,-26.959842,-37.41116559999999,10.749993999999997,2.684566000000004,21.029348949999996
MFA_BA,1,plateau_level_mV,conditional_continuous,6,7,False,,-52.31452,,-52.31452,,,
MFA_BA,2,plateau_level_mV,conditional_continuous,6,7,False,-43.038694,-50.65196999999999,-43.038694,-50.65196999999999,7.613275999999992,-7.3143480000000025,22.540899999999993
MFA_BA,3,plateau_level_mV,conditional_continuous,6,7,False,-38.223389999999995,-50.00964,-38.143864,-50.00964,11.786250000000003,4.6927399999999935,19.197864
MFA_BA,4,plateau_level_mV,conditional_continuous,6,7,False,,-39.773191999999995,,-39.773191999999995,,,
MFA_BA,5,plateau_level_mV,conditional_continuous,6,7,False,-25.375368,,-30.139408000000003,,,,
MFA_BA,6,plateau_level_mV,conditional_continuous,6,7,False,-22.979252000000002,,-22.979252000000002,,,,
CONTROL,1,plateau_reached,binary,7,4,True,1.0,1.0,0.7142857142857143,0.75,0.0,-1.0,1.0
CONTROL,2,plateau_reached,binary,7,4,True,1.0,1.0,0.8571428571428571,1.0,0.0,0.0,0.0
CONTROL,3,plateau_reached,binary,7,4,True,1.0,1.0,0.7142857142857143,0.75,0.0,-1.0,1.0
CONTROL,4,plateau_reached,binary,7,4,True,1.0,1.0,0.7142857142857143,1.0,0.0,-1.0,0.0
CONTROL,5,plateau_reached,binary,7,4,True,1.0,1.0,0.7142857142857143,1.0,0.0,-1.0,0.0
CONTROL,6,plateau_reached,binary,7,4,True,1.0,1.0,0.5714285714285714,1.0,0.0,-1.0,0.0
MFA,1,plateau_reached,binary,6,7,False,0.0,1.0,0.3333333333333333,0.8571428571428571,-1.0,-1.0,0.0
MFA,2,plateau_reached,binary,6,7,False,0.5,1.0,0.5,0.8571428571428571,-0.5,-1.0,0.0
MFA,3,plateau_reached,binary,6,7,False,0.0,1.0,0.3333333333333333,0.8571428571428571,-1.0,-1.0,0.0
MFA,4,plateau_reached,binary,6,7,False,0.5,1.0,0.5,0.8571428571428571,-0.5,-1.0,0.0
MFA,5,plateau_reached,binary,6,7,False,0.5,1.0,0.5,0.7142857142857143,-0.5,-1.0,1.0
MFA,6,plateau_reached,binary,6,7,False,0.0,1.0,0.3333333333333333,0.7142857142857143,-1.0,-1.0,0.012500000000002842
MFA_BA,1,plateau_reached,binary,6,7,False,0.0,0.0,0.0,0.2857142857142857,0.0,-1.0,0.0
MFA_BA,2,plateau_reached,binary,6,7,False,0.0,0.0,0.3333333333333333,0.2857142857142857,0.0,-1.0,1.0
MFA_BA,3,plateau_reached,binary,6,7,False,1.0,0.0,0.6666666666666666,0.14285714285714285,1.0,0.0,1.0
MFA_BA,4,plateau_reached,binary,6,7,False,0.0,0.0,0.0,0.14285714285714285,0.0,0.0,0.0
MFA_BA,5,plateau_reached,binary,6,7,False,0.5,0.0,0.5,0.0,0.5,0.0,1.0
MFA_BA,6,plateau_reached,binary,6,7,False,0.0,0.0,0.16666666666666666,0.0,0.0,0.0,0.5
CONTROL,1,plateau_slope_mV_per_s,conditional_continuous,7,4,True,-0.020824993242981635,-0.03151275615745171,-0.015110068945324743,0.050162004360971825,0.010687762914470073,-0.34068791349097477,0.05617039090545184
CONTROL,2,plateau_slope_mV_per_s,conditional_continuous,7,4,True,-0.0053016180713465685,-0.02786358825450405,-0.017994720986345535,-0.03311983364683459,0.022561970183157483,-0.011895254306747104,0.05159863250708506
CONTROL,3,plateau_slope_mV_per_s,conditional_continuous,7,4,True,-0.010053521273943164,-0.04408647638439765,0.005010596787271191,-0.0507773605546982,0.03403295511045449,-0.0017665579623597355,0.10882377543883306
CONTROL,4,plateau_slope_mV_per_s,conditional_continuous,7,4,True,-0.025468337428718676,-0.04181222922761008,-0.029231036530667834,-0.04250210540657006,0.016343891798891407,-0.03615288102633728,0.052869880534159794
CONTROL,5,plateau_slope_mV_per_s,conditional_continuous,7,4,True,-0.01614014778551554,-0.035390683651752006,-0.009838335049955474,-0.03214790616097177,0.019250535866236467,-0.06265220395955358,0.0763839695280343
CONTROL,6,plateau_slope_mV_per_s,conditional_continuous,7,4,True,-0.007296870142997173,-0.038379003428793385,-0.0038663685592236216,-0.041310128978104925,0.03108213328579621,-0.009949584522681118,0.10398181245258986
MFA,1,plateau_slope_mV_per_s,conditional_continuous,6,7,False,0.010864645273694722,-0.011073381585219208,-0.0026954647756397853,0.033931165635055154,0.021938026858913932,-0.06423033302911968,0.04711672806230881
MFA,2,plateau_slope_mV_per_s,conditional_continuous,6,7,False,0.02605148293318276,-0.004355879378425683,0.01326391546292669,-0.006970924939889026,0.030407362311608444,-0.05873379165115024,0.08869825467815484
MFA,3,plateau_slope_mV_per_s,conditional_continuous,6,7,False,0.02919581217364681,-0.030493433299714514,0.016739801877278526,-0.011994866316879071,0.059689245473361324,-0.04077273811416549,0.10078220505046043
MFA,4,plateau_slope_mV_per_s,conditional_continuous,6,7,False,0.04037258733342504,-0.016617469829399094,0.02458994072817361,0.002421025356154607,0.05699005716282413,-0.0400832184081647,0.09974028645747857
MFA,5,plateau_slope_mV_per_s,conditional_continuous,6,7,False,0.027698692979311088,-0.0014627230248150185,0.02123553178180332,0.003454893373440094,0.029161416004126105,-0.06982269937220201,0.09919813934462395
MFA,6,plateau_slope_mV_per_s,conditional_continuous,6,7,False,0.03892112216804568,-0.003440999315130013,0.03088036226750984,0.0014492295365339909,0.04236212148317569,-0.03714694094993977,0.11760081061438335
MFA_BA,1,plateau_slope_mV_per_s,conditional_continuous,6,7,False,0.029243282827553823,0.012930635321424784,0.04145428810753219,0.012470667951099664,0.01631264750612904,-0.0023882691405787485,0.06606251096669843
MFA_BA,2,plateau_slope_mV_per_s,conditional_continuous,6,7,False,0.054626624894522316,0.028291023278271488,0.05219335658977511,0.02384774078217833,0.02633560161625083,-0.01174278763612465,0.07169412750917369
MFA_BA,3,plateau_slope_mV_per_s,conditional_continuous,6,7,False,0.038808343841859674,0.059619627481047044,0.043612637934072516,0.058173565985350395,-0.02081128363918737,-0.051995571524392915,0.02128988194106264
MFA_BA,4,plateau_slope_mV_per_s,conditional_continuous,6,7,False,0.07498137854559225,0.06503097286913562,0.07738125338663075,0.0658815730089574,0.009950405676456636,-0.04396539489279812,0.06305228341074937
MFA_BA,5,plateau_slope_mV_per_s,conditional_continuous,6,7,False,0.05991999347053058,0.10205812705469718,0.0586921362553888,0.0908340118395424,-0.0421381335841666,-0.10067532395885793,0.027629439661350466
MFA_BA,6,plateau_slope_mV_per_s,conditional_continuous,6,7,False,0.09383902260872058,0.11393501581817744,0.07880467238672359,0.09764122690378162,-0.02009599320945686,-0.12261003274001919,0.046634146054247705
CONTROL,1,return_slope_mV_per_s,conditional_continuous,7,4,True,0.031448014735672186,0.035737573992283486,0.030502262339941476,0.035737573992283486,-0.0042895592566113,-0.01057901660791135,-0.0016105716154474412
CONTROL,2,return_slope_mV_per_s,conditional_continuous,7,4,True,0.043869677591569955,0.040748330707835345,0.039850781897597484,0.0398242936820527,0.0031213468837346103,-0.021819420834596412,0.018370555720544683
CONTROL,3,return_slope_mV_per_s,conditional_continuous,7,4,True,0.040706096927517435,0.046391200141782135,0.04369780214568644,0.047600681287151225,-0.0056851032142647,-0.019452128367775896,0.009232849197045078
CONTROL,4,return_slope_mV_per_s,conditional_continuous,7,4,True,0.04748191705260946,0.06250267961572359,0.05565162312015492,0.062281686877590045,-0.015020762563114132,-0.041321501656672435,0.0284507836647198
CONTROL,5,return_slope_mV_per_s,conditional_continuous,7,4,True,0.05400296854070901,0.07149885546109679,0.05625020071098324,0.06969774122304208,-0.017495886920387775,-0.04399659599509689,0.01977985269760909
CONTROL,6,return_slope_mV_per_s,conditional_continuous,7,4,True,0.06163245436105442,0.07458062373638318,0.05555676930909168,0.0671644320234627,-0.012948169375328757,-0.04248976996263264,0.0289914988541252
MFA,1,return_slope_mV_per_s,conditional_continuous,6,7,False,0.04285322672758421,0.024177802690583627,0.036111789985825114,0.06497855634272953,0.018675424037000583,-0.031261553805141035,0.037314949950859766
MFA,2,return_slope_mV_per_s,conditional_continuous,6,7,False,0.03884970780706952,0.027430112580467476,0.042834557877753414,0.0350873432785437,0.011419595226602044,-0.02054470640439548,0.055955174253280296
MFA,3,return_slope_mV_per_s,conditional_continuous,6,7,False,0.04327197256242668,0.030940326731992,0.04278974183390842,0.03333729994263684,0.012331645830434682,-0.005801879469412448,0.027359879502873503
MFA,4,return_slope_mV_per_s,conditional_continuous,6,7,False,0.08067437897946371,0.033103347144123246,0.5924802896375309,0.037537757827654734,0.04757103183534046,-0.01579330441425518,2.64584963318265
MFA,5,return_slope_mV_per_s,conditional_continuous,6,7,False,0.039745661291514016,0.033117191893840624,0.0508364857205659,0.03716690631710054,0.006628469397673392,-0.01691273724349964,0.04105267591332174
MFA,6,return_slope_mV_per_s,conditional_continuous,6,7,False,0.0534354867741242,0.03332994337916408,0.06735406992966371,0.04165391129359277,0.020105543394960117,-0.02507048059171704,0.09709956901807704
MFA_BA,1,return_slope_mV_per_s,conditional_continuous,6,7,False,0.03962169907881357,0.02907538358906129,0.03962169907881357,0.05755258473312514,0.010546315489752281,-0.09726391813523019,0.03292494568254321
MFA_BA,2,return_slope_mV_per_s,conditional_continuous,6,7,False,0.03122062482720455,0.04827586206896511,0.03122062482720455,0.15785980637654176,-0.017055237241760557,-0.3787956353353768,0.015933327929125746
MFA_BA,3,return_slope_mV_per_s,conditional_continuous,6,7,False,0.030835409112267283,0.02081350053361879,0.030835409112267283,0.023373784513509882,0.010021908578648493,-0.003997334266893887,0.0163602994845176
MFA_BA,4,return_slope_mV_per_s,conditional_continuous,6,7,False,0.05190525626165428,0.08817007874015757,0.05062194699743457,0.07265781416358415,-0.036264822478503295,-0.09712079566237083,0.06727801664242541
MFA_BA,5,return_slope_mV_per_s,conditional_continuous,6,7,False,0.061491618430382027,0.15500634268911115,0.061491618430382027,0.19918147121983265,-0.09351472425872911,-0.4067471875397289,0.02609239411745739
MFA_BA,6,return_slope_mV_per_s,conditional_continuous,6,7,False,0.413169089649846,0.11198497109826973,0.413169089649846,0.11198497109826973,0.3011841185515763,-0.03746074528703826,0.6398289823901907
CONTROL,1,rise_slope_mV_per_s,primary_continuous,7,4,True,8.988614679920852,4.400631512086836,7.2302391611637,4.471856539666276,4.587983167834016,-1.3588529762382184,5.431492460687203
CONTROL,2,rise_slope_mV_per_s,primary_continuous,7,4,True,14.046110729184589,7.379633365462972,12.063378468784425,7.4252109042804095,6.666477363721617,-2.0479285829623626,8.844000851457366
CONTROL,3,rise_slope_mV_per_s,primary_continuous,7,4,True,19.70888229504484,11.278463431420901,16.67662649918962,11.148132459379944,8.43041886362394,-4.089605889726161,12.216240407781067
CONTROL,4,rise_slope_mV_per_s,primary_continuous,7,4,True,25.249178763167183,14.320453310238785,21.37771451933498,14.382081710214745,10.928725452928399,-6.687347605080635,14.875974541339207
CONTROL,5,rise_slope_mV_per_s,primary_continuous,7,4,True,30.58143434479827,19.472365674031067,26.202791908855158,18.947550107280357,11.109068670767204,-8.108399942245999,16.40302673109504
CONTROL,6,rise_slope_mV_per_s,primary_continuous,7,4,True,33.705561159918936,23.188327553320732,30.75885534008658,22.695113495096862,10.517233606598204,-10.289745138851284,19.867167971996878
MFA,1,rise_slope_mV_per_s,primary_continuous,6,7,False,3.3918736485665892,2.462671293459547,3.6471270267034934,2.7029014986003324,0.9292023551070421,-0.8151785435779519,2.8375936011974208
MFA,2,rise_slope_mV_per_s,primary_continuous,6,7,False,5.958248546019913,3.7011950723318607,6.041897645971782,4.442364142451636,2.2570534736880523,-1.4105786927331323,5.248376217406914
MFA,3,rise_slope_mV_per_s,primary_continuous,6,7,False,8.784127939886336,6.061615802281141,8.799486902000517,6.4695491411854755,2.722512137605195,-1.1440276849775532,6.662808937408375
MFA,4,rise_slope_mV_per_s,primary_continuous,6,7,False,11.237673711919644,8.121504934939772,11.339367887522448,8.499458654207324,3.1161687769798725,-0.7420849749059668,7.9045078869282435
MFA,5,rise_slope_mV_per_s,primary_continuous,6,7,False,11.773434551103398,10.76799660206375,13.788984201316042,10.846796258352043,1.0054379490396474,-2.7337192820015854,10.324732486438764
MFA,6,rise_slope_mV_per_s,primary_continuous,6,7,False,17.672586741102368,13.814269486217034,17.68324740417621,13.292169540196822,3.8583172548853337,-3.2722601195519214,11.020876618544124
MFA_BA,1,rise_slope_mV_per_s,primary_continuous,6,7,False,0.9554815924163431,0.35212932650766515,1.0036955265371408,0.41689414531263813,0.603352265908678,0.16132680144887987,1.0266366297831502
MFA_BA,2,rise_slope_mV_per_s,primary_continuous,6,7,False,1.6017872797986092,0.5144581121330616,1.622494330423356,0.6326531385928321,1.0873291676655477,0.1755143162648353,2.075499964088368
MFA_BA,3,rise_slope_mV_per_s,primary_continuous,6,7,False,2.1490170632238694,0.6139839913510253,2.3555016742749175,0.818006779875718,1.535033071872844,0.6080785352357004,3.1124461428132393
MFA_BA,4,rise_slope_mV_per_s,primary_continuous,6,7,False,2.7408311608096803,0.7873346236815089,3.037311761570781,1.0740556342318939,1.9534965371281714,0.6381506418523425,3.837608432416909
MFA_BA,5,rise_slope_mV_per_s,primary_continuous,6,7,False,3.6653872185120133,1.0457565728816907,3.9743356310580134,1.3855685477264035,2.6196306456303224,1.1451854593218558,5.219243526802676
MFA_BA,6,rise_slope_mV_per_s,primary_continuous,6,7,False,4.31525874854505,1.3363991342981225,4.908592517234426,1.8010242994356216,2.9788596142469275,0.9872708032058166,6.785509928381959
CONTROL,1,rise_tau_s,primary_continuous,7,4,True,0.3048790212998398,0.4892339278330837,0.396121523940231,0.4783328009496657,-0.18435490653324393,-0.24865776656313798,0.17762136200271428
CONTROL,2,rise_tau_s,primary_continuous,7,4,True,0.26369766150179075,0.4302630278956894,0.35221576184845865,0.43153649554148377,-0.16656536639389863,-0.2106073885952898,0.13439986939716353
CONTROL,3,rise_tau_s,primary_continuous,7,4,True,0.2317108539325865,0.39563798831204977,0.33059077124069375,0.38796223675647123,-0.16392713437946327,-0.19771090160555893,0.1854392144461947
CONTROL,4,rise_tau_s,primary_continuous,7,4,True,0.20868797532768113,0.3628721978581275,0.30513012004038337,0.3625154423190473,-0.1541842225304464,-0.17664367664266578,0.1651050202146429
