condition,region,sweep,feature,n_total_rows,n_non_missing,missing_rate,median,q1,q3,iqr,acceptable_lower,acceptable_upper,threshold_scope,reliability_weight
ALL,ALL,1,decay_slope_mV_per_s,37,37,0.0,2.922874386239872,1.509511968520735,5.277589167957162,3.768077199436427,-4.142603830633906,10.929704967111803,global_pooled,0.9666666666666667
ALL,ALL,1,decay_tau_s,37,37,0.0,0.6942316638176607,0.42544023502824757,0.9100378853801132,0.48459765035186564,-0.3014562404995509,1.6369343609079117,global_pooled,0.9666666666666667
ALL,ALL,1,peak_depolarization_mV,37,37,0.0,6.350311999999995,5.498628000000004,7.807636000000009,2.3090080000000057,2.035115999999995,11.271148000000018,global_pooled,0.48333333333333334
ALL,ALL,1,plateau_slope_mV_per_s,37,37,0.0,0.006034779127810189,-0.022732209309226484,0.02485236122358455,0.04758457053281104,-0.09410906510844304,0.0962292170228011,global_pooled,0.9666666666666667
ALL,ALL,1,return_slope_mV_per_s,37,22,0.4054054054054054,0.031448014735672186,0.022217118612086,0.03789260989736664,0.01567549128528064,-0.0012961183158349578,0.0614058468252876,global_pooled,0.6533068783068783
ALL,ALL,1,rise_slope_mV_per_s,37,37,0.0,2.462671293459547,0.8051777756028161,4.389184303596164,3.584006527993348,-4.570832016387206,9.765194095586185,global_pooled,0.9666666666666667
ALL,ALL,1,rise_tau_s,37,37,0.0,0.8547013624454216,0.5195148379096537,1.866750567685589,1.3472357297759352,-1.501338756754249,3.8876041623494917,global_pooled,0.9666666666666667
ALL,ALL,1,stim_end_depolarization_mV,37,37,0.0,6.045499999999997,5.139099999999999,7.400500000000001,2.261400000000002,1.7469999999999963,10.792600000000004,global_pooled,0.48333333333333334
ALL,ALL,1,undershoot_magnitude_mV,37,37,0.0,0.24932800000000555,0.0,0.7659919999999971,0.7659919999999971,-1.1489879999999957,1.9149799999999928,global_pooled,0.9666666666666667
ALL,ALL,2,decay_slope_mV_per_s,37,37,0.0,4.2468874218192765,2.2864378031013954,7.999474863545286,5.713037060443891,-6.28311778756444,16.569030454211124,global_pooled,0.9666666666666667
ALL,ALL,2,decay_tau_s,37,37,0.0,0.6000469407540336,0.4381925244147169,0.8729465130894525,0.4347539886747356,-0.21393845859738647,1.5250774961015559,global_pooled,0.9666666666666667
ALL,ALL,2,peak_depolarization_mV,37,37,0.0,9.944432000000006,8.258496000000008,11.981176000000005,3.722679999999997,2.6744760000000127,17.565196,global_pooled,0.48333333333333334
ALL,ALL,2,plateau_slope_mV_per_s,37,37,0.0,-0.001368775846204073,-0.027563073349078752,0.036593223179977305,0.06415629652905605,-0.12379751814266282,0.13282766797356138,global_pooled,0.9666666666666667
ALL,ALL,2,return_slope_mV_per_s,37,24,0.3513513513513513,0.03744783631747657,0.02373595659265298,0.049514397343901756,0.025778440751248775,-0.014931704534220182,0.08818205847077493,global_pooled,0.6533068783068783
ALL,ALL,2,rise_slope_mV_per_s,37,37,0.0,3.7333102391170576,1.3926511988163928,7.1599566529067316,5.767305454090339,-7.258306982319115,15.81091483404224,global_pooled,0.9666666666666667
ALL,ALL,2,rise_tau_s,37,37,0.0,0.823941273124543,0.45166049192100743,1.819944986512521,1.3682844945915136,-1.600766249966263,3.8723717283997914,global_pooled,0.9666666666666667
ALL,ALL,2,stim_end_depolarization_mV,37,37,0.0,9.686300000000003,8.117699999999992,11.773700000000005,3.656000000000013,2.6336999999999726,17.257700000000025,global_pooled,0.48333333333333334
ALL,ALL,2,undershoot_magnitude_mV,37,37,0.0,0.2388079999999917,0.0,0.975836000000001,0.975836000000001,-1.4637540000000016,2.4395900000000026,global_pooled,0.9666666666666667
ALL,ALL,3,decay_slope_mV_per_s,37,37,0.0,6.046020229111822,3.369678734322155,11.008431312975718,7.638752578653563,-8.088450133658188,22.466560180956062,global_pooled,0.9666666666666667
ALL,ALL,3,decay_tau_s,37,37,0.0,0.5281403514644367,0.4265781142857108,0.8783855440048072,0.4518074297190964,-0.25113303029293377,1.5560966885834517,global_pooled,0.9666666666666667
ALL,ALL,3,peak_depolarization_mV,37,37,0.0,13.202260000000003,10.677724000000005,15.576211999999998,4.898487999999993,3.329992000000015,22.923943999999988,global_pooled,0.48333333333333334
