family,feature,term,scope,sweep,experimental_contrast,estimate,pvalue,qvalue_bh,reject_bh_0p05,experimental_direction
primary_continuous,peak_depolarization_mV,C(region):C(condition),matched_sweep_delta_of_delta,2,MFA_to_MFA_BA,1.3299388000000185,,,False,increase
primary_continuous,stim_end_depolarization_mV,C(region):C(condition),matched_sweep_delta_of_delta,2,MFA_to_MFA_BA,1.4966357142857145,,,False,increase
primary_continuous,rise_slope_mV_per_s,C(region):C(condition),matched_sweep_delta_of_delta,2,MFA_to_MFA_BA,-0.6096923116896313,,,False,decrease
primary_continuous,rise_tau_s,C(region):C(condition),matched_sweep_delta_of_delta,2,MFA_to_MFA_BA,-0.31903433963906846,,,False,decrease
primary_continuous,plateau_slope_mV_per_s,C(region):C(condition),matched_sweep_delta_of_delta,2,MFA_to_MFA_BA,0.008356562878455744,,,False,increase
primary_continuous,decay_slope_mV_per_s,C(region):C(condition),matched_sweep_delta_of_delta,2,MFA_to_MFA_BA,0.07300128265069583,,,False,increase
primary_continuous,decay_tau_s,C(region):C(condition),matched_sweep_delta_of_delta,2,MFA_to_MFA_BA,-0.09284699658970452,,,False,decrease
primary_continuous,undershoot_magnitude_mV,C(region):C(condition),matched_sweep_delta_of_delta,2,MFA_to_MFA_BA,-0.3179110476190524,,,False,decrease
primary_continuous,return_slope_mV_per_s,C(region):C(condition),matched_sweep_delta_of_delta,2,MFA_to_MFA_BA,-0.13438639614854672,,,False,decrease
primary_continuous,peak_depolarization_mV,C(region):C(condition),matched_sweep_delta_of_delta,2,CONTROL_to_MFA_BA,4.157503809523815,,,False,increase
primary_continuous,stim_end_depolarization_mV,C(region):C(condition),matched_sweep_delta_of_delta,2,CONTROL_to_MFA_BA,4.21201190476191,,,False,increase
primary_continuous,rise_slope_mV_per_s,C(region):C(condition),matched_sweep_delta_of_delta,2,CONTROL_to_MFA_BA,-3.648326372673491,,,False,decrease
primary_continuous,rise_tau_s,C(region):C(condition),matched_sweep_delta_of_delta,2,CONTROL_to_MFA_BA,-0.22850072652140807,,,False,decrease
primary_continuous,plateau_slope_mV_per_s,C(region):C(condition),matched_sweep_delta_of_delta,2,CONTROL_to_MFA_BA,0.013466290620782098,,,False,increase
primary_continuous,decay_slope_mV_per_s,C(region):C(condition),matched_sweep_delta_of_delta,2,CONTROL_to_MFA_BA,-2.9010407651673686,,,False,decrease
primary_continuous,decay_tau_s,C(region):C(condition),matched_sweep_delta_of_delta,2,CONTROL_to_MFA_BA,0.056025515592072805,,,False,increase
primary_continuous,undershoot_magnitude_mV,C(region):C(condition),matched_sweep_delta_of_delta,2,CONTROL_to_MFA_BA,-0.10198166666667174,,,False,decrease
primary_continuous,return_slope_mV_per_s,C(region):C(condition),matched_sweep_delta_of_delta,2,CONTROL_to_MFA_BA,-0.12666566976488217,,,False,decrease
primary_continuous,peak_depolarization_mV,C(region):C(condition),matched_sweep_delta_of_delta,3,CONTROL_to_MFA,4.187191342857149,,,False,increase
primary_continuous,stim_end_depolarization_mV,C(region):C(condition),matched_sweep_delta_of_delta,3,CONTROL_to_MFA,3.9487035714285774,,,False,increase
primary_continuous,rise_slope_mV_per_s,C(region):C(condition),matched_sweep_delta_of_delta,3,CONTROL_to_MFA,-3.198556278994613,,,False,decrease
primary_continuous,rise_tau_s,C(region):C(condition),matched_sweep_delta_of_delta,3,CONTROL_to_MFA,0.04865622886844517,,,False,increase
primary_continuous,plateau_slope_mV_per_s,C(region):C(condition),matched_sweep_delta_of_delta,3,CONTROL_to_MFA,-0.027053289147811976,,,False,decrease
primary_continuous,decay_slope_mV_per_s,C(region):C(condition),matched_sweep_delta_of_delta,3,CONTROL_to_MFA,-3.0730437823221726,,,False,decrease
primary_continuous,decay_tau_s,C(region):C(condition),matched_sweep_delta_of_delta,3,CONTROL_to_MFA,0.15356396170446301,,,False,increase
primary_continuous,undershoot_magnitude_mV,C(region):C(condition),matched_sweep_delta_of_delta,3,CONTROL_to_MFA,-0.6381924952380911,,,False,decrease
primary_continuous,return_slope_mV_per_s,C(region):C(condition),matched_sweep_delta_of_delta,3,CONTROL_to_MFA,0.01335532103273631,,,False,increase
primary_continuous,peak_depolarization_mV,C(region):C(condition),matched_sweep_delta_of_delta,3,MFA_to_MFA_BA,1.3679647619047515,,,False,increase
primary_continuous,stim_end_depolarization_mV,C(region):C(condition),matched_sweep_delta_of_delta,3,MFA_to_MFA_BA,1.4560071428571417,,,False,increase
primary_continuous,rise_slope_mV_per_s,C(region):C(condition),matched_sweep_delta_of_delta,3,MFA_to_MFA_BA,-0.7924428664158469,,,False,decrease
primary_continuous,rise_tau_s,C(region):C(condition),matched_sweep_delta_of_delta,3,MFA_to_MFA_BA,-0.7539692755378635,,,False,decrease
primary_continuous,plateau_slope_mV_per_s,C(region):C(condition),matched_sweep_delta_of_delta,3,MFA_to_MFA_BA,-0.04295709882946975,,,False,decrease
primary_continuous,decay_slope_mV_per_s,C(region):C(condition),matched_sweep_delta_of_delta,3,MFA_to_MFA_BA,0.5338146535459147,,,False,increase
primary_continuous,decay_tau_s,C(region):C(condition),matched_sweep_delta_of_delta,3,MFA_to_MFA_BA,-0.08257234245150713,,,False,decrease
primary_continuous,undershoot_magnitude_mV,C(region):C(condition),matched_sweep_delta_of_delta,3,MFA_to_MFA_BA,0.5990923238095264,,,False,increase
primary_continuous,return_slope_mV_per_s,C(region):C(condition),matched_sweep_delta_of_delta,3,MFA_to_MFA_BA,-0.0019908172925141264,,,False,decrease
primary_continuous,peak_depolarization_mV,C(region):C(condition),matched_sweep_delta_of_delta,3,CONTROL_to_MFA_BA,5.555156104761901,,,False,increase
primary_continuous,stim_end_depolarization_mV,C(region):C(condition),matched_sweep_delta_of_delta,3,CONTROL_to_MFA_BA,5.404710714285719,,,False,increase
primary_continuous,rise_slope_mV_per_s,C(region):C(condition),matched_sweep_delta_of_delta,3,CONTROL_to_MFA_BA,-3.990999145410461,,,False,decrease
primary_continuous,rise_tau_s,C(region):C(condition),matched_sweep_delta_of_delta,3,CONTROL_to_MFA_BA,-0.7053130466694184,,,False,decrease
primary_continuous,plateau_slope_mV_per_s,C(region):C(condition),matched_sweep_delta_of_delta,3,CONTROL_to_MFA_BA,-0.07001038797728174,,,False,decrease
primary_continuous,decay_slope_mV_per_s,C(region):C(condition),matched_sweep_delta_of_delta,3,CONTROL_to_MFA_BA,-2.5392291287762596,,,False,decrease
primary_continuous,decay_tau_s,C(region):C(condition),matched_sweep_delta_of_delta,3,CONTROL_to_MFA_BA,0.07099161925295594,,,False,increase
primary_continuous,undershoot_magnitude_mV,C(region):C(condition),matched_sweep_delta_of_delta,3,CONTROL_to_MFA_BA,-0.03910017142856481,,,False,decrease
primary_continuous,return_slope_mV_per_s,C(region):C(condition),matched_sweep_delta_of_delta,3,CONTROL_to_MFA_BA,0.011364503740222184,,,False,increase
primary_continuous,peak_depolarization_mV,C(region):C(condition),matched_sweep_delta_of_delta,4,CONTROL_to_MFA,5.421954628571431,,,False,increase
primary_continuous,stim_end_depolarization_mV,C(region):C(condition),matched_sweep_delta_of_delta,4,CONTROL_to_MFA,5.192610714285717,,,False,increase
primary_continuous,rise_slope_mV_per_s,C(region):C(condition),matched_sweep_delta_of_delta,4,CONTROL_to_MFA,-4.155480988777665,,,False,decrease
primary_continuous,rise_tau_s,C(region):C(condition),matched_sweep_delta_of_delta,4,CONTROL_to_MFA,0.03396698157627981,,,False,increase
primary_continuous,plateau_slope_mV_per_s,C(region):C(condition),matched_sweep_delta_of_delta,4,CONTROL_to_MFA,0.00889784649611678,,,False,increase
primary_continuous,decay_slope_mV_per_s,C(region):C(condition),matched_sweep_delta_of_delta,4,CONTROL_to_MFA,-5.357102640214826,,,False,decrease
primary_continuous,decay_tau_s,C(region):C(condition),matched_sweep_delta_of_delta,4,CONTROL_to_MFA,0.204832481921138,,,False,increase
primary_continuous,undershoot_magnitude_mV,C(region):C(condition),matched_sweep_delta_of_delta,4,CONTROL_to_MFA,-0.7168176190476179,,,False,decrease
primary_continuous,return_slope_mV_per_s,C(region):C(condition),matched_sweep_delta_of_delta,4,CONTROL_to_MFA,0.5615725955673114,,,False,increase
primary_continuous,peak_depolarization_mV,C(region):C(condition),matched_sweep_delta_of_delta,4,MFA_to_MFA_BA,1.9533839047619033,,,False,increase
primary_continuous,stim_end_depolarization_mV,C(region):C(condition),matched_sweep_delta_of_delta,4,MFA_to_MFA_BA,2.08723333333333,,,False,increase
primary_continuous,rise_slope_mV_per_s,C(region):C(condition),matched_sweep_delta_of_delta,4,MFA_to_MFA_BA,-0.8768956930036866,,,False,decrease
primary_continuous,rise_tau_s,C(region):C(condition),matched_sweep_delta_of_delta,4,MFA_to_MFA_BA,-0.8858349397801732,,,False,decrease
primary_continuous,plateau_slope_mV_per_s,C(region):C(condition),matched_sweep_delta_of_delta,4,MFA_to_MFA_BA,-0.010225182926213577,,,False,decrease
primary_continuous,decay_slope_mV_per_s,C(region):C(condition),matched_sweep_delta_of_delta,4,MFA_to_MFA_BA,1.7817713200403746,,,False,increase
primary_continuous,decay_tau_s,C(region):C(condition),matched_sweep_delta_of_delta,4,MFA_to_MFA_BA,-0.12005541913650597,,,False,decrease
primary_continuous,undershoot_magnitude_mV,C(region):C(condition),matched_sweep_delta_of_delta,4,MFA_to_MFA_BA,0.061920476190475915,,,False,increase
primary_continuous,return_slope_mV_per_s,C(region):C(condition),matched_sweep_delta_of_delta,4,MFA_to_MFA_BA,-0.5769783989760261,,,False,decrease
primary_continuous,peak_depolarization_mV,C(region):C(condition),matched_sweep_delta_of_delta,4,CONTROL_to_MFA_BA,7.375338533333334,,,False,increase
primary_continuous,stim_end_depolarization_mV,C(region):C(condition),matched_sweep_delta_of_delta,4,CONTROL_to_MFA_BA,7.279844047619047,,,False,increase
primary_continuous,rise_slope_mV_per_s,C(region):C(condition),matched_sweep_delta_of_delta,4,CONTROL_to_MFA_BA,-5.032376681781349,,,False,decrease
primary_continuous,rise_tau_s,C(region):C(condition),matched_sweep_delta_of_delta,4,CONTROL_to_MFA_BA,-0.8518679582038933,,,False,decrease
primary_continuous,plateau_slope_mV_per_s,C(region):C(condition),matched_sweep_delta_of_delta,4,CONTROL_to_MFA_BA,-0.0013273364300968038,,,False,decrease
primary_continuous,decay_slope_mV_per_s,C(region):C(condition),matched_sweep_delta_of_delta,4,CONTROL_to_MFA_BA,-3.5753313201744508,,,False,decrease
primary_continuous,decay_tau_s,C(region):C(condition),matched_sweep_delta_of_delta,4,CONTROL_to_MFA_BA,0.0847770627846321,,,False,increase
primary_continuous,undershoot_magnitude_mV,C(region):C(condition),matched_sweep_delta_of_delta,4,CONTROL_to_MFA_BA,-0.654897142857142,,,False,decrease
primary_continuous,return_slope_mV_per_s,C(region):C(condition),matched_sweep_delta_of_delta,4,CONTROL_to_MFA_BA,-0.015405803408714697,,,False,decrease
primary_continuous,peak_depolarization_mV,C(region):C(condition),matched_sweep_delta_of_delta,5,CONTROL_to_MFA,6.639516561904763,,,False,increase
primary_continuous,stim_end_depolarization_mV,C(region):C(condition),matched_sweep_delta_of_delta,5,CONTROL_to_MFA,6.07701309523809,,,False,increase
primary_continuous,rise_slope_mV_per_s,C(region):C(condition),matched_sweep_delta_of_delta,5,CONTROL_to_MFA,-4.313053858610827,,,False,decrease
primary_continuous,rise_tau_s,C(region):C(condition),matched_sweep_delta_of_delta,5,CONTROL_to_MFA,0.04126369899080323,,,False,increase
primary_continuous,plateau_slope_mV_per_s,C(region):C(condition),matched_sweep_delta_of_delta,5,CONTROL_to_MFA,-0.004528932702653032,,,False,decrease
primary_continuous,decay_slope_mV_per_s,C(region):C(condition),matched_sweep_delta_of_delta,5,CONTROL_to_MFA,-5.103561377457607,,,False,decrease
primary_continuous,decay_tau_s,C(region):C(condition),matched_sweep_delta_of_delta,5,CONTROL_to_MFA,0.21441716213289186,,,False,increase
primary_continuous,undershoot_magnitude_mV,C(region):C(condition),matched_sweep_delta_of_delta,5,CONTROL_to_MFA,-0.1224612857142966,,,False,decrease
primary_continuous,return_slope_mV_per_s,C(region):C(condition),matched_sweep_delta_of_delta,5,CONTROL_to_MFA,0.027117119915524186,,,False,increase
primary_continuous,peak_depolarization_mV,C(region):C(condition),matched_sweep_delta_of_delta,5,MFA_to_MFA_BA,1.3330698857142842,,,False,increase
primary_continuous,stim_end_depolarization_mV,C(region):C(condition),matched_sweep_delta_of_delta,5,MFA_to_MFA_BA,1.844930952380956,,,False,increase
primary_continuous,rise_slope_mV_per_s,C(region):C(condition),matched_sweep_delta_of_delta,5,MFA_to_MFA_BA,-0.35342085963236514,,,False,decrease
primary_continuous,rise_tau_s,C(region):C(condition),matched_sweep_delta_of_delta,5,MFA_to_MFA_BA,-1.1091662133449978,,,False,decrease
primary_continuous,plateau_slope_mV_per_s,C(region):C(condition),matched_sweep_delta_of_delta,5,MFA_to_MFA_BA,-0.04943299293664199,,,False,decrease
primary_continuous,decay_slope_mV_per_s,C(region):C(condition),matched_sweep_delta_of_delta,5,MFA_to_MFA_BA,2.2825140649325473,,,False,increase
primary_continuous,decay_tau_s,C(region):C(condition),matched_sweep_delta_of_delta,5,MFA_to_MFA_BA,-0.1374449464040346,,,False,decrease
primary_continuous,undershoot_magnitude_mV,C(region):C(condition),matched_sweep_delta_of_delta,5,MFA_to_MFA_BA,0.45736638095238913,,,False,increase
primary_continuous,return_slope_mV_per_s,C(region):C(condition),matched_sweep_delta_of_delta,5,MFA_to_MFA_BA,-0.1513594321929159,,,False,decrease
primary_continuous,peak_depolarization_mV,C(region):C(condition),matched_sweep_delta_of_delta,5,CONTROL_to_MFA_BA,7.972586447619047,,,False,increase
