file_id,file,region,condition,sweep,group_label,cell_label,step_source,stim_onset_s,stim_offset_s,baseline_mV,baseline_window_start_s,baseline_window_end_s,peak_t_s,peak_mV,peak_depolarization_mV,stim_end_level_mV,stim_end_depolarization_mV,stim_end_window_start_s,stim_end_window_end_s,stim_end_window_center_s,plateau_reached,plateau_level_mV,plateau_slope_mV_per_s,plateau_window_start_s,plateau_window_end_s,plateau_window_center_s,rise_t20_s,rise_t63_s,rise_t80_s,rise_y20_mV,rise_y63_mV,rise_y80_mV,rise_slope_mV_per_s,rise_tau_s,undershoot_min_t_s,undershoot_min_mV,undershoot_signed_mV,has_undershoot,undershoot_magnitude_mV,post_min_above_baseline_mV,decay_start_level_mV,decay_t80_s,decay_t63_s,decay_t20_s,decay_y80_mV,decay_y63_mV,decay_y20_mV,decay_slope_mV_per_s,decay_tau_s,final_t_s,final_mV,final_window_start_s,final_window_end_s,return_slope_mV_per_s,n_artifact_points_total,contract_region,contract_condition
1_DH_1_CONTROL,1_DH_1_CONTROL.atf,DH,CONTROL,1,DH_control,1_DH_1_CONTROL,IP_curr,11.166,31.116,-60.3638,6.166,10.165,15.649,-53.077388,7.286411999999999,-53.6194,6.744399999999999,30.116,31.116,30.616,True,-53.605944,-0.03397525066239416,28.116,31.116,29.616,11.177656358246217,11.411099177723178,11.664032441288915,-58.9065176,-55.758787616,-54.534670399999996,8.988614679920852,0.24509917772317813,33.76,-61.685788,-1.3219880000000046,True,1.3219880000000046,0.0,-53.6194,31.1742195974411,31.38921043364282,31.62813398907104,-55.2326776,-58.717357216,-60.0725104,10.662435228415804,0.27321043364282005,72.749,-60.4248,72.499,72.999,0.03234214778527289,0,DH,CONTROL
1_DH_1_CONTROL,1_DH_1_CONTROL.atf,DH,CONTROL,2,DH_control,1_DH_1_CONTROL,IP_curr,11.166,31.116,-60.5164,6.166,10.165,14.04,-49.87059199999999,10.64580800000001,-50.5981,9.918299999999995,30.116,31.116,30.616,True,-50.598132000000014,-0.03175328594576785,28.116,31.116,29.616,11.178805614418351,11.400808831460676,11.633556749672346,-58.387238399999994,-53.78824934399999,-51.99975359999999,14.046110729184589,0.23480883146067555,34.39,-62.426748,-1.9103480000000062,True,1.9103480000000062,0.0,-50.5981,31.174644371630905,31.406563868900218,31.661831021299836,-52.963829600000004,-58.073805536,-60.0610184,14.567699679009898,0.2905638689002181,72.749,-60.852,72.499,72.999,0.041052895018118485,0,DH,CONTROL
1_DH_1_CONTROL,1_DH_1_CONTROL.atf,DH,CONTROL,3,DH_control,1_DH_1_CONTROL,IP_curr,11.166,31.116,-60.8826,6.166,10.165,14.541,-46.843264,14.039335999999999,-47.6074,13.275199999999998,30.116,31.116,30.616,True,-47.623279999999994,-0.010774498355311765,28.116,31.116,29.616,11.17739456521739,11.380468074276353,11.604795849262699,-58.0747328,-52.00973964799999,-49.651131199999995,19.70888229504484,0.21446807427635228,34.383,-63.19703200000003,-2.314432000000032,True,2.314432000000032,0.0,-47.6074,31.171469486358788,31.40168920152922,31.67880087383943,-50.72532640000001,-57.46004742400002,-60.07910560000002,18.43721762702272,0.2856892015292196,72.749,-61.3708,72.499,72.999,0.04760027107334688,0,DH,CONTROL
1_DH_1_CONTROL,1_DH_1_CONTROL.atf,DH,CONTROL,4,DH_control,1_DH_1_CONTROL,IP_curr,11.166,31.116,-61.2793,6.166,10.165,13.452,-44.2871,16.992199999999997,-45.1355,16.1438,30.116,31.116,30.616,True,-45.148923999999994,-0.014989920559902207,28.116,31.116,29.616,11.177612210779724,11.367428796154687,11.581400393184795,-57.88086,-50.5402296,-47.68554,25.249178763167183,0.201428796154687,34.315,-63.77561999999999,-2.49631999999999,True,2.49631999999999,0.0,-45.1355,31.170490233873043,31.39877582696089,31.644888605751728,-48.863524,-56.91605583999999,-60.04759599999999,23.575274838548616,0.28277582696089,72.749,-61.9507,72.499,72.999,0.04748191705260946,0,DH,CONTROL
1_DH_1_CONTROL,1_DH_1_CONTROL.atf,DH,CONTROL,5,DH_control,1_DH_1_CONTROL,IP_curr,11.166,31.116,-62.0117,6.166,10.165,14.293,-42.073964000000004,19.937735999999994,-42.3889,19.622799999999998,30.116,31.116,30.616,True,-42.39622399999999,-0.01614014778551554,28.116,31.116,29.616,11.174526885478674,11.355561071545603,11.565700218459858,-58.024152799999996,-49.411050848,-46.0615112,30.58143434479827,0.18956107154560264,34.759,-64.775376,-2.7636759999999967,True,2.7636759999999967,0.0,-42.3889,31.167961126760563,31.40679104460222,31.70831329588015,-46.8661952,-56.537152832,-60.298080799999994,24.85765093140093,0.2907910446022193,72.749,-62.2559,72.499,72.999,0.06631945248749666,0,DH,CONTROL
1_DH_1_CONTROL,1_DH_1_CONTROL.atf,DH,CONTROL,6,DH_control,1_DH_1_CONTROL,IP_curr,11.166,31.116,-62.1643,6.166,10.165,13.958,-39.621556,22.542744,-40.0085,22.1558,30.116,31.116,30.616,True,-40.00855199999999,-0.007296870142997173,28.116,31.116,29.616,11.172290999617005,11.34227134885325,11.542601370271075,-57.6557512,-47.917285792,-44.1301048,36.525162328319226,0.17627134885325013,34.662,-64.90234000000001,-2.7380400000000122,True,2.7380400000000122,0.0,-40.0085,31.165718989482585,31.41116035574973,31.71193301783764,-44.987268,-55.74140688000001,-59.92357200000001,27.34514901600247,0.2951603557497293,72.749,-62.9883,72.499,72.999,0.05025441751778841,0,DH,CONTROL
1_DH_2_CONTROL,1_DH_2_CONTROL.atf,DH,CONTROL,1,DH_control,1_DH_2_CONTROL,IP_curr,21.153,41.129,-64.27,16.153,20.152,23.536,-56.667472000000004,7.602527999999992,-57.6477,6.622299999999996,40.129,41.129,40.629,True,-57.644036,-0.022879563162265894,38.129,41.129,39.629,21.19114516657564,21.406819412844037,21.62413508196721,-62.749494399999996,-59.465202304,-58.1879776,10.53492619077476,0.2538194128440381,43.373,-66.00095999999999,-1.730959999999996,True,1.730959999999996,0.0,-57.6477,41.18159096737427,41.39379359912616,41.62080021834061,-59.318352,-62.92696031999999,-64.33030799999999,11.411317017965244,0.26479359912616474,72.749,-65.1245,72.499,72.999,0.029835920479302645,0,DH,CONTROL
1_DH_2_CONTROL,1_DH_2_CONTROL.atf,DH,CONTROL,2,DH_control,1_DH_2_CONTROL,IP_curr,21.153,41.129,-65.155,16.153,20.152,23.786,-54.083243999999986,11.071756000000015,-54.9927,10.162300000000002,40.129,41.129,40.629,True,-54.986596000000006,-0.005056652506460842,38.129,41.129,39.629,21.18596926070039,21.380924786369594,21.601570987365466,-62.9406488,-58.15765020799999,-56.29759519999999,15.984181907293848,0.227924786369595,43.177,-67.17651200000002,-2.0215120000000155,True,2.0215120000000155,0.0,-54.9927,41.18211510825044,41.40850075229358,41.64736091803279,-57.429462400000006,-62.69286918400001,-64.73974960000001,15.712741622369384,0.27950075229357907,72.749,-65.7959,72.499,72.999,0.046686460165021426,0,DH,CONTROL
1_DH_2_CONTROL,1_DH_2_CONTROL.atf,DH,CONTROL,3,DH_control,1_DH_2_CONTROL,IP_curr,21.153,41.129,-65.6128,16.153,20.152,23.694,-51.28416,14.328639999999993,-51.9714,13.64139999999999,40.129,41.129,40.629,True,-51.98118,0.066871684102638,38.129,41.129,39.629,21.1838397640698,21.369285636426355,21.560281782437745,-62.747071999999996,-56.557099519999994,-54.149888,22.83800314660102,0.21628563642635612,43.425,-67.57322400000001,-1.9604240000000175,True,1.9604240000000175,0.0,-51.9714,41.18026106536716,41.4097582542595,41.65025540477305,-55.09176480000001,-61.83175276800001,-64.4528592,19.91746200993238,0.28075825425950285,72.749,-66.3757,72.499,72.999,0.040837675624062736,0,DH,CONTROL
1_DH_2_CONTROL,1_DH_2_CONTROL.atf,DH,CONTROL,4,DH_control,1_DH_2_CONTROL,IP_curr,21.153,41.129,-66.1011,16.153,20.152,23.837,-48.872064,17.229036,-49.7436,16.3575,40.129,41.129,40.629,True,-49.74974000000001,-0.025468337428718676,38.129,41.129,39.629,21.18165566550888,21.354802045871562,21.542839580602884,-62.655292800000005,-55.212349248,-52.3178712,28.620935672923174,0.20180204587156325,44.983,-69.01854,-2.917439999999999,True,2.917439999999999,0.0,-49.7436,41.17814808617444,41.42568120131052,41.69148936170213,-53.598588,-61.92536208,-65.16355200000001,22.5288020880684,0.2966812013105198,72.749,-66.9861,72.499,72.999,0.0731988763235615,0,DH,CONTROL
