group,sweep,feature,n,mean,median,std,min,q1,q3,max,iqr,ci95_low,ci95_high,acceptable_low_q1,acceptable_high_q3,acceptable_low_ci95,acceptable_high_ci95
T,2,rise_tau_s,5,0.2452,0.235,0.0187,0.228,0.232,0.264,0.267,0.032,0.2219,0.2685,0.232,0.264,0.2219,0.2685
VH,2,rise_tau_s,4,0.432,0.431,0.0166,0.416,0.419,0.444,0.45,0.025,0.4056,0.4584,0.419,0.444,0.4056,0.4584
pooled,2,plateau_slope_mV_per_s,9,-0.0265,-0.0286,0.0369,-0.0918,-0.0409,-0.0068,0.0396,0.0341,-0.0549,0.0018,-0.0409,-0.0068,-0.0549,0.0018
T,2,plateau_slope_mV_per_s,5,-0.0385,-0.0409,0.0377,-0.0918,-0.0546,-0.0068,0.0014,0.0478,-0.0854,0.0083,-0.0546,-0.0068,-0.0854,0.0083
VH,2,plateau_slope_mV_per_s,4,-0.0116,-0.0254,0.0345,-0.0351,-0.0302,-0.0067,0.0396,0.0235,-0.0665,0.0434,-0.0302,-0.0067,-0.0665,0.0434
pooled,2,decay_slope_mV_per_s,9,12.503,11.347,4.5421,6.5903,9.5897,15.6952,18.7274,6.1055,9.0116,15.9943,9.5897,15.6952,9.0116,15.9943
T,2,decay_slope_mV_per_s,5,15.7344,15.6952,3.012,11.347,14.5732,18.329,18.7274,3.7557,11.9944,19.4743,14.5732,18.329,11.9944,19.4743
VH,2,decay_slope_mV_per_s,4,8.4637,8.3312,1.9395,6.5903,6.9521,9.8428,10.6022,2.8907,5.3775,11.55,6.9521,9.8428,5.3775,11.55
pooled,2,decay_tau_s,9,0.2973,0.291,0.0784,0.2,0.227,0.342,0.439,0.115,0.2371,0.3576,0.227,0.342,0.2371,0.3576
T,2,decay_tau_s,5,0.2438,0.227,0.0396,0.2,0.221,0.28,0.291,0.059,0.1947,0.2929,0.221,0.28,0.1947,0.2929
VH,2,decay_tau_s,4,0.3642,0.36,0.0596,0.298,0.331,0.3933,0.439,0.0623,0.2694,0.4591,0.331,0.3933,0.2694,0.4591
pooled,2,undershoot_magnitude_mV,9,1.4805,1.3781,0.5527,0.6664,0.9758,2.0215,2.085,1.0457,1.0556,1.9053,0.9758,2.0215,1.0556,1.9053
T,2,undershoot_magnitude_mV,5,1.7466,2.0215,0.6073,0.6664,1.9103,2.0496,2.085,0.1392,0.9925,2.5007,1.9103,2.0496,0.9925,2.5007
VH,2,undershoot_magnitude_mV,4,1.1479,1.152,0.2395,0.9092,0.9592,1.3407,1.3781,0.3815,0.7667,1.529,0.9592,1.3407,0.7667,1.529
pooled,2,return_slope_mV_per_s,9,0.0429,0.0423,0.0114,0.0216,0.0386,0.0472,0.0604,0.0086,0.0341,0.0516,0.0386,0.0472,0.0341,0.0516
T,2,return_slope_mV_per_s,5,0.0453,0.0472,0.0154,0.0216,0.0408,0.0567,0.0604,0.0159,0.0263,0.0644,0.0408,0.0567,0.0263,0.0644
VH,2,return_slope_mV_per_s,4,0.0398,0.0404,0.0031,0.036,0.0379,0.0423,0.0424,0.0043,0.0349,0.0447,0.0379,0.0423,0.0349,0.0447
pooled,3,peak_depolarization_mV,9,13.865,14.0393,1.7556,11.2097,13.0976,14.8506,16.7053,1.753,12.5155,15.2145,13.0976,14.8506,12.5155,15.2145
T,3,peak_depolarization_mV,5,14.3718,14.3286,2.062,11.2097,14.0393,15.5762,16.7053,1.5369,11.8116,16.9321,14.0393,15.5762,11.8116,16.9321
VH,3,peak_depolarization_mV,4,13.2314,13.1499,1.2598,11.7753,12.767,13.6143,14.8506,0.8473,11.2269,15.236,12.767,13.6143,11.2269,15.236
pooled,3,rise_slope_mV_per_s,9,16.4606,16.5661,5.42,9.8647,11.8352,21.5339,22.9363,9.6987,12.2944,20.6268,11.8352,21.5339,12.2944,20.6268
T,3,rise_slope_mV_per_s,5,20.7136,21.5339,2.6532,16.5661,19.7274,22.8042,22.9363,3.0768,17.4192,24.008,19.7274,22.8042,17.4192,24.008
VH,3,rise_slope_mV_per_s,4,11.1443,11.27,1.0591,9.8647,10.4948,11.9196,12.1726,1.4248,9.459,12.8297,10.4948,11.9196,9.459,12.8297
pooled,3,rise_tau_s,9,0.2986,0.247,0.089,0.215,0.223,0.391,0.428,0.168,0.2301,0.367,0.223,0.391,0.2301,0.367
T,3,rise_tau_s,5,0.2268,0.223,0.0131,0.215,0.217,0.232,0.247,0.015,0.2106,0.243,0.217,0.232,0.2106,0.243
VH,3,rise_tau_s,4,0.3882,0.396,0.04,0.333,0.3765,0.4077,0.428,0.0312,0.3246,0.4519,0.3765,0.4077,0.3246,0.4519
pooled,3,plateau_slope_mV_per_s,9,-0.0249,-0.0294,0.0287,-0.0639,-0.0457,0.0088,0.0136,0.0545,-0.0469,-0.0028,-0.0457,0.0088,-0.0469,-0.0028
T,3,plateau_slope_mV_per_s,5,-0.0267,-0.0457,0.0359,-0.0639,-0.0478,0.0101,0.0136,0.0579,-0.0714,0.0179,-0.0478,0.0101,-0.0714,0.0179
VH,3,plateau_slope_mV_per_s,4,-0.0225,-0.0294,0.0215,-0.0402,-0.0321,-0.0198,0.0088,0.0123,-0.0567,0.0117,-0.0321,-0.0198,-0.0567,0.0117
pooled,3,decay_slope_mV_per_s,9,16.6598,14.0703,6.0925,9.9394,12.6464,19.9047,27.997,7.2583,11.9767,21.3429,12.6464,19.9047,11.9767,21.3429
T,3,decay_slope_mV_per_s,5,20.5608,19.9047,5.3543,13.5845,18.3942,22.9234,27.997,4.5292,13.9126,27.209,18.3942,22.9234,13.9126,27.209
VH,3,decay_slope_mV_per_s,4,11.7836,11.5624,1.9217,9.9394,10.3436,13.0024,14.0703,2.6589,8.7258,14.8415,10.3436,13.0024,8.7258,14.8415
pooled,3,decay_tau_s,9,0.3026,0.287,0.0773,0.176,0.259,0.341,0.425,0.082,0.2431,0.362,0.259,0.341,0.2431,0.362
T,3,decay_tau_s,5,0.2478,0.259,0.0451,0.176,0.235,0.282,0.287,0.047,0.1918,0.3038,0.235,0.282,0.1918,0.3038
VH,3,decay_tau_s,4,0.371,0.365,0.0444,0.329,0.338,0.398,0.425,0.06,0.3004,0.4416,0.338,0.398,0.3004,0.4416
pooled,3,undershoot_magnitude_mV,9,1.5029,1.6032,0.7674,0.3138,0.7726,1.9604,2.5573,1.1878,0.913,2.0927,0.7726,1.9604,0.913,2.0927
T,3,undershoot_magnitude_mV,5,1.7976,1.9604,0.8767,0.3138,1.8421,2.3144,2.5573,0.4724,0.709,2.8862,1.8421,2.3144,0.709,2.8862
