file_id,region,condition,candidate_id,fit_scope,seed_source,provenance_status,start_label,optimizer_backend,optimization_config_hash,optimizer_status,optimizer_success,optimizer_cost,optimizer_nfev,gki,eps,gl_a,zth,zs,P_gap_eff,gamma_t_eff,gamma_s_eff,volume_ratio_wa_wo,n_sweeps_scored,n_failures,mean_trace_rmse_mV,mean_trace_objective_loss,mean_weighted_pass_fraction,mean_feature_loss,mean_binary_penalty,objective_trace,objective_feature,objective_binary,objective_prior,objective_hidden,objective_fail,scalar_objective,accepted_by_trace,accepted_by_feature_contract,eligible_by_contract,hybrid_stage,optuna_trial_number,optuna_objective_names,optuna_objective_values,pareto_front,hybrid_parent_trial_number,ensemble_rank,accepted_all6,holdout_mean_rmse_mV,holdout_mean_pass_fraction,P_gap_eff_effective_plausible,gamma_t_eff_effective_plausible,gamma_s_eff_effective_plausible,volume_ratio_wa_wo_effective_plausible,effective_plausible,effective_selection_quality_order,effective_selection_quality_score,effective_diverse_selected,effective_selection_strategy,effective_selection_rank,effective_selection_target_k,effective_selection_distance_threshold,effective_selection_min_distance_to_previous
1_DH_1_CONTROL,DH,CONTROL,1_DH_1_CONTROL__hybrid_optuna_087,all6,hybrid_optuna,generic_seed,trial_11,hybrid,e61866f5553ad5be,1,True,1.5629311697987207,1,7.803414098002051,0.0938101988343727,0.5689196370496582,42.60574746854843,0.0014481044846482,1.1996661220636652e-08,0.0009639219104777,1.3822108483323732e-06,0.2273680004427412,6,0,7.598614341672754,3347.303148393292,0.3592140714053211,0.640785928594679,0.5,3347.303148393292,0.640785928594679,0.5,216.242339910852,0.0,0.0,3348.4439343218864,True,True,True,optuna_seeded,11.0,"[""scalar""]",[1.5629311697987207],False,,1,True,7.581328705455518,0.3596089913772268,True,True,True,True,True,1,1.0,True,quality_filtered_effective_maximin,1,3,0.5,
1_DH_1_CONTROL,DH,CONTROL,1_DH_1_CONTROL__hybrid_optuna_098,all6,hybrid_optuna,generic_seed,trial_83,hybrid,e61866f5553ad5be,1,True,2.022819130663034,1,2.015568194438911,2.7115959943633915e-05,5.878784859472056e-05,126.20927675524231,0.0017064723167788,2.1484198879011832e-08,1.0088571442840538e-08,4.5165475071932483e-08,0.0678458449682687,6,0,14.892764364375594,10836.281130689196,0.3045566673578326,0.6954433326421675,0.5,10836.281130689196,0.6954433326421675,0.5,1795.517008670026,0.0,0.0,10837.47657402184,True,True,True,optuna_seeded,83.0,"[""scalar""]",[2.022819130663034],False,,2,True,14.892764364375594,0.3045566673578326,True,True,True,True,True,2,0.0,True,quality_filtered_effective_maximin,2,3,0.5,5.229713110370127
1_DH_2_CONTROL,DH,CONTROL,1_DH_2_CONTROL__hybrid_optuna_098,all6,hybrid_optuna,generic_seed,trial_11,hybrid,e61866f5553ad5be,1,True,2.000582995863532,1,8.398289370604866,0.0914625650009477,0.5689196370496582,39.54769662003882,0.0012772372965928,1.1996661220636652e-08,0.0009639219104777,5.117854716429417e-07,0.255012047149372,6,0,13.977227693028652,10382.119784305409,0.3592629870825042,0.6407370129174957,0.5833333333333334,10382.119784305409,0.6407370129174957,0.5833333333333334,189.4445994189905,0.0,0.0,10383.34385465166,True,True,True,optuna_seeded,11.0,"[""scalar""]",[2.000582995863532],False,,1,True,13.982361406690702,0.3593400005006864,True,True,True,True,True,1,1.0,True,quality_filtered_effective_maximin,1,3,0.5,
1_DH_2_CONTROL,DH,CONTROL,1_DH_2_CONTROL__hybrid_optuna_068,all6,hybrid_optuna,generic_seed,trial_69,hybrid,e61866f5553ad5be,1,True,1.6286395053187803,1,2.5020370797229115,2.7749481296918367e-05,0.0002703393093465,80.03438859552863,0.0041432483021359,2.2841321209132905e-07,3.8946679819811723e-07,0.0030184415917358,1.0997984024979517,6,0,6.23927352382056,2665.975436800621,0.3013201348934729,0.6986798651065271,0.5833333333333334,2665.975436800621,0.6986798651065271,0.5833333333333334,723.0146010803692,0.0,0.0,2667.257449999061,True,True,True,optuna_seeded,69.0,"[""scalar""]",[1.6286395053187803],False,,4,True,6.23927352382056,0.3013201348934729,True,True,True,True,True,3,0.0,True,quality_filtered_effective_maximin,2,3,0.5,5.270190584920884
1_DH_2_CONTROL,DH,CONTROL,1_DH_2_CONTROL__hybrid_optuna_066,all6,hybrid_optuna,generic_seed,trial_96,hybrid,e61866f5553ad5be,1,True,1.6119816742278092,1,1.9009706283367904,3.902985307582861e-05,0.0015884676787605,139.9171201077349,10.21792859882267,1.991600130066668e-08,1.1498294176561468e-05,0.0290154667530075,3.517490838704276,6,0,5.960267419691559,2554.206042500407,0.3024776268661662,0.6975223731338337,0.5833333333333334,2554.206042500407,0.6975223731338337,0.5833333333333334,2189.4428610922405,0.0,0.0,2555.4868982068742,True,True,True,optuna_seeded,96.0,"[""scalar""]",[1.6119816742278092],False,,3,True,5.960267419691559,0.3024776268661662,True,True,True,True,True,2,0.5,True,quality_filtered_effective_maximin,3,3,0.5,2.122473025223047
1_VH_1_CONTROL,VH,CONTROL,1_VH_1_CONTROL__hybrid_optuna_004,all6,hybrid_optuna,generic_seed,trial_83,hybrid,e61866f5553ad5be,1,True,1.0498594950802709,1,445.5431360607459,1.3196689083822055e-05,0.0005187487774732,114.88134481388728,6.753923018052537,1.9320979798396146e-07,6.884733072151251e-05,0.0446888001496297,1.918939695528853,6,0,6.460123378392464,2576.483331885334,0.3090362481637552,0.6909637518362448,0.0,2576.483331885334,0.6909637518362448,0.0,1479.5540110321608,0.0,0.0,2577.17429563717,True,True,True,optuna_seeded,83.0,"[""scalar""]",[1.0498594950802707],False,,1,True,6.452548930367247,0.3093203980865881,True,True,True,True,True,1,1.0,True,quality_filtered_effective_maximin,1,3,0.5,
1_VH_1_CONTROL,VH,CONTROL,1_VH_1_CONTROL__hybrid_optuna_075,all6,hybrid_optuna,generic_seed,trial_98,hybrid,e61866f5553ad5be,1,True,1.554127407662211,1,143.22040626921884,0.0016996045418186,0.0008315228218404,134.2308072747584,42.18642553497333,5.49211866925995e-07,5.745832666514891e-05,0.0309612832337943,0.3401260500078757,6,0,15.488587614508049,11708.999361211876,0.3063496820326807,0.6936503179673194,0.0,11708.999361211876,0.6936503179673194,0.0,2009.705321612116,0.0,0.0,11709.693011529844,True,True,True,optuna_seeded,98.0,"[""scalar""]",[1.554127407662211],False,,2,True,15.488587614508049,0.3063496820326807,True,True,True,True,True,2,0.6666666666666667,True,quality_filtered_effective_maximin,2,3,0.5,0.895576428332991
1_VH_1_CONTROL,VH,CONTROL,1_VH_1_CONTROL__hybrid_optuna_002,all6,hybrid_optuna,generic_seed,trial_97,hybrid,e61866f5553ad5be,1,True,1.046163223491428,1,255.23517712974785,1.3069457276568109e-05,0.0011505535491928,136.28429181006652,4.965085659566062,5.898332582682037e-07,6.132367372018215e-05,0.03422334795647,0.4968427812563468,6,0,6.337149283589009,2523.315034249972,0.3059006255968503,0.6940993744031498,0.0,2523.315034249972,0.6940993744031498,0.0,2073.174345270676,0.0,0.0,2524.009133624375,True,True,True,optuna_seeded,97.0,"[""scalar""]",[1.046163223491428],False,,3,True,6.337149283589009,0.3059006255968503,True,True,True,True,True,3,0.33333333333333337,True,quality_filtered_effective_maximin,3,3,0.5,0.17532444306561368
1_VH_2_CONTROL,VH,CONTROL,1_VH_2_CONTROL__hybrid_optuna_001,all6,hybrid_optuna,generic_seed,trial_84,hybrid,e61866f5553ad5be,1,True,1.0800049030197945,1,465.1394396985535,1.3245741639513492e-05,2.775233117002261e-05,110.73281908446084,0.0040695538573754,2.428889058492891e-06,5.419739585354233e-06,0.0013623132320298,1.3179978430534545,6,0,6.896416818472869,2905.361559872998,0.3864626980064761,0.613537301993524,0.0833333333333333,2905.361559872998,0.613537301993524,0.0833333333333333,1370.4509936142829,0.0,0.0,2906.058430508325,True,True,True,optuna_seeded,84.0,"[""scalar""]",[1.0800049030197945],False,,2,True,6.896416818472869,0.3864626980064761,True,True,True,True,True,1,1.0,True,quality_filtered_effective_maximin,1,3,0.5,
1_VH_2_CONTROL,VH,CONTROL,1_VH_2_CONTROL__hybrid_optuna_008,all6,hybrid_optuna,generic_seed,trial_98,hybrid,e61866f5553ad5be,1,True,1.158455622606586,1,227.8979467079065,1.7257717208912324e-05,4.237794035449504e-05,148.3173990946171,0.0071273453237887,1.3111175148436072e-05,4.084185779440405e-06,0.0002139420434958,0.5631771087965701,6,0,6.966742769067452,2958.50622692061,0.3119189756749391,0.688081024325061,0.0833333333333333,2958.50622692061,0.688081024325061,0.0833333333333333,2447.349694473615,0.0,0.0,2959.2776412782687,True,True,True,optuna_seeded,98.0,"[""scalar""]",[1.158455622606586],False,,6,True,6.966742769067452,0.3119189756749391,True,True,True,True,True,5,0.6666666666666667,True,quality_filtered_effective_maximin,2,3,0.5,1.154993333144734
