file_id,region,condition,candidate_id,fit_scope,seed_source,provenance_status,start_label,optimizer_backend,optimization_config_hash,optimizer_status,optimizer_success,optimizer_cost,optimizer_nfev,gki,eps,gl_a,zth,zs,P_gap_eff,gamma_t_eff,gamma_s_eff,volume_ratio_wa_wo,n_sweeps_scored,n_failures,mean_trace_rmse_mV,mean_trace_objective_loss,mean_weighted_pass_fraction,mean_feature_loss,mean_binary_penalty,objective_trace,objective_feature,objective_binary,objective_prior,objective_hidden,objective_fail,scalar_objective,optuna_trial_number,optuna_objective_names,optuna_objective_values,pareto_front,accepted_by_trace,accepted_by_feature_contract,eligible_by_contract,ensemble_rank,accepted_all6,holdout_mean_rmse_mV,holdout_mean_pass_fraction
1_DH_1_CONTROL,DH,CONTROL,1_DH_1_CONTROL__cand_21,all6,optuna,generic_seed,trial_7,optuna_scalar,7ba4070bce232982,1,True,2.0140917451548814,1,127.51490350814456,1.9870215385428627e-05,16.53499964207631,115.83671539449861,0.008585370205937366,1.3820379228636985e-06,4.848496183873288e-07,6.293215187893856e-05,0.10549718540970579,6,0,14.628337995682832,5632.154356532167,0.2985936990497204,0.7014063009502797,0.5,5632.154356532167,0.7014063009502797,0.5,1501.3648612345976,0.0,0.0,5633.355762833117,7,"[""scalar""]",[2.0140917451548814],False,True,False,False,1,False,14.628337995682832,0.2985936990497204
1_DH_1_CONTROL,DH,CONTROL,1_DH_1_CONTROL__cand_20,all6,optuna,generic_seed,trial_8,optuna_scalar,7ba4070bce232982,1,True,2.007835437867466,1,102.98667678718591,1.97778285124627e-05,0.0018142758011323245,17.380358928769457,11.368341439732731,1.0792764548678448e-08,0.0007812113973534924,0.0008871588860587604,2.3792351374552054,6,0,14.346691842717773,5262.245463589147,0.2892029978390769,0.7107970021609232,0.5,5262.245463589147,0.7107970021609232,0.5,51.938301404021985,0.0,0.0,5263.456260591308,8,"[""scalar""]",[2.007835437867466],False,True,False,False,2,False,14.346691842717773,0.2892029978390769
1_DH_1_CONTROL,DH,CONTROL,1_DH_1_CONTROL__cand_13,all6,optuna,generic_seed,trial_6,optuna_scalar,7ba4070bce232982,1,True,1.9563413064962694,1,0.6833636457728108,0.0002001342062287998,0.002812336354732794,40.70235476608438,7.838134236608707,3.8672288491177506e-05,0.0033981724150106006,4.163394022669367e-08,0.1412317854195245,6,0,13.402996017520252,4715.499221314564,0.288269583365967,0.7117304166340331,0.5,4715.499221314564,0.7117304166340331,0.5,198.01962651648148,0.0,0.0,4716.710951731198,6,"[""scalar""]",[1.9563413064962694],False,True,False,False,3,False,13.402996017520252,0.288269583365967
1_DH_1_CONTROL,DH,CONTROL,1_DH_1_CONTROL__cand_01,all6,optuna,generic_seed,trial_19,optuna_scalar,7ba4070bce232982,1,True,0.7961721769729331,1,1.6675132417849785,0.0058043147174140705,0.002734204649129056,140.50949831051017,0.004427991632310154,1.2575549573395231e-08,1.1818390883060214e-05,3.8500859633153046e-07,1.5259206400445147,6,0,1.473956328369936,272.2608592158426,0.28571428571428564,0.7142857142857143,0.0,272.2608592158426,0.7142857142857143,0.0,2201.5251441748533,0.0,0.0,272.9751449301283,19,"[""scalar""]",[0.7961721769729331],False,True,False,False,4,False,1.473956328369936,0.28571428571428564
1_DH_1_CONTROL,DH,CONTROL,1_DH_1_CONTROL__cand_02,all6,optuna,generic_seed,trial_15,optuna_scalar,7ba4070bce232982,1,True,0.8041296097373004,1,411.44922866540793,0.07076022085822008,0.0003859115691469032,74.58727588385781,0.02593093358120754,8.693959087324279e-07,1.2964140540905067e-05,0.0008339359809165774,0.34331487971402325,6,0,1.6171901181285477,311.6015442519495,0.28571428571428564,0.7142857142857143,0.0,311.6015442519495,0.7142857142857143,0.0,620.5405876739798,0.0,0.0,312.31582996623524,15,"[""scalar""]",[0.8041296097373004],False,True,False,False,5,False,1.6171901181285477,0.28571428571428564
1_DH_1_CONTROL,DH,CONTROL,1_DH_1_CONTROL__cand_03,all6,optuna,generic_seed,trial_11,optuna_scalar,7ba4070bce232982,1,True,0.8042705454438652,1,16.775755113607403,0.04268407710065494,0.0003722183790870474,61.55743845534446,3.550684928871095,4.439648242927518e-08,1.543743400929221e-08,0.0002850183875843364,0.2644311088245752,6,0,1.6197269608467135,312.2848667687633,0.28571428571428564,0.7142857142857143,0.0,312.2848667687633,0.7142857142857143,0.0,435.5579361780068,0.0,0.0,312.99915248304904,11,"[""scalar""]",[0.8042705454438652],False,True,False,False,6,False,1.6197269608467135,0.28571428571428564
1_DH_1_CONTROL,DH,CONTROL,1_DH_1_CONTROL__cand_04,all6,optuna,generic_seed,trial_4,optuna_scalar,7ba4070bce232982,1,True,0.8993404280295297,1,1.1616751757695054,0.0009565499215943821,1.6469601954543077e-05,136.39806031181732,0.016443693426189242,6.724850206557239e-07,3.855073690026178e-08,0.0006160715952774536,0.514960710230099,6,0,3.330984847388675,658.6358737164255,0.28571428571428564,0.7142857142857143,0.0,658.6358737164255,0.7142857142857143,0.0,2076.4060783185105,0.0,0.0,659.3501594307112,4,"[""scalar""]",[0.8993404280295297],False,True,False,False,7,False,3.330984847388675,0.28571428571428564
1_DH_1_CONTROL,DH,CONTROL,1_DH_1_CONTROL__cand_05,all6,optuna,generic_seed,trial_23,optuna_scalar,7ba4070bce232982,1,True,0.9701374608986246,1,59.51899610125075,0.004053638704742309,0.0002588973743673101,106.82688320213038,0.01302645806434553,9.572174664864568e-05,1.0724313549547523e-08,1.3355383395895685e-07,0.9154253047714468,6,0,4.605331439032385,786.933154318438,0.28571428571428564,0.7142857142857143,0.0,786.933154318438,0.7142857142857143,0.0,1276.5130022251344,0.0,0.0,787.6474400327237,23,"[""scalar""]",[0.9701374608986246],False,True,False,False,8,False,4.605331439032385,0.28571428571428564
1_DH_1_CONTROL,DH,CONTROL,1_DH_1_CONTROL__cand_09,all6,optuna,generic_seed,trial_20,optuna_scalar,7ba4070bce232982,1,True,1.513473049063634,1,2.970262877850963,0.004364516946807792,1.4103977179343188,83.28012173991935,0.3081854850882137,1.112751289677193e-06,4.795579858030175e-08,0.02970676276086375,5.221005766034187,6,0,5.38537202600255,1163.8442244523887,0.28571428571428564,0.7142857142857143,0.5,1163.8442244523887,0.7142857142857143,0.5,782.2559316447891,0.0,0.0,1165.0585101666745,20,"[""scalar""]",[1.513473049063634],False,True,False,False,9,False,5.38537202600255,0.28571428571428564
1_DH_1_CONTROL,DH,CONTROL,1_DH_1_CONTROL__cand_06,all6,optuna,generic_seed,trial_2,optuna_scalar,7ba4070bce232982,1,True,1.0957800958417132,1,3.7618714422674273,0.0002920433847181409,0.0074767119751573555,117.77639420895204,0.008674832802525461,3.905441275210794e-06,5.589524205217922e-07,0.00019185373703841887,0.10470069436968715,6,0,6.866898868007978,1658.6509083648325,0.28571428571428564,0.7142857142857143,0.0,1658.6509083648325,0.7142857142857143,0.0,1542.3105924826207,0.0,0.0,1659.3651940791183,2,"[""scalar""]",[1.0957800958417132],False,True,False,False,10,False,6.866898868007978,0.28571428571428564
1_DH_1_CONTROL,DH,CONTROL,1_DH_1_CONTROL__cand_10,all6,optuna,generic_seed,trial_9,optuna_scalar,7ba4070bce232982,1,True,1.693792790745812,1,4.726285695536151,0.008287522363768155,0.10405638904344937,133.08191138644898,0.16554793541373172,5.492736444508447e-05,9.669146694016007e-07,2.7855339243890973e-08,0.2597464703550868,6,0,10.131127376281752,2793.5483912297373,0.28571428571428564,0.7142857142857143,0.4166666666666667,2793.5483912297373,0.7142857142857143,0.4166666666666667,1971.7360855344975,0.0,0.0,2794.6793436106896,9,"[""scalar""]",[1.693792790745812],False,True,False,False,11,False,10.131127376281752,0.28571428571428564
1_DH_1_CONTROL,DH,CONTROL,1_DH_1_CONTROL__cand_07,all6,optuna,generic_seed,trial_5,optuna_scalar,7ba4070bce232982,1,True,1.406283319927441,1,1.7928063051726981,0.07556810141274425,0.7658349297088648,140.92484123462836,16.023850290194936,9.44351568796269e-05,7.417652034871823e-07,4.369946783595573e-05,0.9056632724016693,6,0,12.455956901551078,4095.9372905098858,0.28571428571428564,0.7142857142857143,0.0,4095.9372905098858,0.7142857142857143,0.0,2209.4265924726005,0.0,0.0,4096.651576224172,5,"[""scalar""]",[1.406283319927441],False,True,False,False,12,False,12.455956901551078,0.28571428571428564
