file_id,region,condition,n_sweeps
1_DH_1_CONTROL,DH,CONTROL,6
1_VH_1_CONTROL,VH,CONTROL,6
DH_2_MFA,DH,MFA,6
VH_6_MFA,VH,MFA,6
DH_1_MFA_BA,DH,MFA_BA,6
VH_6_MFA_BA,VH,MFA_BA,6
